1569978252,3,8,0,"C2,C6,C7,C4;C3,C5,CJ,CQ;D2,DJ,D5,D9;S3,SK,S5,S7;D10,D8,DA,D6;C9,DQ,C8,CA;SA,S8,SQ,CK;S10,SJ,S4,D3;DK,D4,S6,H5;D7,C10,S9,H8;S2,H2,HA,HQ;H7,HJ,H9,H4;HK,H10,H6,H3"
1569978252,3,20,0,"C2,C3,CQ,C10;S10,S9,S3,C7;S7,S6,SK,CK;DJ,DK,D8,DQ;C4,C5,C9,C6;CA,S5,SJ,CJ;D3,D6,DA,D4;D9,D5,C8,HK;D10,D7,S8,HQ;S2,SQ,SA,H10;H3,H8,H6,H4;HJ,HA,H2,H7;H9,D2,S4,H5"
1569978252,3,0,0,"C2,C7,C9,CK;D5,DJ,D2,D10;D8,DK,D6,D9;S8,SK,S7,S6;C10,CA,S4,CJ;S10,S3,S9,SQ;S5,D7,CQ,SJ;D4,DA,D3,C6;S2,DQ,SA,C8;C5,HA,H4,C4;C3,H9,H2,H8;HK,HJ,H3,H7;H6,HQ,H5,H10"
1569978252,3,4,0,"C2,C9,CA,C7;DJ,D5,D3,D4;DA,S9,D8,DQ;SQ,S8,S10,S5;D10,C3,D6,D9;C10,CJ,C5,C4;SK,S6,S2,C6;SJ,SA,S7,CQ;C8,H4,CK,H3;S3,H7,H5,D2;S4,H9,H6,H10;HJ,H8,HK,HQ;D7,H2,HA,DK"
1569978252,3,4,0,"C2,C5,C6,C7;D2,D6,D7,DA;S4,S10,S2,S3;SJ,S7,S6,S8;S5,SK,SQ,S9;CA,C10,C3,C8;D3,DK,D4,D5;SA,C4,CK,CJ;C9,DQ,D9,CQ;DJ,HJ,D8,H10;D10,H4,HQ,H9;H5,H8,HA,H3;H2,H6,HK,H7"
1569978252,3,13,0,"C2,C6,CK,CJ;DA,D8,D10,DJ;S2,S8,S3,S6;SQ,D5,S9,SJ;SA,C7,S7,D3;S5,D7,S4,DK;D4,CA,D6,DQ;C4,H8,C10,C3;C8,H2,C9,CQ;D2,HQ,D9,C5;S10,H7,HK,H3;SK,H6,HA,HJ;H10,H9,H5,H4"
1569978252,3,7,0,"C2,CJ,C4,C8;D4,D3,D8,DK;C3,CQ,C6,S2;D5,D2,D6,C9;SQ,S9,S5,S8;S3,S4,C10,S7;DA,D10,C7,D7;SK,SA,CA,SJ;C5,H8,H7,CK;HJ,H9,HA,HK;H5,H10,H2,H3;HQ,S6,H6,D9;H4,S10,DJ,DQ"
1569978252,3,0,0,"C2,C7,CA,CQ;S10,SA,S9,S8;C10,SJ,CJ,C3;S6,SK,SQ,S5;DA,C6,DJ,D9;D4,C8,DK,D5;S2,S4,H4,C4;D10,H10,D8,D7;D3,H7,H3,HJ;DQ,H9,H6,C9;D6,HK,S7,H2;D2,HA,CK,C5;H8,HQ,S3,H5"
1569978252,3,4,0,"C2,C4,C7,CK;DA,DJ,D9,DQ;SQ,SK,S10,S8;D10,D2,D8,SJ;S9,S3,S6,S5;C9,C5,D5,CJ;C6,C8,CA,S2;DK,D6,D7,H6;CQ,C3,S4,HK;D3,D4,SA,H10;C10,HQ,H3,H2;H8,HJ,H9,H4;H7,H5,S7,HA"
1569978252,3,0,0,"C2,C3,C6,CK;DJ,DK,D6,D4;S3,S5,SK,S6;C5,CA,C10,C7;S8,S10,SA,S7;D7,D8,DA,C9;D5,D9,D3,C8;SJ,CJ,S9,S4;SQ,DQ,H10,S2;HJ,H9,H3,H5;HA,H4,H7,H8;H6,CQ,HK,D10;HQ,D2,H2,C4"
1569978252,3,4,0,"C2,CQ,C6,C7;DK,D5,D3,D9;S3,SK,S2,S4;C5,C4,C8,CJ;D10,DA,D8,D6;SA,S10,S7,S6;S5,DQ,D4,DJ;SJ,D2,CK,D7;S9,CA,C9,H7;S8,C3,H4,H6;SQ,HQ,H5,H3;C10,H2,H10,H9;H8,HA,HK,HJ"
1569978252,3,0,0,"C2,C9,C10,C7;S4,S2,S8,SA;C8,CQ,CK,C3;D7,D2,DQ,D6;DA,D4,D9,D10;C5,S3,C4,CJ;S7,SJ,SK,SQ;S10,S5,S6,CA;D5,DK,S9,D8;DJ,H4,H7,D3;HQ,H2,H9,H8;HK,H10,H6,H5;HA,HJ,H3,C6"
