1569978257,3,0,0,"C2,CJ,CQ,C3;D5,DA,DQ,D10;S3,S4,SQ,S2;S9,S5,S7,S6;C8,C6,C5,CK;D9,D4,D8,D2;D3,C10,D6,DK;SJ,CA,SA,SK;S10,H3,H2,H9;C7,C4,H6,H4;C9,H10,H5,H8;S8,HK,DJ,HA;HQ,H7,D7,HJ"
1569978257,3,13,0,"C2,CA,CJ,C10;D9,D6,D7,D4;S3,SK,S8,SQ;DK,D8,C8,DQ;D5,D3,C7,DA;S4,S10,S7,S6;CK,S9,C9,C5;CQ,HQ,C3,C4;C6,H10,H9,H4;D10,H8,HA,HK;D2,H6,H5,S2;DJ,H2,SA,SJ;HJ,H7,H3,S5"
1569978257,3,10,0,"C2,C9,C7,C8;D9,D8,D5,DQ;S10,S5,S2,S9;SJ,S3,S8,S7;SA,S6,SK,SQ;D2,DJ,D10,D4;C10,D7,CQ,CJ;DA,HK,C4,H8;DK,HA,C6,CA;D6,HJ,C5,CK;D3,H5,H4,H3;H9,H7,HQ,S4;H2,H6,H10,C3"
1569978257,3,22,0,"C2,C7,C6,C4;S3,S9,S5,S10;D9,DK,D5,D2;S6,SA,S4,S8;DA,D4,D7,D6;S2,SK,SJ,S7;CA,C9,CQ,D3;C10,CK,C3,D8;SQ,DQ,C5,DJ;D10,H7,H9,H4;CJ,H5,HA,H10;C8,H6,H2,H3;HQ,HJ,HK,H8"
1569978257,3,0,0,"C2,C5,CJ,C7;D4,D8,D5,DK;C3,C4,C9,CA;S2,SA,S10,S8;S9,S7,SK,S3;D3,DA,DQ,DJ;D10,D7,D6,D9;D2,SJ,C8,S5;HA,H8,HJ,H6;H5,H7,H2,HQ;CQ,H3,C10,C6;SQ,H10,H4,S6;CK,HK,H9,S4"
1569978257,3,0,0,"C2,C9,CA,C4;S3,S2,SK,S10;D3,DK,D2,D4;D5,D9,C3,DQ;S9,S8,SA,CK;C6,C8,CJ,DA;S4,S7,S5,D8;D10,SQ,C7,DJ;H10,HQ,H8,HJ;H9,HK,H2,H6;C5,C10,H7,H4;SJ,S6,H5,D7;H3,CQ,HA,D6"
1569978257,3,0,0,"C2,CJ,CQ,C7;S7,S6,DQ,S2;S10,SA,DK,C9;D5,D4,CA,D3;DJ,D7,S4,D2;D8,DA,C8,D9;C3,C6,S5,CK;C5,D6,S8,D10;C4,SJ,SQ,HA;C10,S9,SK,HJ;H4,H8,H10,H9;HK,H6,H5,H7;S3,H3,HQ,H2"
1569978257,3,16,0,"C2,C4,C10,C3;D5,D10,D6,DK;S7,SK,S5,SA;DJ,DQ,D8,D7;S8,S4,SJ,S2;CQ,C6,C7,CK;D3,CJ,D4,D9;SQ,S10,S6,HJ;D2,S3,DA,HK;C8,H10,C9,HA;H2,H4,H9,H5;CA,HQ,H8,H6;C5,S9,H7,H3"
1569978257,3,5,0,"C2,C3,C6,CK;D8,D6,D3,D2;C7,C5,CQ,CA;DK,D10,D9,D5;C8,CJ,SJ,C4;S6,SK,SA,S2;C10,DQ,S9,C9;SQ,D4,S7,S10;S8,H7,S4,H10;S5,HQ,S3,H5;HK,HA,H6,H8;H2,DJ,H3,H4;HJ,DA,D7,H9"
1569978257,3,19,0,"C2,C5,CK,C6;D5,D3,D4,DK;S3,S9,S5,S7;CA,C9,C4,C8;S2,S4,SJ,SQ;DA,D8,D7,D10;D2,D9,C7,DQ;S10,S8,SK,S6;C3,CQ,H10,HA;C10,H2,CJ,H8;H5,H3,H9,HQ;SA,H4,D6,HJ;H6,HK,DJ,H7"
1569978257,3,13,0,"C2,D6,CJ,C9;S5,S6,S7,S10;DA,D7,DK,D2;D9,D8,D10,D5;SQ,S2,SK,D4;C7,S9,CK,CQ;S8,SJ,S3,DJ;D3,C6,SA,CA;DQ,C4,C10,C3;H5,HQ,H3,H8;C5,H7,H6,H10;C8,HA,H2,H4;S4,HJ,HK,H9"
1569978257,3,3,0,"C2,CQ,C6,CA;SJ,S8,S6,S4;S7,SQ,S3,SK;S5,SA,C5,DQ;C9,C7,C4,CK;D6,D9,D2,D10;S9,C3,C8,D7;S10,DJ,CJ,DA;S2,H10,H8,H4;D4,H7,D5,H3;H5,H2,H6,HK;HQ,H9,D3,D8;HJ,HA,DK,C10"
