1569978261,3,21,3,"C2,C8,CQ,C6;D10,D4,D3,D7;S4,S5,SJ,S6;S9,S8,SA,S2;C3,DA,C5,C10;CA,D5,C7,CJ;D9,S3,D6,DK;S7,H8,D2,S10;DJ,H2,C4,DQ;H5,H4,HA,H9;H7,HJ,HQ,HK;SQ,H3,C9,D8;SK,H6,H10,CK"
1569978261,3,13,3,"C2,CK,C5,C6;D9,D6,D2,DK;CA,C7,CJ,C3;SQ,S5,S9,S10;S2,S8,S6,S7;D8,DQ,DJ,D7;C8,D4,C4,C10;D3,SA,DA,CQ;SK,S4,SJ,S3;D5,H9,H4,H6;D10,H2,H5,H10;HJ,H7,HA,H8;C9,H3,HQ,HK"
1569978261,3,3,3,"C2,C8,CA,C10;S7,D6,SA,S10;D4,DQ,D7,D10;D3,DK,DA,C5;SK,S5,C6,S4;S8,S3,DJ,SJ;S2,D2,S9,CQ;C9,C7,HK,H2;C4,CJ,H3,H9;S6,D9,H4,H10;SQ,D8,C3,HQ;H5,HJ,D5,HA;H7,H8,H6,CK"
1569978261,3,0,3,"C2,CJ,C3,C10;D6,DJ,D8,D10;SA,S2,S9,SJ;S10,SK,S8,S3;C8,C4,C7,CQ;CA,S5,C5,C9;DK,D2,DA,D7;D5,S4,D9,DQ;S7,SQ,H7,C6;H2,H5,HJ,H8;HQ,HK,HA,D4;H4,H10,H3,D3;S6,H9,CK,H6"
1569978261,3,13,3,"C2,CK,C4,C8;SK,SQ,S3,S4;SA,S8,S2,S6;C9,CA,CJ,CQ;D8,D5,D7,D4;D6,S7,D10,DK;C10,S9,C6,C5;DQ,D3,S5,D9;DA,S10,C7,DJ;SJ,H7,H2,D2;C3,HA,HK,H4;H9,H8,H10,H6;HJ,H3,H5,HQ"
1569978261,3,1,3,"C2,CQ,CJ,C5;SK,S9,S3,SA;D5,D10,DJ,DA;C4,DQ,C6,CK;S2,S6,S8,SQ;C8,S7,C3,C7;C10,D9,D3,D7;CA,SJ,S5,D6;S4,S10,H3,H10;HK,H2,HQ,H6;D2,H7,D4,DK;H4,H8,HJ,HA;D8,H9,H5,C9"
1569978261,3,14,3,"C2,C3,CA,CJ;DK,D10,D2,D8;C10,S5,C5,C9;CK,DJ,C4,C8;DA,D5,D4,DQ;C6,S7,S3,C7;S4,S9,S2,SJ;D3,D9,D7,D6;SA,S8,SK,H2;S6,S10,SQ,HQ;H5,H10,HJ,H9;H6,H4,H3,HK;H7,HA,H8,CQ"
1569978261,3,0,3,"C2,C4,CA,C8;SJ,S2,S3,S4;S5,SQ,S10,S6;S9,SA,C3,SK;D7,D8,D2,D6;CJ,DA,C9,C7;C10,D10,C6,CQ;D4,DJ,S8,D9;D5,HQ,H3,CK;DK,HA,HJ,C5;D3,H9,HK,H7;DQ,H6,S7,H10;H2,H4,H5,H8"
1569978261,3,4,3,"C2,C5,CA,C8;S7,S9,S5,SQ;S10,S8,S6,S2;C10,CQ,C9,CJ;D9,DJ,C6,DQ;D3,D5,S3,D6;D2,D7,D4,C7;S4,D8,SJ,C4;DK,C3,CK,DA;SA,H4,H3,SK;HA,HK,H6,HQ;H2,HJ,H5,H8;H7,H10,H9,D10"
1569978261,3,0,3,"C2,C3,CJ,C9;D4,D2,D6,DA;SQ,S7,S5,S4;S3,S2,C4,S9;C5,C8,CK,C7;D5,DK,D3,DJ;S8,D8,SK,CA;S10,D9,C10,S6;SA,H4,H6,CQ;DQ,D7,H8,D10;SJ,HA,HQ,H5;H2,H9,H3,H10;HK,HJ,C6,H7"
1569978261,3,0,3,"C2,CQ,C8,C7;D4,D5,DA,D10;S2,SK,SA,S6;D6,DJ,D7,D8;C10,CK,CJ,C3;D9,D3,D2,DQ;C5,C6,C9,S3;DK,S10,S9,CA;HA,H3,H2,H10;HJ,HQ,HK,H8;H7,H4,H9,C4;H6,S5,S7,S8;H5,S4,SQ,SJ"
1569978261,3,12,3,"C2,CK,CA,C6;S5,S9,SQ,SK;C10,C8,S8,C4;S2,S7,S6,S10;C3,C9,DA,CJ;D2,D6,D9,DJ;SA,SJ,D5,S4;C5,D8,H9,C7;H6,H8,H10,HA;S3,DQ,HJ,HQ;D10,D3,H4,D7;CQ,H3,H5,H7;DK,D4,HK,H2"
1569978261,3,9,3,"C2,C8,C9,C6;S8,S3,SQ,S2;D3,D6,DJ,C10;D8,D10,D5,S6;CJ,DQ,CQ,C7;D7,DK,SA,C4;SK,S10,SJ,S9;S5,S4,C3,S7;D2,D9,CK,C5;HJ,H9,H7,HA;H3,H8,H10,H6;D4,HQ,H2,H4;DA,HK,H5,CA"
1569978261,3,10,3,"C2,C7,C9,C5;S5,S6,D7,SQ;C6,DK,CK,CQ;D5,D9,DA,D2;S10,SJ,SA,C10;DQ,D3,D8,DJ;CJ,SK,S4,C3;C4,S8,S7,C8;D10,S2,S3,H2;D4,H4,HQ,H9;D6,H10,HK,H7;CA,H6,H5,H8;HJ,S9,HA,H3"
