1569978266,3,0,2,"C2,CJ,C10,C9;S9,SK,SJ,S10;DK,D2,D7,DJ;C6,CA,CK,C5;D10,D5,D9,DA;C8,CQ,C4,C3;D3,D8,S5,DQ;S8,S2,S3,D6;S6,H4,S7,H5;H8,H6,HK,H9;HQ,H10,HA,HJ;SQ,C7,H7,S4;SA,D4,H2,H3"
1569978266,3,4,2,"C2,C4,C5,C8;D3,D6,D10,D4;D7,D9,DJ,DQ;S9,SQ,S10,SJ;SK,S3,S4,S5;C3,C9,CJ,CK;D2,D5,S8,DA;S7,SA,C7,CQ;S2,C6,CA,S6;D8,C10,H7,DK;HA,H6,HK,HJ;H3,H5,H2,H4;H8,HQ,H10,H9"
1569978266,3,21,2,"C2,CA,C9,C10;SJ,SA,S10,SK;DA,D6,D3,D2;S8,S6,S3,C8;S7,S2,S4,D8;CK,C7,C6,CQ;D10,DJ,D5,D7;DQ,C3,HQ,D4;S9,SQ,H7,H4;C5,S5,HK,DK;C4,HJ,H9,D9;CJ,H8,HA,H3;H2,H5,H6,H10"
1569978266,3,0,2,"C2,CQ,C3,C8;DA,D7,D5,D6;C9,C7,C10,CJ;SA,S5,S2,S3;S7,SQ,S8,S9;DJ,D10,SK,D9;D3,D4,C4,DK;C6,S6,CK,D8;SJ,S10,DQ,C5;H4,H2,HQ,H3;H7,H8,HJ,H10;H9,D2,HA,HK;H6,S4,H5,CA"
1569978266,3,13,2,"C2,C4,C6,C9;D6,D4,D10,D2;S7,S6,S2,SA;D7,C8,DK,D9;SK,SQ,SJ,S3;S5,CA,CJ,S8;DA,C7,D3,D8;DQ,CK,DJ,CQ;S10,H6,H5,C5;D5,H2,C10,HQ;S9,HA,H4,H9;S4,H7,C3,H8;H10,H3,HJ,HK"
1569978266,3,4,2,"C2,C7,C8,C3;SA,SJ,SQ,S3;D10,D7,D5,D8;D6,DQ,DA,D2;S7,S6,S4,C6;C10,S2,C4,CJ;CQ,SK,CK,S8;DJ,H8,D3,D9;DK,H5,C9,D4;S10,H2,CA,S9;S5,HK,C5,HJ;HA,HQ,H9,H10;H4,H3,H6,H7"
1569978266,3,14,2,"C2,C3,C10,CJ;DK,S9,D2,DJ;SK,S6,S10,S4;D3,SA,DA,D8;C4,CA,C6,C7;S7,D7,SQ,S2;CQ,C8,DQ,C5;CK,S3,D4,D9;C9,S5,HK,D6;D5,H7,H9,D10;S8,H3,HA,H5;SJ,H4,HJ,H2;H8,HQ,H6,H10"
1569978266,3,2,2,"C2,CK,D2,C4;D10,D6,DQ,C9;DK,D8,CQ,DA;SQ,C3,SA,S4;S3,S6,C7,SK;D3,C5,D5,S5;C6,S2,C10,D4;SJ,S8,S9,CA;H6,H4,HQ,H5;D7,H7,HA,DJ;H3,H2,HK,H8;H10,H9,CJ,D9;HJ,S7,C8,S10"
1569978266,3,14,2,"C2,C4,CA,CJ;S9,S5,S6,S4;S10,S2,S3,S8;D8,D10,D9,D4;C7,C9,C10,CQ;CK,C8,SA,C6;DJ,D5,SJ,D2;D6,D7,H6,DQ;SQ,SK,H7,S7;H4,H3,HQ,H8;C5,H10,H5,C3;DA,H9,H2,D3;DK,HK,HA,HJ"
1569978266,3,13,2,"C2,CK,CQ,C6;D10,D5,D3,D4;S5,SA,S10,S7;C9,C10,CJ,CA;D9,DJ,D8,D6;SK,S3,S2,S8;C5,C8,C3,S9;C4,C7,SQ,DA;S6,D7,DQ,S4;H2,H3,HA,HK;H4,H6,H9,HJ;DK,HQ,H5,D2;SJ,H8,H10,H7"
1569978266,3,0,2,"C2,C7,CQ,C3;DK,DJ,C8,D3;DA,D2,CA,D5;D4,D10,S5,D6;S2,SK,SA,SQ;CK,C4,C10,CJ;C9,C6,C5,D9;S7,S4,S9,SJ;D8,H10,S8,HJ;D7,H5,S10,H4;DQ,HA,S3,H7;H2,HQ,H3,H9;H8,S6,HK,H6"
1569978266,3,8,2,"C2,C5,C7,C4;D5,D10,DQ,D4;DJ,SK,D7,D2;D9,S10,DA,DK;C8,C9,C3,CK;S5,S3,S7,S8;C6,S2,CA,SA;D3,S6,SQ,CQ;D8,HA,SJ,CJ;D6,HJ,S4,C10;S9,H8,H5,H6;H9,HK,H3,HQ;H10,H2,H4,H7"
1569978266,3,0,2,"C2,C6,CQ,C4;D8,D6,DJ,DK;SQ,SJ,S2,S9;S5,S8,SA,S3;C9,C7,CA,C10;C5,S4,CK,CJ;D3,D2,D7,DQ;D9,S10,D4,D10;DA,H9,HK,D5;S7,H4,C3,S6;C8,HQ,H8,H6;SK,H7,HJ,H5;H10,H3,HA,H2"
1569978266,3,10,2,"C2,C4,CK,C6;D10,DA,D4,D2;S8,S9,SK,SJ;C9,CQ,CA,C8;DJ,DK,D3,D8;S7,S2,SA,S10;DQ,D5,D6,D7;C7,CJ,C3,SQ;D9,H2,H9,H5;H8,HJ,H10,H6;S4,S3,HA,H4;S6,C10,H7,HQ;S5,C5,HK,H3"
