1569978278,3,2,0,"C2,CA,CJ,CK;DA,D5,DK,D8;DJ,S9,S2,DQ;S5,S7,SJ,SA;D10,D9,C4,C10;D4,D7,C5,C9;CQ,S6,C7,C8;C6,HK,C3,D2;D3,H4,S3,D6;S4,H5,S8,H7;H2,HQ,H3,HA;H9,H10,H6,SQ;H8,S10,SK,HJ"
1569978278,3,5,0,"C2,C3,C9,C5;D9,D6,D10,D7;SQ,S8,S10,S6;DJ,D4,D3,DA;S3,S7,S4,S2;DK,D8,D2,D5;CK,C6,C7,C10;DQ,SJ,S9,C4;CJ,C8,S5,H2;HA,H9,HQ,HK;H10,SA,H7,H3;H4,CA,H8,H6;SK,H5,CQ,HJ"
1569978278,3,3,0,"C2,C4,C6,C7;CA,SA,CQ,C5;S10,SJ,S3,S7;DQ,D9,D10,D8;DJ,D4,C3,D7;D2,DK,C8,D5;C9,SK,C10,S4;S6,S8,S2,SQ;D6,H10,DA,H4;D3,H3,HK,HJ;S9,HA,H9,S5;H2,H6,H5,CK;H8,HQ,H7,CJ"
1569978278,3,4,0,"C2,C8,C10,C5;S5,S9,S2,SK;C7,CJ,C6,CA;S4,S7,SJ,SQ;D3,D6,DK,D8;CK,C9,D7,C4;C3,DJ,D9,S8;CQ,DA,HQ,SA;D5,D2,HA,D4;H3,H7,HK,H9;HJ,D10,H2,H10;H4,S3,S10,H8;H5,S6,DQ,H6"
1569978278,3,7,0,"C2,CJ,C3,C4;S5,SJ,SK,S3;DQ,D8,D4,D7;C7,C10,C8,C6;DK,D3,D10,D2;CQ,CK,C5,D9;SA,S8,S2,S6;S9,S10,D6,S4;DA,SQ,DJ,D5;H9,H5,H3,H7;HK,H2,H10,HA;HQ,H4,H8,CA;H6,S7,HJ,C9"
1569978278,3,0,0,"C2,CK,C3,C8;S5,SK,SJ,S9;D9,D2,DJ,DK;C4,CJ,C6,C7;S4,SA,S8,S10;SQ,S2,S3,S7;C5,C9,CQ,DA;DQ,H8,D4,D10;D7,HJ,D6,D3;D8,H10,S6,H6;D5,HQ,H9,H5;C10,H2,H4,H7;CA,HK,HA,H3"
1569978278,3,5,0,"C2,C9,C10,C3;SK,SJ,S10,S7;SQ,S2,S6,S5;CJ,C5,CK,C8;D6,D10,DK,D9;CQ,S9,C7,C4;S4,S3,D8,S8;D2,D5,C6,D3;DJ,HK,D4,D7;DQ,HA,CA,H3;DA,H10,SA,HJ;H4,H7,H5,H9;H6,H2,HQ,H8"
1569978278,3,2,0,"C2,C6,CJ,C9;S8,S10,S3,S4;C7,D2,CK,C5;DA,DQ,DJ,D6;SQ,SK,S5,SJ;D10,D8,D7,D3;D9,S9,CA,DK;D4,S2,S7,C8;CQ,H3,C4,H4;D5,HQ,H7,HJ;C3,H8,C10,H10;H2,H5,H6,HA;H9,SA,HK,S6"
1569978278,3,0,0,"C2,CA,C3,C9;DJ,D2,D7,DQ;SA,S8,S4,S5;CK,C6,C8,C4;S6,S2,SJ,S3;DK,D3,D6,DA;D4,D8,SK,D9;CJ,D5,C7,C10;H3,H9,HA,HJ;S7,H8,S9,H2;H7,H4,SQ,H6;CQ,HQ,D10,HK;C5,H5,S10,H10"
1569978278,3,0,0,"C2,C5,CQ,C10;S2,SK,S5,S4;D8,D2,D9,D10;D4,DJ,DQ,DA;SA,S8,S3,S7;C7,CK,CJ,CA;D5,C6,D7,SQ;C8,HA,S6,C9;DK,H7,SJ,S10;D3,H5,HJ,C3;D6,H8,H4,H9;S9,HK,H10,H2;C4,HQ,H6,H3"
1569978278,3,0,0,"C2,C8,CK,C4;S6,S7,SJ,SA;S3,D4,S2,S10;D3,D10,D7,D6;C5,C6,C3,C7;S4,SK,D5,CA;D2,D8,DA,DJ;CQ,CJ,HQ,C10;S8,S5,H2,D9;S9,DK,HJ,C9;SQ,H10,H9,H8;H4,H3,HK,H7;H6,DQ,HA,H5"
1569978278,3,13,0,"C2,C3,C10,C4;SQ,S9,S6,S3;DK,D6,D3,D10;DJ,D2,D9,D8;CJ,CA,C6,C9;SA,SJ,S7,S10;D5,D4,DA,CK;SK,S8,S4,S5;C7,CQ,D7,S2;C8,C5,H7,H10;DQ,H3,HJ,HA;HK,H9,H5,HQ;H8,H2,H4,H6"
1569978278,3,0,0,"C2,C9,C6,C10;D6,D5,D8,D7;CA,C8,DA,C4;S2,S4,S3,SJ;CK,C7,DQ,C3;CQ,C5,S10,S5;D2,D4,D10,D9;S7,CJ,SA,S9;DK,DJ,SK,D3;S8,H4,HQ,S6;H6,HA,H3,H10;H9,H2,H7,H5;HJ,H8,HK,SQ"
