1569978617,3,0,2,"C2,S10,CA,C9;S4,S2,S5,S7;D6,D7,DK,D9;DA,D4,D3,D2;CQ,SA,CK,C10;S8,S9,SJ,D5;CJ,SQ,C8,C4;DQ,H3,S3,D8;DJ,H5,S6,D10;C7,H6,SK,C3;C5,H4,H10,C6;HA,H2,H7,HK;HJ,H9,H8,HQ"
1569978617,3,0,2,"C2,C6,CJ,C3;D3,DQ,DJ,D9;S10,S5,S8,S9;SJ,S2,S7,S4;C8,C7,CQ,CK;D5,D6,SK,DA;C5,D8,SQ,C9;SA,D2,S6,C10;S3,DK,D10,C4;HK,HQ,HJ,H10;H9,H4,H6,H7;H8,H3,HA,D7;H5,D4,H2,CA"
1569978617,3,4,2,"C2,CK,C10,C3;SJ,S4,SQ,S2;D2,DJ,D8,D7;D6,DQ,D5,D3;S8,S5,S6,CQ;SA,S3,S9,CA;S7,S10,SK,C9;C7,C6,C5,C4;D9,H7,DK,D10;H9,H3,H5,HJ;HQ,H8,H2,HK;C8,H4,HA,CJ;DA,H10,H6,D4"
1569978617,3,0,2,"C2,C5,C6,CA;S6,S8,SJ,S9;C4,C3,C7,CJ;D3,D5,DA,SQ;S10,DQ,S5,S4;C9,CK,S7,C8;D7,S3,DJ,D9;D10,D6,H3,H8;D8,D2,HQ,H7;SA,DK,H6,SK;S2,C10,HJ,H10;D4,H4,HA,CQ;H5,HK,H9,H2"
1569978617,3,18,2,"C2,C9,C4,C3;S7,S2,S5,S10;D4,D10,D3,D7;CJ,C10,DJ,S9;CA,CK,S3,SJ;C5,C7,D8,SA;DK,D5,DQ,D2;SK,SQ,S6,C6;DA,H2,D9,D6;S8,H5,HQ,C8;S4,H3,H6,CQ;H9,H10,H7,HJ;HA,H8,HK,H4"
1569978617,3,6,2,"C2,C8,CQ,CJ;C5,C6,DJ,C4;S8,SK,S2,S6;D7,D6,D5,D10;D4,D3,D9,D8;SJ,SA,SQ,C10;S3,S5,S9,DA;C3,S7,C9,CA;DK,S4,S10,D2;DQ,HJ,HQ,HK;H2,H8,H10,H6;H4,H3,CK,H5;H9,H7,HA,C7"
1569978617,3,7,2,"C2,C4,CJ,C10;D10,D5,D3,D7;D4,D2,D6,DA;SJ,SA,S7,S2;SQ,S3,S10,S4;S6,C9,S5,S9;D8,DJ,S8,DQ;C8,C7,C5,C3;CK,SK,C6,CA;CQ,H6,HA,HJ;H4,H5,H2,H9;H3,H7,D9,H8;H10,HQ,DK,HK"
1569978617,3,0,2,"C2,C6,C10,C5;D6,DQ,D3,DJ;S3,SA,SQ,S5;S9,S6,S10,SJ;SK,C7,S8,S2;S4,D4,CQ,CJ;S7,C3,D2,DA;D5,D10,D8,D9;C9,DK,CA,C8;CK,H8,H9,C4;HQ,H2,HK,H6;H3,H7,H5,H4;HJ,HA,H10,D7"
1569978617,3,16,2,"C2,C4,C6,C3;D9,D2,D7,DJ;S8,S7,S4,SQ;C9,CQ,C7,CA;C8,CJ,D4,C10;D3,D5,D6,D10;S5,S2,SK,SA;CK,SJ,D8,C5;S3,S9,DQ,DK;S6,H3,H4,HQ;S10,H9,H6,H10;HA,H8,HJ,H5;H7,HK,DA,H2"
1569978617,3,10,2,"C2,C3,CA,CQ;SA,S7,S9,S5;D9,D8,D6,D3;DK,DA,D7,D4;D5,D10,D2,C9;S2,C6,SK,SJ;S8,S10,CK,DJ;S4,DQ,S3,C5;C4,H3,CJ,H5;C10,H4,H9,H2;C8,HK,HJ,H7;C7,H6,S6,HQ;H10,H8,SQ,HA"
1569978617,3,15,2,"C2,CJ,C9,C7;S4,S10,S2,SQ;C4,C3,CA,C8;DA,DK,D8,DQ;SA,S5,S9,S8;S6,SK,D6,S7;D9,D10,D2,D7;D3,HJ,HK,D5;H9,H7,C5,H6;S3,H4,SJ,H3;C6,CQ,H5,H2;H10,HA,DJ,CK;H8,HQ,D4,C10"
