1569978619,3,0,1,"C2,C7,C9,CA;SA,S4,SQ,S2;DK,D7,DA,DQ;D4,D2,D8,D9;C8,C5,CK,CQ;DJ,D5,D6,D10;C10,C3,C4,S10;SJ,S9,S5,S6;S8,S3,D3,SK;S7,CJ,H5,C6;HJ,H10,H6,H4;H3,H7,H9,H2;HA,HQ,H8,HK"
1569978619,3,0,1,"C2,C4,CA,C10;SQ,SK,SA,D4;S9,S3,S10,CK;D10,D5,D6,D2;DJ,D3,S8,D8;DA,DQ,C6,C5;D7,DK,S2,CQ;C9,CJ,C8,C3;S5,S6,SJ,HJ;C7,S4,S7,H2;D9,H5,H3,H9;H6,HK,H7,HA;HQ,H4,H10,H8"
1569978619,3,18,1,"C2,C3,C7,C8;S5,S2,S3,S4;DA,D2,DJ,D6;D4,DK,D5,DQ;S10,SJ,SQ,S7;C6,C4,SA,C10;D3,D10,HK,D8;C5,SK,H10,C9;CQ,H5,H4,CK;D7,H2,H7,CJ;S6,H8,H9,S9;CA,H3,HA,S8;HJ,HQ,H6,D9"
1569978619,3,4,1,"C2,C6,C10,CA;S7,S6,S10,SQ;DA,DK,D6,D4;D10,D8,D5,D7;D3,DJ,DQ,D2;S4,S2,S9,SA;CJ,C7,C8,CK;SJ,SK,CQ,S3;C5,S5,C9,C4;C3,H7,H5,H2;H10,HJ,HA,HK;H3,HQ,H8,H4;H6,H9,S8,D9"
1569978619,3,5,1,"C2,C8,C10,C4;SQ,S4,S3,S7;S5,S10,SK,S6;CJ,CA,C5,CK;D10,D4,D8,DQ;C9,D3,S2,CQ;D2,D9,SA,DA;C6,S9,HK,D5;SJ,S8,H3,HQ;C7,DJ,H2,HA;D7,DK,H5,H7;H6,H9,D6,H8;H10,HJ,C3,H4"
1569978619,3,0,1,"C2,S2,C10,C7;D8,DA,D2,DQ;S5,S6,SQ,S7;C9,S10,CK,C6;D10,D4,D5,D9;C5,SK,CQ,CA;S3,S8,SA,S9;C4,C3,SJ,C8;D7,HQ,D3,DK;CJ,H7,H5,HJ;DJ,HA,H9,D6;H2,H10,H4,H6;HK,S4,H3,H8"
1569978619,3,18,1,"C2,CK,C7,C3;S3,SJ,S7,S8;CQ,CJ,C10,C5;C8,D10,C9,C4;D5,D3,DQ,D7;C6,S5,CA,DK;SK,S4,SA,S6;D9,D2,D8,DA;D4,DJ,S9,D6;SQ,H3,S2,S10;HJ,H9,H5,H2;HQ,H7,H10,HA;H4,HK,H6,H8"
1569978619,3,0,1,"C2,CJ,C9,C6;D8,DK,D9,D4;C3,CK,C7,CA;S4,SK,SJ,S10;C8,C4,D6,C5;S7,SQ,S2,S8;D7,D10,D2,DA;DJ,S5,D3,DQ;SA,S3,S9,CQ;C10,H6,H10,H7;S6,H2,HA,HK;H9,H4,HJ,HQ;D5,H5,H8,H3"
1569978619,3,13,1,"C2,C7,C8,C4;S7,SK,S8,S2;S9,S10,S6,SA;C9,CJ,CQ,CK;D4,D3,D10,DA;S3,SJ,D6,SQ;S4,S5,D8,C6;DQ,C10,D2,C5;D7,H5,H6,H10;DK,H2,H9,HA;D5,HK,H7,HJ;D9,H3,C3,H8;DJ,H4,CA,HQ"
1569978619,3,9,1,"C2,C7,CJ,C3;S2,SJ,S9,S3;DJ,D4,D8,D3;D2,DQ,D7,D6;SQ,S8,SK,S5;C10,CQ,C4,C6;CK,S6,DK,C5;CA,S10,DA,C9;D5,SA,S4,D10;D9,HA,H8,H4;C8,H7,H10,HQ;H5,H9,HK,H2;H3,S7,H6,HJ"
1569978619,3,0,1,"C2,CJ,C8,CA;D6,D9,D8,DA;CQ,CK,C5,C3;S4,S2,S3,S7;C4,SA,D2,C10;D7,DK,S6,D5;SJ,SQ,S9,S5;HA,H7,H8,H3;H9,H6,H4,H2;H10,D4,HK,C7;C6,HJ,D10,C9;DQ,H5,S8,D3;DJ,HQ,SK,S10"
