1569978628,3,3,3,"C2,C3,D6,CA;S4,SQ,S8,S10;SA,S9,SK,S3;SJ,S2,CQ,S5;D5,DQ,DK,DJ;C9,D4,C7,C4;C8,D7,D10,C10;D2,D8,D9,CJ;DA,S6,CK,S7;D3,H5,H4,HQ;H9,HA,H2,HK;H10,H7,H6,C5;H3,HJ,H8,C6"
1569978628,3,0,3,"C2,CJ,CQ,C7;D6,DJ,D9,D7;S6,S7,SJ,S8;C8,C6,C4,C5;SK,S4,S9,S2;DK,D4,D3,DA;D10,D8,D5,C10;CA,C3,C9,CK;S5,SQ,S3,SA;H9,H10,H2,H4;H5,HJ,H7,H8;HQ,HK,HA,S10;H6,D2,H3,DQ"
1569978628,3,5,3,"C2,CJ,C7,C10;SK,S4,S7,SQ;SA,S10,S9,S5;CK,C9,C8,CQ;DJ,D2,DA,DK;C4,C3,C6,C5;S2,D5,S8,S3;D4,D9,DQ,D10;S6,D3,D6,SJ;CA,D7,D8,H2;HA,H6,H3,H8;H7,H4,HJ,H10;HQ,HK,H5,H9"
1569978628,3,4,3,"C2,C3,S2,C5;D6,D3,D5,D8;C10,C4,S9,CA;DQ,D10,DJ,D4;D2,D9,D7,S7;S4,S10,S3,SA;CK,S6,SQ,CJ;DK,SK,DA,C9;S8,H2,SJ,H3;H5,HK,HQ,H9;H6,H7,HJ,CQ;HA,H4,C7,H8;S5,C8,C6,H10"
1569978628,3,22,3,"C2,C3,C10,CJ;C4,C6,C8,C5;SQ,SJ,S10,S9;S3,S8,SK,SA;C9,D6,CQ,C7;D2,D3,D4,DK;DA,DQ,D10,D7;CA,S4,D8,CK;D5,S7,DJ,S5;S6,H10,HQ,S2;D9,HK,H3,H6;H2,HA,H5,HJ;H7,H8,H4,H9"
1569978628,3,7,3,"C2,C7,CA,CK;S8,S7,S10,D9;D3,DK,DQ,D10;C6,S6,C8,C4;C9,C3,SJ,C10;SA,SK,SQ,D2;D6,D5,D7,DJ;D8,CQ,S5,DA;S9,CJ,S2,D4;S3,H2,S4,H8;HA,H5,H3,H4;H9,HK,HJ,H6;C5,H7,HQ,H10"
1569978628,3,4,3,"C2,C6,C8,C9;SA,S2,S5,S6;C4,CQ,CA,C7;S7,S10,S8,S9;D5,D10,D2,DQ;D6,SQ,D8,DK;C3,CJ,C10,D7;SJ,SK,D9,D4;CK,H9,S4,DA;C5,H4,H7,H10;H5,HJ,DJ,H3;H2,S3,H6,H8;HK,HA,D3,HQ"
1569978628,3,7,3,"C2,C7,CA,C10;S10,S7,S5,SQ;D8,D2,D10,D7;D6,D3,DQ,DJ;C9,C5,S9,S4;CQ,C4,S8,S6;D9,D5,D4,DK;SJ,S3,S2,DA;SK,CJ,H10,C8;SA,C3,H5,CK;HK,HA,H7,H4;C6,HQ,H6,H8;H2,HJ,H3,H9"
1569978628,3,18,3,"C2,C9,C5,C3;D8,D6,DJ,D3;D4,D2,DA,D5;SA,S10,S9,S4;DK,S8,D7,D10;CQ,CK,C4,SJ;CA,C8,CJ,S5;C7,S7,C6,S6;SQ,S2,SK,S3;C10,DQ,HJ,D9;H8,H9,H6,H10;H5,HK,HA,H4;H2,H7,H3,HQ"
1569978628,3,15,3,"C2,C8,CA,C6;DJ,DQ,D2,D9;SA,S9,S10,S6;S3,SQ,S8,S4;CJ,SK,C3,CK;D10,DK,D4,D3;SJ,S5,S2,D6;H10,HQ,H9,H8;C4,H7,C7,D5;CQ,HK,C9,D7;C5,H5,C10,HJ;D8,HA,S7,DA;H3,H2,H6,H4"
1569978628,3,0,3,"C2,C8,C9,C6;D3,D5,DA,D10;CQ,CK,CJ,C3;S10,SK,S4,S2;DQ,D4,D8,DJ;DK,S8,S6,C4;D2,S3,S5,C10;D7,CA,SA,C7;C5,S7,SJ,H9;D6,SQ,H6,H4;D9,S9,H8,HJ;H2,H5,H10,HA;H3,HQ,HK,H7"
