1569978632,3,4,1,"C2,CA,CJ,C9;D2,D4,DA,DQ;S10,S6,S4,C10;SA,SK,S5,D6;S3,SJ,S9,D5;S8,SQ,C6,S2;D7,DJ,D9,DK;C7,D10,C3,C8;S7,D3,C4,C5;H10,H9,H7,H8;H4,H2,CQ,H6;H3,HK,HJ,CK;H5,HQ,D8,HA"
1569978632,3,1,1,"C2,C6,C10,C4;S4,S7,S5,S8;D2,D10,DJ,D7;DQ,D6,D4,D9;S10,C8,SJ,SK;C7,CA,DA,C3;C9,SQ,CJ,CK;S6,D5,SA,CQ;S9,H3,S3,D8;D3,HA,DK,H5;HK,HQ,H2,H10;S2,H6,H7,HJ;C5,H4,H9,H8"
1569978632,3,18,1,"C2,C7,C3,C10;C6,D4,CK,CA;S6,S4,S5,S7;C8,DK,C4,CQ;S2,S8,S9,DJ;SA,SQ,D10,SJ;C5,DQ,C9,D9;D3,D5,DA,D7;SK,S3,D6,S10;D8,H10,HJ,D2;CJ,H2,H3,H6;H5,HQ,H9,HA;HK,H8,H4,H7"
1569978632,3,3,1,"C2,C4,CQ,C3;DQ,D8,DK,D3;C8,C10,CA,C7;D9,D6,DJ,D4;SA,S9,S8,S7;DA,CJ,C6,D10;D5,SQ,S4,D7;S6,SJ,SK,S3;CK,C9,H4,C5;H10,H7,H8,HA;H5,H3,HQ,H6;H9,S10,H2,D2;HJ,S5,HK,S2"
1569978632,3,0,1,"C2,C5,C6,C4;D9,D6,D5,DA;CA,C9,CK,CQ;C8,C10,C7,D8;S3,S8,S10,SK;SA,S2,D10,SQ;C3,DK,D2,CJ;S4,SJ,DJ,S7;S5,H5,S9,S6;HA,H7,H4,H6;HK,HQ,H10,H3;HJ,H8,DQ,D4;H2,H9,D7,D3"
1569978632,3,4,1,"C2,C8,CK,C9;D9,DQ,D4,DK;C3,C6,C5,CJ;S6,SK,S9,SJ;D3,D7,D10,S10;DJ,DA,D8,C10;SA,S8,C7,S2;D5,S4,CA,D2;S5,S3,C4,D6;S7,H2,H4,HQ;CQ,HJ,HA,H10;SQ,HK,H3,H5;H8,H7,H9,H6"
1569978632,3,7,1,"C2,CJ,CQ,C4;D5,D2,DQ,DK;CA,C5,CK,C8;S10,S5,S4,S2;SA,S9,SJ,S7;D7,DJ,D6,D4;S6,SQ,DA,D8;C6,S3,D9,C7;C9,S8,D10,C10;C3,H4,H10,H2;H5,H8,HQ,HA;H3,SK,H7,H6;H9,D3,HK,HJ"
1569978632,3,0,1,"C2,C5,C10,CK;S7,S8,SA,S2;S4,S9,S6,S10;S3,C6,SQ,C9;C3,C8,CA,C7;DQ,D9,D3,D2;D7,D6,D8,D4;CQ,CJ,SJ,DJ;SK,D10,S5,DK;C4,HQ,H5,H4;H8,HA,H2,HK;D5,DA,H7,H10;H9,H3,HJ,H6"
1569978632,3,0,1,"C2,C9,C5,C7;S2,S6,S7,SJ;DQ,D2,D3,D10;D9,DA,D6,SK;D7,D8,D4,S3;SQ,S5,S4,S10;SA,C10,S8,CJ;C4,C3,CA,C6;S9,C8,DJ,DK;CK,H7,HK,CQ;HJ,H5,H6,H9;HA,HQ,H4,H8;H2,H10,H3,D5"
1569978632,3,19,1,"C2,C9,SJ,CK;CQ,C7,D6,C4;C10,S2,S10,C8;CJ,S6,DJ,C3;D10,D3,D2,D7;D9,DK,D4,DQ;SQ,S5,SA,SK;S7,S9,C5,S4;D8,C6,D5,S3;HK,H7,HJ,H9;H6,HA,H5,H10;S8,H4,CA,H3;H8,H2,DA,HQ"
1569978632,3,19,1,"C2,CA,D5,C8;D7,D3,DQ,DK;SQ,S2,SK,S6;D10,D2,D6,D8;D9,S5,C4,DJ;SA,S7,S10,S4;C7,S9,C9,CJ;D4,H3,S3,C3;CQ,HK,S8,C10;CK,H4,SJ,C6;DA,H2,H9,HQ;H8,H5,H6,HJ;C5,H10,H7,HA"
1569978632,3,0,1,"C2,C5,C8,CA;D7,D10,DJ,D3;D5,D2,D6,C10;S2,SA,SQ,S4;SJ,S5,SK,S9;C4,CQ,CK,C7;C9,S8,CJ,DQ;D8,D9,S3,DA;H8,HA,H6,HJ;H5,H7,HK,DK;H2,H10,HQ,C6;H4,C3,H3,D4;S10,S7,H9,S6"
