1569978638,3,4,2,"C2,C5,C9,C7;D4,D8,DJ,D5;DA,D3,DQ,D9;D7,SA,D6,DK;C8,CK,CQ,C3;C4,D10,C10,SQ;CJ,S7,CA,SK;S9,SJ,D2,S4;S10,H8,S2,S8;S3,H4,S5,S6;H9,H10,H3,H2;H7,HA,HK,H5;HJ,H6,HQ,C6"
1569978638,3,9,2,"C2,CK,C5,C3;D6,D3,DQ,D2;C9,CQ,CA,C7;SA,SK,S3,S10;SQ,SJ,S4,C4;S5,S6,S7,DK;C8,D9,S9,C10;D10,D4,D8,DA;CJ,S2,D7,C6;DJ,D5,S8,HQ;HA,H6,H5,H4;HK,H7,H8,H2;H10,HJ,H9,H3"
1569978638,3,9,2,"C2,C6,C8,C3;D8,DA,D5,D2;S8,SJ,S6,S7;DK,DQ,D10,D9;D4,D6,D3,S9;S4,SQ,S5,SA;C4,CQ,CA,C5;CK,C10,S2,C9;C7,CJ,S10,D7;H7,H10,HQ,H6;H4,HA,H2,HK;HJ,H9,H3,H8;SK,S3,H5,DJ"
1569978638,3,1,2,"C2,C5,C8,C6;D7,D2,D8,D6;S6,S5,S10,SJ;D10,DQ,D3,D4;S8,S4,SQ,SK;CQ,C3,C10,CJ;CA,SA,C7,C4;DJ,DK,D9,C9;S2,S3,S7,H10;HQ,HA,H4,H8;HJ,H3,H2,H5;D5,H9,DA,H7;H6,S9,CK,HK"
1569978638,3,13,2,"C2,CK,C3,CA;D8,D7,D5,D9;S8,SK,SA,S5;D6,D2,DJ,D3;SJ,C5,S7,S9;S4,C8,S10,S6;DQ,D4,C4,D10;C6,CQ,SQ,C7;CJ,C10,S2,C9;HJ,H10,H3,HK;H2,H7,HA,H6;H9,H8,H5,H4;S3,DK,DA,HQ"
1569978638,3,0,2,"C2,C9,CA,C3;S7,S5,SA,S2;D2,D9,D6,DQ;D4,D10,D7,D5;SJ,S4,SQ,S6;D3,DK,S9,D8;S10,S8,C5,C7;SK,C4,C8,CQ;C10,H8,CK,CJ;DA,HA,DJ,C6;HJ,H7,HQ,H6;S3,H2,H5,HK;H10,H4,H9,H3"
1569978638,3,0,2,"C2,C9,C5,C3;SA,S6,S7,S3;D8,DK,DQ,D7;D3,D6,D5,D9;SJ,SK,S8,S4;D4,DJ,S10,D10;C10,C7,C6,C8;C4,CQ,H6,CK;H10,HK,HA,H2;HQ,HJ,H8,H9;H4,H3,CA,S2;H7,CJ,S5,SQ;H5,D2,DA,S9"
1569978638,3,4,2,"C2,C7,C8,C6;D2,D5,D10,D4;S4,S6,S5,S2;DA,D6,D8,DJ;SK,SQ,SA,S9;SJ,S7,S10,S8;C4,C9,C10,C3;D3,D9,DK,DQ;C5,CQ,CA,CK;HK,H2,H6,HJ;H8,H10,H3,H5;HQ,S3,H9,HA;H4,D7,CJ,H7"
1569978638,3,0,2,"C2,CA,CK,C8;D8,DJ,D6,DQ;D4,D5,D9,DK;C7,C5,C3,C10;S4,SQ,S10,SK;DA,D10,C9,D2;CQ,CJ,S9,S3;D3,HA,H9,D7;SJ,S6,HQ,S7;S8,S5,H2,HJ;SA,H6,H8,H7;S2,H3,H5,C6;HK,H4,H10,C4"
1569978638,3,0,2,"C2,C7,CQ,CK;D9,D3,D6,DQ;S3,S10,SQ,SK;S6,S5,S8,S4;D2,DK,D4,D5;C8,C6,S7,C3;C10,D10,S2,C5;S9,DA,D8,SJ;CJ,DJ,C4,HK;C9,H10,H6,H5;SA,HQ,HA,H2;CA,H9,H8,H4;H3,D7,HJ,H7"
1569978638,3,0,2,"C2,C4,CA,C3;D2,D5,DJ,C6;C8,C10,CK,C7;D8,D7,S7,DK;CJ,C9,D3,S2;SQ,S4,S8,S3;S10,S5,DA,S6;S9,SJ,D6,SK;H7,H8,H3,HJ;CQ,H2,H5,HK;SA,D9,HQ,H10;C5,D4,H6,HA;D10,H9,DQ,H4"
