1569978735,3,4,1,"C2,C8,CJ,C7;SA,S6,S5,S2;CK,CQ,C6,C3;C4,C10,C9,SK;SQ,D9,S7,SJ;D5,DJ,DA,D6;S4,D10,S3,S9;D7,DQ,C5,D2;DK,S8,D3,D4;HA,H5,H9,H8;H7,H10,H2,H4;H6,HQ,HK,HJ;D8,CA,H3,S10"
1569978735,3,0,1,"C2,CQ,CK,C5;D5,DK,DJ,D10;S3,S5,SA,SK;C10,C7,CJ,C3;C4,SQ,C8,DQ;S7,SJ,S9,S10;D9,D6,D7,D4;DA,C6,D8,D2;S6,CA,S8,S4;D3,H9,C9,HQ;H3,H4,H10,H8;H6,HA,HK,H7;H2,HJ,H5,S2"
1569978735,3,15,1,"C2,C3,C7,CA;S2,S8,SJ,SA;DK,D8,D5,D2;D6,C6,D3,D10;S6,S9,S3,SK;D7,S10,DJ,DQ;C9,C8,CQ,CJ;S7,S4,D9,C5;S5,H3,C10,CK;SQ,H9,C4,DA;H8,HJ,H4,H6;HQ,HA,H7,H10;D4,HK,H2,H5"
1569978735,3,0,1,"C2,CQ,C7,C8;D6,D5,D7,D4;S9,S3,SK,S10;C10,C6,C3,CJ;D2,D3,SQ,DK;DQ,CA,S6,DA;C4,D9,C5,S2;S5,SA,S7,S8;DJ,SJ,C9,S4;D10,H4,CK,HJ;D8,HK,H9,HA;H2,H10,HQ,H8;H7,H6,H3,H5"
1569978735,3,3,1,"C2,C5,CK,C3;DJ,DQ,D2,D3;S9,S2,S10,S7;CJ,C10,C4,S5;D10,D4,DK,DA;S6,S8,SK,S3;S4,SQ,SJ,SA;D9,D5,C9,D6;HA,H4,HJ,H8;H6,HK,H2,CQ;H9,HQ,H7,CA;C8,D8,H3,C6;H5,D7,H10,C7"
1569978735,3,13,1,"C2,C9,CK,C4;S2,S5,S4,S3;DJ,D3,D5,D2;DK,D9,D4,DQ;DA,D8,D6,SQ;SJ,S8,SK,S7;S6,S9,SA,S10;C8,C7,C3,C10;CA,D7,C6,CJ;H5,H7,HA,H9;C5,H4,H8,H2;CQ,H3,HK,HQ;HJ,H6,D10,H10"
1569978735,3,13,1,"C2,C5,C10,C4;D7,DK,D9,D4;CJ,DJ,C3,C7;D2,D3,D6,S10;SA,S6,SK,S3;S7,SQ,S5,S2;H9,H4,HA,HQ;S8,SJ,H10,S4;C9,DA,H6,C8;CK,S9,H3,C6;CQ,D5,HJ,DQ;CA,H5,H7,D10;HK,H2,H8,D8"
1569978735,3,6,1,"C2,C7,C10,C8;S5,S4,SJ,SK;D10,D3,D8,D5;D6,DQ,D4,S6;S3,S10,S7,C3;SQ,SA,C6,CA;C4,CK,C9,CQ;DJ,D7,C5,D2;CJ,HA,H2,DA;DK,H4,H5,HJ;D9,S8,H10,HQ;H8,S9,H3,H9;HK,S2,H6,H7"
1569978735,3,5,1,"C2,C8,CA,C10;S2,S5,S7,S10;D3,DA,DK,D2;CQ,CK,C4,C6;D10,D6,D4,D7;DJ,D8,D5,D9;DQ,S3,C7,S6;SK,S8,SQ,S9;H4,HK,HA,H7;CJ,H2,C5,C9;C3,H9,H10,H5;S4,HQ,SJ,H3;SA,H6,H8,HJ"
1569978735,3,4,1,"C2,C8,C10,C6;D5,D10,D3,DJ;C5,CQ,CK,CJ;S3,SK,S10,S9;S8,SJ,D2,S7;DQ,DA,D4,DK;SA,C7,D9,S4;D8,D6,D7,S2;S5,C4,CA,S6;C3,C9,H8,H5;HJ,H7,H6,HQ;H9,H4,H2,HK;H10,H3,HA,SQ"
1569978735,3,0,1,"C2,C7,CK,C10;S8,S2,S9,S6;S4,C6,S7,S3;D5,DQ,D6,D8;C9,CQ,C4,C8;SJ,S5,CA,S10;DK,D2,DA,D4;C5,DJ,CJ,C3;SQ,D10,SK,D7;D9,H4,D3,H6;H2,H10,H9,HQ;HA,HK,H5,H3;HJ,H7,H8,SA"
1569978735,3,4,1,"C2,C9,C10,C7;S7,S9,S10,SQ;S3,S8,SJ,SK;CQ,C6,CK,C5;D10,D5,S2,D9;C4,CA,SA,D6;DQ,S5,D7,D4;C8,S6,D8,C3;DA,S4,DK,DJ;D2,HK,H6,CJ;D3,H2,HA,HQ;H5,H10,H4,HJ;H8,H3,H9,H7"
1569978735,3,13,1,"C2,C7,C6,C4;D8,D7,D4,DJ;CJ,C5,CK,C8;S5,S8,S6,S10;D10,D5,DA,DQ;S7,D2,SQ,SJ;C10,CA,C3,S4;S9,CQ,S3,SA;S2,D6,DK,SK;D9,H6,HA,D3;H7,H9,HJ,HK;H4,HQ,H2,H3;H5,C9,H8,H10"
1569978735,3,3,1,"C2,C3,C8,CQ;S2,S7,S3,S6;SA,SQ,S8,SK;D2,D5,DK,D6;C9,C10,D8,CJ;S4,SJ,S5,CA;DJ,D10,D4,D9;C4,DA,C7,C6;S9,D7,H7,C5;S10,HQ,H9,D3;H6,H3,HA,HJ;HK,H10,H8,DQ;H5,H4,H2,CK"
