1569978748,3,3,1,"C2,C8,C7,C4;D8,D2,DQ,DK;C9,C3,CQ,C10;S7,SQ,S5,S10;D10,D4,D6,DJ;SA,S4,S3,SK;S8,S6,DA,D5;CK,D7,H10,C5;CA,SJ,H7,H4;S2,S9,HA,H8;HJ,H2,H6,H3;H9,H5,CJ,D9;HQ,HK,C6,D3"
1569978748,3,6,1,"C2,C8,C4,C6;S4,S7,SJ,S3;D7,DA,D4,DK;DQ,DJ,D6,D10;D3,D8,CA,D9;SA,SQ,S5,S2;SK,S10,S9,S8;C5,C10,C9,CQ;D2,CJ,S6,C3;D5,HJ,H2,HA;H10,HQ,H4,H3;H6,HK,H7,H8;CK,C7,H5,H9"
1569978748,3,4,1,"C2,C8,CA,CK;S4,S8,SJ,S2;C6,S10,C4,C10;DJ,D9,DA,D5;C3,D4,C7,CJ;S9,SA,S6,SQ;D3,D2,DK,D10;S3,SK,D8,D6;C9,S5,CQ,DQ;H5,HA,H6,H8;H3,H9,H4,H7;HQ,C5,H2,HK;HJ,D7,S7,H10"
1569978748,3,0,1,"C2,C8,C4,C7;D9,DK,D10,D7;S4,S5,SQ,S8;C9,CA,C6,CJ;D3,D2,D4,D8;CK,C10,SK,C3;S10,SA,S9,S3;S6,SJ,S7,S2;DJ,DQ,HJ,DA;H5,HA,H9,H10;CQ,C5,H4,HK;D5,D6,H8,H3;H2,H7,H6,HQ"
1569978748,3,3,1,"C2,CA,C5,C6;S5,S7,S8,SJ;C10,C3,C7,D5;D6,D2,D3,DQ;S6,D9,SA,S10;CQ,D10,SQ,C4;CJ,D7,S2,C9;S3,D4,SK,DJ;DK,H8,D8,DA;HJ,H6,HK,H7;C8,H3,H2,HA;CK,H9,H5,S4;H10,HQ,H4,S9"
1569978748,3,4,1,"C2,C6,CA,C5;DJ,DK,D8,D4;S4,S6,S5,SQ;C9,CK,C8,CJ;C7,S7,C3,C10;DA,D7,D5,CQ;SA,S2,SJ,S10;S3,S9,D10,SK;H7,HJ,HA,H2;H4,H9,H10,HQ;D3,D9,DQ,HK;C4,H3,D2,H6;H8,S8,D6,H5"
1569978748,3,6,1,"C2,CA,CJ,C6;S4,SJ,S5,S7;D2,D7,D8,D5;S8,S6,S10,S3;C4,C9,C5,C7;D9,D6,DQ,DK;DJ,DA,S2,D10;D4,SQ,C10,D3;H2,H7,H8,H10;CK,CQ,H6,C8;SK,H3,HA,SA;HQ,HK,H4,H5;C3,HJ,H9,S9"
1569978748,3,9,1,"C2,CA,CK,C9;DQ,D5,D9,D4;DJ,DA,DK,D3;SK,SJ,S5,SQ;S7,C4,S8,S4;C6,CQ,C3,C7;CJ,C5,C8,S6;D8,D7,D10,D6;S9,S10,D2,S2;SA,HK,H8,H5;S3,H2,H6,H10;C10,HJ,H4,H9;HQ,HA,H7,H3"
1569978748,3,2,1,"C2,DQ,CQ,C3;D4,D6,D7,DJ;S4,S6,SK,S2;C4,D10,CA,C5;S9,SQ,S7,S3;DA,D9,D5,D2;D3,S10,D8,C8;C6,HQ,H7,CJ;C10,HK,HA,C7;C9,H9,H8,CK;H5,H6,HJ,H3;SJ,H4,S8,S5;SA,H10,H2,DK"
1569978748,3,4,1,"C2,C3,C10,CQ;D3,D5,DJ,D10;C9,C8,C5,CA;SJ,S7,S6,S8;DQ,D6,D4,DK;C4,S10,D9,CK;D8,SK,D2,DA;C6,S9,S5,S4;S3,SQ,SA,S2;H5,H4,H10,HA;H8,HJ,H6,H3;HQ,HK,CJ,H7;D7,H2,C7,H9"
1569978748,3,0,1,"C2,C7,CJ,C9;DQ,DJ,DK,D4;S2,SQ,S10,SK;D2,D6,D9,D10;C3,C8,C10,C5;S8,S6,S7,S9;CQ,DA,CK,C6;C4,D8,CA,SJ;S3,S4,S5,SA;H7,H4,H6,H2;H3,H9,HQ,H8;HA,D5,HJ,H10;H5,D3,D7,HK"
1569978748,3,0,1,"C2,S4,C9,C6;SK,S2,SA,S5;C4,DA,C8,CA;D6,D10,D9,D2;SJ,S6,SQ,C10;S9,S3,S10,C3;S7,D5,S8,D4;CK,DJ,C5,CQ;H9,H4,HA,HQ;H10,H2,H3,D8;DK,HJ,H8,D3;DQ,H7,H6,D7;C7,HK,H5,CJ"
