1569978758,3,4,1,"C2,C8,CJ,C10;D2,D8,DJ,D7;D9,DA,D6,DQ;S8,SJ,SA,SQ;C4,C6,C7,CK;D4,S6,S5,D3;D5,S10,S9,SK;DK,S7,C5,S4;D10,S3,CA,S2;C9,H9,H4,CQ;HQ,H6,HK,HA;H10,H3,H7,HJ;H2,H8,H5,C3"
1569978758,3,2,1,"C2,CA,CK,C8;DJ,D6,DK,D5;S7,S2,S9,S4;C6,CQ,C9,C7;SK,S10,SA,SJ;CJ,D3,C3,C10;C5,S3,C4,DA;S5,DQ,S6,D4;D8,H2,S8,D9;D2,H9,H4,D7;HJ,H3,HA,H10;H5,H6,H8,HQ;D10,HK,SQ,H7"
1569978758,3,0,1,"C2,C4,C10,C7;SK,SQ,S6,S4;D6,D10,DQ,D3;DA,DK,D5,C3;D7,D8,D9,S7;CQ,C5,CA,SA;SJ,S10,S8,S3;S5,H9,S9,HJ;CK,C6,D2,H3;CJ,C8,D4,HK;S2,H6,DJ,HQ;H4,H7,H2,HA;H10,C9,H8,H5"
1569978758,3,0,1,"C2,CA,CQ,C3;SQ,S4,S7,S3;DK,D6,D5,D7;SJ,SA,S10,D2;CK,D3,C4,CJ;D9,DJ,D10,C10;S5,D4,SK,C6;C8,S2,C5,C7;D8,H10,DQ,HK;C9,H7,H9,H5;HJ,S8,H4,HA;H2,S6,H8,H6;HQ,S9,DA,H3"
1569978758,3,0,1,"C2,C4,CQ,S8;D9,D7,D6,DA;S6,S7,SJ,SA;CA,C10,DK,C6;DQ,D3,D10,D5;CJ,C9,S5,C3;C8,C5,S10,C7;CK,SQ,DJ,S9;D8,D4,S2,S4;S3,SK,H5,H7;HK,HJ,H4,HQ;H10,H3,H2,H9;H6,H8,HA,D2"
1569978758,3,18,1,"C2,C6,CJ,C7;S5,SJ,D6,S8;D3,D5,DJ,D7;C10,C8,C9,CQ;SK,D2,SA,S7;D9,D4,DQ,DA;SQ,DK,S2,S4;C5,C3,C4,CK;D8,H8,D10,CA;H3,HQ,H4,HA;H7,HK,H2,S6;H6,HJ,S10,H9;H10,H5,S3,S9"
1569978758,3,7,1,"C2,CK,CQ,C10;D10,DK,DA,D3;D5,DJ,D9,D6;SA,SQ,S2,S3;D4,C8,D2,D8;S10,SK,C5,S9;C3,CA,C4,C6;S7,D7,S8,SJ;DQ,H4,H9,CJ;C7,HA,C9,HQ;H3,H10,H6,H5;HK,H7,H2,S4;H8,HJ,S5,S6"
1569978758,3,17,1,"C2,D5,C5,C7;SA,S6,SQ,S3;D7,DA,D6,DK;S5,S2,S8,SJ;CQ,C4,S4,C6;CK,CA,DQ,C3;D9,D3,SK,D10;C10,CJ,D4,C8;S9,D8,H2,S7;C9,H6,H8,H7;S10,H5,H9,HA;DJ,D2,HQ,H10;HJ,H3,HK,H4"
1569978758,3,8,1,"C2,C5,CA,C3;SA,SJ,S6,S2;C7,C4,C8,CK;C9,CJ,DK,C6;D6,DA,D2,D7;S7,S3,S10,S4;CQ,C10,SQ,D8;D4,DJ,D3,SK;DQ,D5,D10,S5;D9,H6,S9,S8;H9,HQ,HA,H7;H8,HK,HJ,H10;H4,H5,H3,H2"
1569978758,3,9,1,"C2,CA,CK,CQ;S4,S9,S2,C5;S10,SQ,S7,D3;D6,D7,D4,DK;C8,C10,C6,C4;DA,D5,D8,D9;DJ,DQ,S8,C7;SA,S6,CJ,S3;SJ,C9,H5,D2;SK,C3,HJ,D10;S5,H3,H4,H10;H2,H8,H9,HQ;H7,H6,HK,HA"
1569978758,3,4,1,"C2,CK,C3,CJ;D4,DQ,D8,D10;C4,CA,C9,C6;S8,SK,S4,S3;S10,S2,SQ,S7;C5,C8,CQ,C7;S6,S9,S5,SA;DK,D2,D9,DJ;D7,H2,SJ,DA;C10,H9,H4,H3;D6,H8,H5,D3;D5,HQ,H6,HK;H10,H7,HJ,HA"
