1569978763,3,0,2,"C2,C3,CK,C5;D9,DQ,DA,D7;C4,D4,C6,C9;C7,D10,S9,CA;S10,S7,SJ,SK;D6,D3,D5,DJ;S8,S2,S5,C8;S6,DK,SQ,CJ;S3,D2,S4,CQ;SA,H5,HQ,C10;D8,H7,H4,H2;HK,H6,HA,H10;H9,H3,HJ,H8"
1569978763,3,0,2,"C2,CJ,C3,C4;D7,D2,D4,D3;SJ,S3,SK,S4;D5,DK,DA,D10;C6,C9,CK,C7;D8,DQ,D9,DJ;S10,SQ,CA,S8;S6,CQ,SA,S7;H10,H9,H5,H4;HJ,H3,HK,H2;D6,H7,H8,C10;S9,H6,HA,S2;S5,HQ,C8,C5"
1569978763,3,4,2,"C2,C3,C10,C7;D4,D5,DJ,D3;CJ,C4,C9,CA;SK,SJ,S3,S5;C8,D2,S7,CK;DK,D6,DQ,DA;C5,SQ,S6,D7;C6,D9,S8,SA;CQ,S10,S9,S2;D10,D8,H9,HK;H7,H4,H3,H2;H10,H6,HA,HQ;H5,S4,H8,HJ"
1569978763,3,0,2,"C2,C8,CK,C3;C10,CJ,C5,C4;S10,S6,SQ,S2;D4,DJ,D3,D8;D9,DK,D6,C6;SJ,S3,SA,CA;D7,D2,D5,C9;S8,S4,SK,HK;DQ,S7,D10,H6;HQ,H10,H9,H5;H3,HJ,DA,H8;CQ,H2,S5,H7;C7,HA,S9,H4"
1569978763,3,15,2,"C2,C7,CQ,C5;SJ,SA,S6,S8;D6,D5,D7,D4;SK,SQ,S10,S4;D3,D9,DA,DK;CK,C10,C6,C9;CA,S5,S2,C8;D10,DQ,D2,D8;DJ,H6,H10,C4;H9,HA,H3,H7;H2,S3,H8,HJ;CJ,S7,HQ,H5;C3,S9,HK,H4"
1569978763,3,9,2,"C2,CA,C6,C9;DK,SQ,D2,DQ;D8,S6,DJ,D6;S3,S8,D4,S2;C5,C8,CK,C3;DA,D9,CQ,S7;D5,D10,CJ,SA;S5,S10,D3,S9;C10,SK,D7,C7;SJ,H8,H7,C4;S4,H2,HK,HQ;H5,H4,H3,H10;H6,H9,HA,HJ"
1569978763,3,25,2,"C2,CK,CQ,C5;D2,D5,DA,D8;SA,SJ,S10,S5;DQ,D9,DJ,D4;S9,S2,SK,D10;CJ,C10,C4,C9;CA,C8,C7,C6;S6,S7,S3,DK;C3,D6,S8,H2;H7,H6,HA,HQ;D7,D3,H4,H9;SQ,H5,HJ,HK;S4,H3,H8,H10"
1569978763,3,15,2,"C2,C7,CK,CJ;D3,D2,D9,DQ;D4,DJ,SA,D8;S9,S8,S3,SJ;CQ,C3,C4,C10;D6,SK,D7,DK;SQ,S5,S4,S6;D5,H4,C8,D10;H7,HQ,H2,H3;HK,HJ,H10,S10;H5,C6,H9,S2;H8,CA,HA,C5;H6,S7,C9,DA"
1569978763,3,9,2,"C2,C3,C6,C7;S9,SQ,S3,S8;D8,D3,D4,D6;DK,DA,D5,D2;S6,S4,DQ,S7;C9,CK,C5,C8;SK,SA,CA,SJ;D10,D9,DJ,S10;CJ,S2,CQ,C10;D7,HJ,HK,H2;C4,HQ,H6,H9;H3,H10,H7,HA;H4,S5,H5,H8"
1569978763,3,0,2,"C2,C3,C10,C4;C5,C7,CK,CQ;D9,D8,DQ,D4;DK,D5,D7,D2;S4,SJ,SA,S8;C8,SK,CA,CJ;C6,S7,C9,D3;S6,S10,S3,HQ;DA,DJ,D10,H8;S2,H2,S5,HJ;H9,H3,H7,H5;S9,HK,H6,H4;SQ,D6,H10,HA"
1569978763,3,17,2,"C2,C4,CK,C8;D9,D6,DQ,D10;C3,CQ,DJ,C7;D7,D2,DA,D3;C5,S10,SQ,C10;S7,SA,S3,SJ;S8,S6,S4,C9;DK,D8,D5,D4;S9,HK,S5,CJ;HJ,H9,HQ,H5;H4,H2,H10,H3;H6,HA,S2,CA;H7,SK,C6,H8"
1569978763,3,2,2,"C2,C8,C6,C4;DK,D7,D3,D8;CK,CJ,CA,C5;SQ,SJ,SA,S2;S6,S7,S9,D4;D5,S3,DA,C9;S10,SK,DJ,C7;S4,DQ,S5,HJ;D10,D6,HQ,HA;C10,C3,H9,H10;CQ,HK,H2,H4;H8,D2,H3,H7;H5,D9,S8,H6"
1569978763,3,0,2,"C2,C3,C8,C10;D8,DJ,DK,D10;D9,D2,D5,DA;CQ,CK,C5,SJ;SQ,S7,S9,S10;S8,D7,S2,S6;D6,DQ,D4,C6;C4,SK,CA,CJ;H10,SA,H3,HK;H9,S3,HJ,HQ;H8,S5,H6,H2;H7,S4,C7,H4;H5,D3,C9,HA"
