1569978769,3,3,1,"C2,C3,C6,CK;S2,SA,S10,S6;SQ,SK,S9,S8;CA,C7,CQ,DJ;C4,C9,C8,SJ;S4,DK,S7,S3;D6,D10,D5,D9;DA,D4,DQ,D2;D8,C10,D3,D7;S5,HK,H9,H3;HA,H4,H7,H5;H2,H8,C5,H10;H6,HJ,HQ,CJ"
1569978769,3,0,1,"C2,C8,CQ,C10;D9,DK,DQ,D4;CJ,D2,CA,C4;SQ,SJ,S2,SA;D6,D3,D7,D8;S8,SK,S3,S6;D10,C5,DA,DJ;S9,S7,S4,S10;D5,S5,CK,C3;H8,HJ,H4,H7;H10,HK,H9,C9;HA,HQ,H5,C6;H6,H2,H3,C7"
1569978769,3,16,1,"C2,C4,CQ,CA;D3,DQ,D5,D10;D7,DA,D9,D6;SJ,S6,S10,S2;SQ,S4,S5,D2;S8,S9,C8,DK;C7,C5,C10,C9;CJ,SK,CK,C6;D8,DJ,H10,D4;SA,HJ,S7,H3;H5,H6,HK,H7;HA,H8,H9,H2;S3,HQ,H4,C3"
1569978769,3,13,1,"C2,CA,CJ,C8;DJ,DK,D2,DA;D8,D4,D10,DQ;SQ,SJ,S9,S7;S6,S5,SK,S2;CK,C5,C4,C10;CQ,D3,C7,C3;S3,S10,S8,D7;S4,SA,H9,H2;D5,H7,HQ,D9;HA,H3,H8,H4;D6,H10,C9,H5;HJ,H6,C6,HK"
1569978769,3,0,1,"C2,C9,CA,C5;D8,D4,DQ,D3;SA,S6,S7,S8;D5,D6,DK,D2;C4,C10,CK,C7;SQ,S5,SK,S10;C8,CQ,CJ,C6;S3,S4,SJ,DJ;DA,D10,D9,H8;H5,H3,H9,H4;S9,HA,HQ,H2;S2,C3,H10,HK;HJ,D7,H6,H7"
1569978769,3,0,1,"C2,C5,C8,CK;S10,S9,S5,S8;SA,S2,DQ,S6;D7,D2,DK,D5;C3,D3,C9,C6;S3,SQ,S7,CA;DA,D8,DJ,CJ;D4,D10,SK,C10;S4,SJ,D9,CQ;C4,H10,D6,C7;H4,H9,HK,HJ;H8,H6,H3,H2;HA,HQ,H7,H5"
1569978769,3,2,1,"C2,CA,C9,C10;S4,S10,S8,SK;D8,D3,D6,D7;C7,C8,DQ,C5;DA,D5,S6,D10;D4,D2,CK,DK;S3,S9,SA,CQ;C3,S7,SJ,CJ;D9,DJ,HQ,H5;S5,SQ,H4,H8;HJ,H9,HA,H7;HK,H3,H2,C6;H6,S2,H10,C4"
1569978769,3,20,1,"C2,CJ,C4,C7;S3,S6,SK,S8;D3,DQ,D8,DJ;D4,D9,D7,D6;S7,SJ,C10,S4;C8,D10,CA,CQ;C5,CK,S5,C9;S2,D2,SA,C6;DK,DA,D5,H9;HK,H10,H6,H4;H3,H8,S10,HA;HQ,H2,H5,S9;H7,HJ,C3,SQ"
1569978769,3,20,1,"C2,C8,C3,C10;S10,S3,SJ,S5;S7,S4,S2,S8;CJ,C4,CK,C7;D8,D4,D7,D10;DA,CA,D5,D3;D9,C6,DK,S6;SQ,S9,SK,C5;SA,H4,CQ,D6;H9,HQ,H8,H3;H2,H7,DQ,H6;HA,H5,C9,HK;H10,HJ,DJ,D2"
1569978769,3,0,1,"C2,C6,CK,C3;S4,S10,S9,SQ;D6,D3,D9,D2;S8,S6,S5,S2;S7,C7,SA,C9;C8,C5,CA,CJ;SJ,D4,D8,SK;DQ,DK,S3,D10;C4,HK,C10,H8;H9,HJ,H5,H4;H10,H7,H2,H3;HA,DA,H6,D5;HQ,D7,CQ,DJ"
1569978769,3,0,1,"C2,CJ,C10,CQ;SA,S8,SK,S3;S10,S6,S7,SJ;C3,C9,C7,C4;D7,D3,DK,DJ;DQ,D4,D6,D9;DA,D2,D10,C8;S9,S5,SQ,S4;H6,HA,H7,HJ;H3,H4,HK,H8;H9,H5,CK,D8;H10,H2,C5,D5;HQ,S2,C6,CA"
