1569979547,3,22,1,"CA,CJ,C7,C2;SJ,S3,S10,S2;S8,S7,S4,C8;D8,DQ,DK,D10;DA,D5,DJ,SA;C9,C5,C4,C10;SQ,SK,D6,D9;D4,D7,D2,S6;C6,CQ,S9,C3;H6,HK,H8,H3;HJ,HA,H4,H5;S5,H9,HQ,H7;CK,H10,H2,D3"
1569979547,3,2,1,"C7,C10,C3,C2;S8,SK,SJ,S7;D9,DQ,DK,DJ;CQ,C6,C8,CK;S9,D5,S4,S6;S10,D2,SQ,S3;D3,DA,D7,S2;C9,D6,C4,SA;CJ,D8,D4,S5;C5,D10,H5,H8;H3,H7,HA,H6;H9,H10,H2,H4;HQ,HJ,CA,HK"
1569979547,3,22,1,"C4,CK,C7,C2;DA,DK,D7,DQ;S8,S6,S4,S10;C3,C6,CJ,C5;D4,DJ,D8,D6;S9,SA,S2,S7;CQ,C10,SK,D3;D9,D10,SJ,D5;SQ,H6,H2,S3;H10,H4,HJ,H7;H9,H8,HK,H3;S5,CA,HQ,D2;C9,C8,H5,HA"
1569979547,3,0,1,"CA,C3,CJ,C2;D5,D7,D9,DQ;D2,D6,DJ,D8;C7,C4,C9,C6;SK,S7,SJ,SA;D4,D10,D3,S8;C5,C10,CK,CQ;S4,S3,S10,S2;S6,S5,S9,SQ;C8,H4,HJ,H10;H5,HA,HK,H8;DA,HQ,H6,DK;H3,H7,H2,H9"
1569979547,3,0,1,"C4,C10,C7,C2;D6,D7,DK,D4;CA,DA,C9,S9;CK,D9,C6,DJ;C3,S10,C8,DQ;SA,SJ,S4,S7;S2,S5,S3,S6;S8,D5,D8,SK;CJ,D2,C5,D10;HK,HJ,H10,H9;H6,H7,H3,H2;D3,SQ,HQ,H4;H8,CQ,H5,HA"
1569979547,3,2,1,"CQ,C10,CJ,C2;S5,S10,S9,SQ;D10,D3,D7,DQ;S7,SK,SJ,SA;D6,DA,D2,D5;S8,DJ,S4,S3;CK,C6,C4,C9;S6,H7,CA,H10;H3,H9,HK,HJ;D4,DK,H8,HQ;D8,H4,D9,H6;C8,C5,H5,HA;C7,C3,S2,H2"
1569979547,3,0,1,"C6,C3,CA,C2;S9,S4,SJ,SA;DJ,D10,D5,D2;SK,S7,S10,S5;SQ,S2,S6,S8;DQ,C10,DK,D9;D8,C8,D3,D6;D7,C5,C4,C7;DA,H9,H5,H7;H2,H3,H6,CK;H4,H10,HA,C9;CQ,HQ,H8,CJ;D4,HK,HJ,S3"
1569979547,3,9,1,"C10,C9,CA,C2;DA,D8,DK,DQ;SK,S5,SQ,SA;DJ,D4,D7,D2;C5,C3,C4,C8;S8,S10,S4,S2;CJ,C7,D9,CK;S9,SJ,S7,S3;D3,CQ,D5,D10;H6,H9,HA,HQ;H4,HK,H8,H2;C6,H3,D6,H7;S6,H5,H10,HJ"
1569979547,3,8,1,"CJ,C8,C4,C2;S2,SA,SK,S9;S8,S4,SJ,SQ;C6,C3,C9,C5;CK,CQ,C10,C7;D3,D7,D8,D9;DA,D4,D6,D5;DK,D2,DQ,S7;S5,S6,S3,H3;H4,H10,HA,H7;H2,HQ,H6,DJ;HJ,H8,H9,D10;HK,H5,CA,S10"
1569979547,3,5,1,"CA,C7,CQ,C2;S5,S10,SA,S2;D8,DJ,DQ,DK;S7,S8,S9,S3;C8,C5,C4,C10;S4,CK,SJ,S6;DA,C6,D5,D9;D4,C3,D3,D6;D10,H9,D7,D2;H8,HJ,HQ,H3;H4,H7,HA,H6;CJ,HK,SK,C9;H2,H5,SQ,H10"
1569979547,3,0,1,"C3,CA,CQ,C2;D5,S8,D6,D10;SK,S5,S9,SJ;SA,SQ,S6,S4;D8,S10,DK,D7;DJ,C6,DQ,D4;CK,C9,C5,CJ;D3,C10,D2,DA;S3,HJ,S7,HA;H10,HK,H7,H2;H6,H8,H9,H4;H5,HQ,C7,S2;H3,C4,C8,D9"
