1569979570,3,3,3,"CJ,CK,CA,C2;D2,D3,D4,DA;D5,D10,D6,D9;SK,S7,S3,S2;S4,SA,C7,S8;C9,C4,S5,C3;S6,C5,SQ,S10;D8,DK,D7,C6;C10,SJ,C8,S9;H4,H8,H3,H2;HK,HQ,CQ,H6;H7,HA,DQ,H5;H9,H10,DJ,HJ"
1569979570,3,4,3,"C7,C9,CA,C2;S2,S7,S5,S3;CK,C8,C10,C5;D9,D5,DK,DQ;S8,D8,S6,S10;SJ,D6,SA,S9;D2,D4,DJ,D3;SK,CJ,SQ,S4;H10,H9,HA,HK;H6,H7,H2,HQ;CQ,C4,C6,H4;H3,D10,D7,H5;HJ,DA,H8,C3"
1569979570,3,0,3,"CK,CQ,C5,C2;S2,S6,SA,S3;SQ,S4,S5,SK;D9,D8,DK,D5;CJ,C7,C6,C9;D2,D6,DQ,DA;SJ,S8,S10,S7;C4,D10,C8,C3;DJ,S9,D7,C10;CA,H8,HJ,H5;H7,H10,H2,HK;HA,HQ,D3,H9;H3,H4,D4,H6"
1569979570,3,0,3,"CQ,C5,C3,C2;D2,D5,D6,D4;C4,C6,CJ,C7;S2,S7,S8,S10;D10,D9,DJ,D3;S6,S3,DA,S4;SQ,SA,D8,SK;CK,CA,SJ,C9;DK,S5,DQ,C8;D7,H3,H5,H10;H4,HK,H6,H9;HA,H2,S9,H8;HQ,H7,C10,HJ"
1569979570,3,2,3,"C10,CK,C3,C2;D9,D4,D6,D2;SK,S3,SJ,S10;D3,D10,DA,DJ;SQ,D7,C4,S7;S4,DK,CQ,S6;C7,C9,C5,C6;DQ,H10,CJ,HK;H7,HJ,H5,H9;H3,HA,S5,H8;HQ,SA,D8,H2;CA,S9,C8,H4;S8,S2,D5,H6"
1569979570,3,24,3,"CA,C5,C3,C2;SA,SK,SQ,S10;D5,D10,D6,D8;D4,DJ,D3,DA;S8,S5,S9,SJ;D9,DQ,C4,D2;C9,CQ,CK,C6;DK,C8,C7,D7;S4,S2,S7,S6;C10,CJ,H5,H3;H10,H4,H8,HQ;S3,H6,H7,HA;HK,H2,HJ,H9"
1569979570,3,17,3,"CJ,C4,C3,C2;CA,C8,CK,CQ;C7,S5,C10,C5;D8,D10,D7,DQ;C9,SQ,C6,DJ;D9,D4,SK,D6;D5,DK,S6,DA;S8,SA,S2,S10;S3,S4,H10,SJ;H6,H4,HA,H7;H2,H5,HJ,D3;HK,HQ,H3,S7;S9,H8,H9,D2"
1569979570,3,18,3,"CQ,C3,C9,C2;DJ,DQ,D10,D7;S9,S6,S2,S8;D8,S7,D5,D6;S10,SK,S3,S4;S5,CJ,SA,D2;C4,C10,CK,C5;C8,C6,C7,D4;DA,D9,SQ,H3;H10,H7,H5,H4;H6,HA,H2,HJ;SJ,HQ,DK,H8;D3,CA,H9,HK"
1569979570,3,0,3,"C8,CJ,CK,C2;SA,S8,S5,S4;S9,S3,SJ,S7;D5,D3,DQ,D7;C10,C7,C6,S10;CA,C4,C9,S2;DA,D2,D8,DJ;D10,C3,D9,SK;DK,H8,H10,H5;H3,H2,HK,H9;H4,HA,H7,H6;C5,SQ,D4,HQ;CQ,S6,D6,HJ"
1569979570,3,0,3,"C7,C5,CA,C2;DQ,D6,D4,DA;S2,SQ,SJ,S10;SK,SA,S6,S7;CK,C8,C6,CQ;C9,D7,C10,D5;S3,D3,S5,S8;S4,DJ,D8,D2;S9,C4,D10,HK;H3,H8,H10,H4;D9,CJ,H2,H7;DK,H5,HJ,HQ;H6,C3,HA,H9"
1569979570,3,0,3,"C10,CQ,C5,C2;DK,D8,D4,DA;SK,S5,S3,S9;SA,S6,S8,S4;C9,C3,C6,C8;D5,S7,D7,D9;D10,H2,DQ,H7;CA,C4,HQ,C7;H9,HA,H8,DJ;HJ,H10,D6,H5;SJ,H4,S10,S2;SQ,H3,CJ,D2;CK,H6,D3,HK"
1569979570,3,18,3,"CQ,C10,C4,C2;S10,SK,S2,S6;D3,D9,DA,DJ;C7,CJ,CA,C8;DK,D8,D6,D4;D5,D10,D2,S3;C3,CK,DQ,C6;S7,SJ,S5,SQ;SA,S8,H3,S9;HQ,H6,HJ,H2;H7,HA,H5,HK;D7,H4,S4,C9;C5,H10,H8,H9"
1569979570,3,18,3,"C9,CQ,CJ,C2;DK,D4,D6,D2;C4,CA,C5,CK;SQ,SJ,S4,S10;SA,SK,S7,S5;S8,S6,D7,DA;S3,S2,D3,DJ;C6,HA,C8,C3;H4,HJ,HQ,H8;DQ,H3,S9,D10;D5,H2,H7,D8;H9,H5,D9,HK;C10,H6,H10,C7"
