1569979571,3,0,1,"C10,C8,CK,C2;DA,D8,DK,D2;D5,D3,D6,D7;S5,S7,S10,S2;CJ,SK,CA,C6;D4,DJ,D9,DQ;C3,S6,C9,D10;CQ,S4,C4,SA;S9,S3,SQ,S8;SJ,H5,H6,C5;H2,HQ,HJ,H9;HK,H10,HA,H7;C7,H8,H4,H3"
1569979571,3,0,1,"C3,C7,CK,C2;D10,D2,S9,D9;DA,D8,C6,D6;DK,D3,CA,DJ;D4,SJ,S10,C10;S7,S4,S5,S2;DQ,C4,S6,C8;SK,S8,SA,S3;H5,HQ,H7,D5;SQ,H6,H8,C5;CJ,H2,H9,C9;HA,H10,H3,D7;HK,H4,HJ,CQ"
1569979571,3,14,1,"C4,CA,C7,C2;S6,C6,S2,SJ;D3,DK,DA,D7;CQ,C9,S9,C8;CK,C10,S7,CJ;C3,D2,S5,S10;C5,D6,D4,DJ;D10,D5,D9,SA;SQ,H3,S4,SK;H2,H6,H9,H7;HQ,H8,H10,HA;DQ,H5,D8,HK;S8,HJ,H4,S3"
1569979571,3,21,1,"C7,CK,C9,C2;D5,D2,D10,D3;S8,S5,S6,S10;CQ,C5,D4,C3;C8,DA,DK,C6;D6,S3,DQ,D8;D7,SA,CJ,SJ;DJ,HA,H7,S7;H3,HQ,H9,HK;S9,H8,S2,S4;H2,H5,H10,H4;D9,HJ,SQ,C10;SK,H6,C4,CA"
1569979571,3,12,1,"CQ,C4,C7,C2;D2,DQ,S9,D10;S6,S7,SK,SJ;CA,C3,S4,C9;SQ,S8,S2,D3;C10,SA,D9,CK;DK,HK,D6,D4;H2,H5,H6,HA;D8,HJ,D7,D5;H10,H3,S3,H9;DA,H7,S10,C5;DJ,HQ,S5,C8;H8,H4,CJ,C6"
1569979571,3,1,1,"C5,CQ,C4,C2;D5,D10,D4,D9;S3,S4,S5,S10;D8,D2,D7,DA;S8,S2,S9,S6;C6,C10,C3,C9;SA,SQ,D3,S7;CJ,C8,CK,DJ;C7,DQ,SK,H7;H9,HQ,H4,H10;H3,H2,H6,HA;H8,HJ,H5,D6;SJ,CA,DK,HK"
1569979571,3,14,1,"CK,C3,CQ,C2;SK,SA,S9,S6;C6,C9,CA,DJ;D6,D9,DK,D5;D3,DQ,D2,DA;S8,SJ,S7,S10;C4,C10,C8,S2;D4,D7,D10,H6;H2,H8,HJ,HQ;H10,HA,H5,H9;CJ,C5,H3,C7;HK,D8,H7,S5;S3,SQ,H4,S4"
1569979571,3,4,1,"C3,C6,C7,C2;DQ,D3,D7,D10;D4,DK,D5,DA;C10,C8,CK,C4;S7,SK,S10,S8;C9,D2,CA,C5;S6,S5,S4,SJ;CQ,D9,DJ,S9;CJ,SA,S3,D8;HK,H6,H4,H3;H2,HJ,H7,H9;H8,S2,H10,HA;SQ,D6,H5,HQ"
1569979571,3,22,1,"C10,C8,CK,C2;S6,S9,S7,SA;D7,D10,D5,DJ;SK,S10,S4,S5;S2,CQ,D9,S8;D8,DQ,D4,D2;C6,C3,S3,C5;C9,CJ,D6,C4;H4,H7,H2,HA;D3,DA,H9,HK;C7,HJ,H3,H10;DK,SQ,H8,HQ;CA,SJ,H5,H6"
1569979571,3,0,1,"C7,CJ,C6,C2;S6,S7,S10,SA;S8,S9,SJ,SK;DK,DQ,D7,D5;D10,D9,DA,D3;C4,C10,C9,CK;S4,S5,CQ,S2;D4,D8,DJ,D2;C5,C8,SQ,C3;CA,S3,H10,D6;HJ,HA,H7,H3;H9,H2,H6,H8;H5,HQ,H4,HK"
1569979571,3,0,1,"C4,CK,C3,C2;SK,S3,S2,S5;S8,S4,S10,S6;C9,C8,CA,CQ;D6,D3,DK,D8;SJ,D7,C5,S7;C10,C7,C6,SQ;CJ,D5,D10,S9;SA,D2,DA,H6;H8,H9,HQ,HJ;H3,D9,H7,H2;H4,DQ,HA,HK;DJ,D4,H5,H10"
1569979571,3,2,1,"C3,CK,C9,C2;S5,S9,SJ,S6;CJ,C5,CA,CQ;D4,D9,DA,D3;S8,S4,S7,S2;D6,C7,DQ,D8;C10,C8,S10,C4;C6,SQ,DK,SA;HK,H4,H9,H6;H2,H10,H3,HQ;D5,HJ,D10,H7;D2,HA,H8,DJ;S3,SK,H5,D7"
