1569979578,3,13,1,"CA,C3,C4,C2;C10,C7,CK,CQ;SK,S4,S3,S7;S9,SQ,S2,SA;D2,D9,DK,D5;D3,DJ,D8,DQ;S6,S5,S10,D6;DA,C8,D7,D10;S8,C5,SJ,D4;CJ,H3,H2,C6;HK,H8,H7,H6;H5,HA,H9,HJ;HQ,H4,C9,H10"
1569979578,3,0,1,"CA,CJ,C4,C2;S6,S4,S3,S2;S9,SJ,S5,S8;C9,D8,C6,CQ;D4,D5,D7,D9;S10,DA,D2,SK;C5,D3,C7,C3;DJ,D10,DK,D6;HJ,H9,H2,HQ;HK,H6,H8,HA;H10,H5,C10,H4;H3,C8,CK,SQ;H7,SA,DQ,S7"
1569979578,3,4,1,"C8,CQ,C5,C2;D6,DQ,D7,DK;C9,C4,D2,CK;S3,S5,SJ,CJ;D9,D5,C7,DJ;S8,SK,S10,C3;DA,S2,C10,S9;D10,S4,HK,C6;H5,HA,HJ,H7;H4,H9,SQ,H6;HQ,D8,CA,H10;H8,D4,S7,H2;H3,D3,SA,S6"
1569979578,3,0,1,"CK,C7,CQ,C2;D6,D9,D5,C4;CA,S10,C8,C3;S2,S6,SQ,S3;C9,D3,C6,S7;S4,DQ,S8,SK;D10,DK,S5,C10;D7,CJ,DJ,S9;SA,H2,SJ,HJ;H5,H9,HA,H8;HK,H4,H7,H3;H6,H10,D4,DA;HQ,C5,D8,D2"
1569979578,3,0,1,"CJ,C4,CA,C2;S9,S10,SQ,S5;DQ,D10,D2,DA;C9,C8,C10,CQ;S3,S6,SA,S2;SK,DJ,SJ,S4;DK,D3,D5,D7;D4,D8,D9,CK;C6,C5,H2,C3;HA,H4,H6,H5;H7,H8,HQ,H10;HK,H3,HJ,S8;H9,D6,S7,C7"
1569979578,3,3,1,"CQ,C6,CA,C2;D7,D10,D9,D4;SK,S7,SA,S5;S10,S9,S2,SJ;C8,C5,C3,C10;S8,S6,D3,DA;SQ,S4,DK,DQ;D5,D8,D6,C9;CJ,DJ,C7,CK;H10,H8,HJ,H7;HA,H6,H3,H5;S3,C4,H9,H4;HQ,D2,H2,HK"
1569979578,3,0,1,"CA,C6,C8,C2;S10,SQ,SA,SJ;S8,S9,SK,S3;D7,D10,D3,DQ;S5,C3,C10,S2;D2,DA,C4,D5;D9,D6,CQ,DK;C5,C9,C7,DJ;S4,HA,D8,S7;H10,HK,H4,H7;HJ,H6,CK,H9;H5,H2,CJ,H8;S6,HQ,H3,D4"
1569979578,3,3,1,"C10,C4,CJ,C2;S2,S3,S8,S4;C7,C6,CK,SQ;D4,D10,DQ,D5;SJ,S9,S5,S6;C3,C5,CA,DK;DJ,D6,D2,D3;DA,D7,D8,SA;H5,H9,H2,H3;C9,S10,HQ,HJ;H7,SK,H4,H10;HK,D9,C8,HA;H8,S7,CQ,H6"
1569979578,3,22,1,"CJ,C7,C5,C2;D9,D10,DA,D6;S9,SJ,S6,S7;SK,SA,S2,S3;C10,CK,S5,C8;C9,DJ,D4,CQ;D2,DK,C6,DQ;S10,CA,D7,SQ;D3,S4,HK,C4;H5,H6,H8,HJ;H7,HQ,H9,HA;D8,H4,H3,H2;D5,S8,H10,C3"
1569979578,3,18,1,"CA,C3,CQ,C2;D8,D3,D10,D2;SA,C9,S7,S8;S5,C5,S4,S10;D7,DA,D4,DQ;SK,C7,SJ,SQ;S9,C10,S2,S6;S3,H2,C8,D6;H10,H3,H6,H7;HJ,HA,C6,HK;H9,C4,HQ,H4;CJ,DJ,DK,H8;CK,D5,D9,H5"
1569979578,3,0,1,"C9,CJ,CQ,C2;D5,DJ,D8,DQ;S2,S8,S6,S9;CA,CK,C3,C10;C8,C5,C6,C4;D2,DA,D7,DK;SK,S10,SA,S5;D6,S7,D10,S4;D9,C7,D3,SQ;D4,HQ,H3,H4;H5,HA,H6,H2;H10,HK,H9,H8;H7,S3,HJ,SJ"
1569979578,3,22,1,"CQ,C9,C10,C2;S10,S2,S4,SJ;C7,D3,CJ,CA;D7,D2,DA,D4;D8,DQ,D5,C6;C5,SQ,S6,C4;C8,S5,S8,CK;SK,S7,S3,S9;H9,HA,H3,HK;C3,H4,H5,H2;H8,H7,H10,H6;D6,D10,DJ,HQ;SA,DK,D9,HJ"
1569979578,3,2,1,"C4,C3,C9,C2;DK,D3,D10,D5;D8,CJ,DQ,S2;DA,S3,S6,D4;D2,SQ,CK,DJ;C5,C6,C10,C8;S10,SA,SJ,S7;CQ,D7,CA,D9;S9,HJ,SK,D6;C7,HA,H9,H10;HK,H7,H8,H2;H5,H6,S8,H4;H3,S5,S4,HQ"
