1569979585,3,15,0,"C9,C7,CK,C2;SK,SJ,S3,S10;SA,S6,C6,S9;D8,D2,D5,D3;C8,C10,CQ,C3;DQ,DK,D4,DA;C4,D6,SQ,C5;DJ,S5,D9,S2;D10,H6,CA,H2;H7,HA,H4,H9;H10,S4,HK,HQ;H8,S7,D7,H5;HJ,S8,CJ,H3"
1569979585,3,0,0,"C7,C9,C8,C2;DA,D10,D9,D6;S6,SQ,S10,S2;C4,C6,CK,CJ;D8,D3,DQ,DK;D2,D4,C10,D7;SA,S4,S8,SJ;S9,CA,SK,CQ;C3,C5,HJ,H10;H2,H7,HK,H9;HA,S5,H6,HQ;H3,S7,D5,H4;H8,S3,H5,DJ"
1569979585,3,0,0,"CA,CQ,CJ,C2;D10,DQ,DJ,D6;C5,C4,C8,C7;S6,SA,S5,SJ;D5,D9,D8,C10;S8,S2,S9,SK;C9,CK,C3,S3;D4,SQ,DA,D2;C6,H2,HK,HA;H6,HJ,H4,H9;H7,H5,H3,HQ;S7,S4,H8,DK;S10,D7,H10,D3"
1569979585,3,0,0,"C7,C8,C6,C2;DA,D7,DJ,D9;S7,SJ,S5,S6;S10,C10,S4,S9;CK,CA,CQ,C4;DQ,D10,CJ,D8;D5,C9,C3,DK;D3,S8,D4,C5;D2,D6,S3,SQ;S2,SA,H2,H3;H10,HA,H4,H9;HJ,HQ,H5,H7;SK,H6,H8,HK"
1569979585,3,13,0,"C8,C6,C5,C2;S4,SA,S3,S2;D7,D2,D3,D4;DK,DJ,D8,SK;S7,S9,S8,S5;DQ,D9,C9,S10;DA,D10,C4,SQ;CK,C10,CA,CQ;C3,S6,C7,CJ;H6,H9,HQ,H10;SJ,HA,HK,H5;D5,H7,H2,H3;D6,HJ,H4,H8"
1569979585,3,4,0,"CQ,C9,CA,C2;S8,D3,S10,S5;D8,DJ,DK,D5;CJ,C6,C10,C7;C5,C3,SA,C8;SQ,CK,SJ,S3;D6,D4,D9,DQ;S7,D10,SK,S2;D2,H5,H3,DA;H8,HA,H4,H6;H9,S6,HJ,HK;H10,S4,H2,H7;D7,S9,C4,HQ"
1569979585,3,6,0,"C5,CK,C7,C2;DA,D3,DK,D6;D9,D8,D4,DQ;S3,S4,S7,SK;CQ,C10,C3,C6;C9,CA,CJ,C4;S9,S2,S8,SA;DJ,D5,D2,SQ;D7,C8,SJ,S10;D10,HQ,H6,H4;H8,HK,H10,HJ;H3,HA,H7,H2;S6,H9,H5,S5"
1569979585,3,19,0,"C10,C3,CK,C2;CQ,C7,C9,C5;D10,DJ,D6,D3;D4,DA,D8,DK;S3,S5,S9,SQ;C6,SJ,C4,CA;CJ,D9,S10,C8;H4,H5,H10,H2;H8,HJ,S7,HK;H6,S4,S8,HQ;H3,D2,D5,H7;HA,S2,SA,S6;H9,D7,DQ,SK"
1569979585,3,4,0,"C4,CJ,C6,C2;D3,DA,D6,D10;SA,S8,SJ,SQ;S3,S4,S6,S2;C8,C3,C10,CA;S10,SK,D9,S9;CQ,C7,S5,C5;D4,D2,S7,D7;CK,D8,HK,HQ;DQ,D5,H3,H10;H2,H9,H6,H5;DK,H7,H4,DJ;HJ,H8,HA,C9"
1569979585,3,26,0,"C3,CJ,C10,C2;DA,D8,D2,D4;SQ,S5,S10,S6;S3,S4,S9,S2;CA,C6,C4,C9;C8,DJ,C5,CQ;D10,D9,DQ,DK;CK,D3,SK,SJ;C7,S8,SA,D5;H7,H3,H6,HK;HQ,H8,HJ,H5;D6,H10,H2,HA;D7,H4,S7,H9"
1569979585,3,4,0,"C6,C9,C3,C2;D9,D8,D2,DK;S9,S5,SA,S10;CK,C5,CA,CQ;D4,D3,DJ,DA;D7,D6,C7,D5;S7,SQ,S8,S4;SK,S2,S6,D10;SJ,S3,C8,HJ;H2,H3,H5,H4;H8,HQ,HA,H6;H10,H7,DQ,H9;CJ,C4,C10,HK"
