1569979587,3,0,1,"C8,C9,C3,C2;S6,S3,S8,S5;C5,C4,CK,C6;S2,SJ,S9,S10;D4,DA,DQ,D8;D9,DK,DJ,D3;CJ,D2,C7,SA;C10,D5,CQ,SK;S7,H7,HQ,S4;H3,HA,H9,HJ;CA,H2,H5,H4;D7,HK,D10,D6;SQ,H10,H6,H8"
1569979587,3,3,1,"CK,C5,C10,C2;SA,SQ,S10,S8;D6,D4,D9,D2;C9,C7,S6,CA;DA,D3,D7,DK;DJ,D8,D10,D5;C8,C3,S9,CJ;SJ,S5,S3,S4;S7,SK,S2,C6;DQ,H3,H6,HK;H10,H5,H7,HQ;HA,H9,HJ,H4;C4,CQ,H2,H8"
1569979587,3,7,1,"CQ,C10,C3,C2;DQ,D3,D2,D4;SQ,S9,S8,SK;CJ,C7,CA,CK;D10,DA,D7,DJ;C8,C4,D5,C5;S3,S10,SA,S5;DK,D8,C6,C9;D9,S2,S4,SJ;D6,S6,H3,H4;H2,H5,H7,H10;H9,HA,HK,H6;H8,HJ,HQ,S7"
1569979587,3,0,1,"CQ,C3,CK,C2;DJ,DQ,D5,D2;S3,S10,S6,S7;C5,C6,C10,C8;SK,C4,S5,SA;D6,DA,D8,D7;C9,CA,D3,CJ;S9,C7,SJ,S2;D10,H6,D4,DK;H4,HJ,H2,HA;S8,HQ,HK,H10;S4,H9,H5,H8;SQ,H7,H3,D9"
1569979587,3,3,1,"CK,C8,C6,C2;DK,D9,D10,DQ;D6,S2,D4,D7;S9,S8,SJ,S3;SK,S5,S7,S4;CA,C5,CJ,C7;C10,C3,CQ,C9;DA,D8,SA,D5;D2,C4,SQ,S10;DJ,HQ,HJ,S6;H6,H10,H8,H9;H2,H5,H3,H4;HK,H7,D3,HA"
1569979587,3,6,1,"C9,C8,C3,C2;S7,SA,S6,S4;D10,D3,D8,D7;DA,D5,DQ,D9;S2,S9,S8,SQ;C6,CA,C5,CJ;D6,D2,D4,DJ;S3,S5,SJ,S10;C10,C4,CK,DK;H7,H5,HK,H9;H2,H4,HA,HQ;H8,H10,CQ,HJ;H3,SK,H6,C7"
1569979587,3,22,1,"CJ,CK,CA,C2;S2,S6,S3,S9;D10,D4,D8,D3;C10,C3,C6,C4;DJ,D7,DQ,D6;D2,D9,DA,S8;SA,SK,S4,S7;C7,C8,S5,C9;CQ,SJ,C5,DK;HQ,H5,HK,H8;H10,HA,H9,H3;H4,D5,H6,H2;SQ,S10,H7,HJ"
1569979587,3,3,1,"C6,C3,C9,C2;CA,C10,CQ,CJ;C8,C5,CK,C4;D10,SA,DA,D6;D5,C7,D8,DJ;S2,S3,SJ,S10;S9,S8,S5,S7;SQ,S4,D3,SK;D7,HQ,D4,S6;H9,H6,D9,H7;H10,H5,DK,H2;H3,HJ,D2,HK;H8,HA,DQ,H4"
1569979587,3,4,1,"CQ,C10,C5,C2;S8,S5,S3,S6;D10,D3,D9,DK;C8,CJ,C3,C7;SA,S10,S7,S4;D5,D7,D4,DJ;S9,DA,S2,SK;D8,DQ,C9,D2;CK,SJ,C6,CA;C4,HQ,D6,SQ;HJ,HK,H6,H10;H7,HA,H8,H5;H3,H9,H2,H4"
1569979587,3,4,1,"C7,CK,C10,C2;DJ,D6,D8,D9;SJ,SQ,SA,S4;C4,C6,CA,CJ;D4,D7,DQ,D2;S6,SK,S8,S7;C8,DA,C9,C3;D10,CQ,D5,DK;S5,S9,H2,S10;HJ,H6,H9,H8;HA,HQ,H3,H10;S2,HK,H5,S3;H7,C5,H4,D3"
1569979587,3,4,1,"C10,C4,C3,C2;D9,D2,D7,DK;SJ,S5,S8,S6;SQ,SA,S3,C9;D5,DJ,D3,CQ;D8,D4,C7,D6;C6,CK,C8,C5;CA,DA,CJ,SK;S10,S2,H4,S7;H9,H10,H3,H6;H2,HJ,H5,HA;S9,H8,H7,S4;DQ,HQ,HK,D10"
1569979587,3,14,1,"CJ,C5,C7,C2;SQ,S5,SK,S9;D2,D6,D10,D4;D5,D8,DJ,DA;S8,S2,S3,S4;S7,C10,SJ,DK;CK,C6,DQ,CQ;D3,CA,D9,D7;HQ,H3,H9,H8;H4,H7,HK,S10;C3,C9,C8,H5;HJ,HA,S6,H10;C4,SA,H2,H6"
1569979587,3,12,1,"C4,C3,C10,C2;DQ,D4,D9,D8;SA,S5,S7,S9;SQ,S10,S8,S4;C7,CJ,DK,CQ;D7,D2,D5,DA;C9,C6,D10,CK;C8,CA,SK,DJ;S3,H10,D3,SJ;H4,H5,H2,HA;S2,H7,HK,H8;S6,H6,H3,HQ;C5,H9,HJ,D6"
1569979587,3,2,1,"CA,C10,C8,C2;DK,D3,D2,DJ;D9,D8,D10,DA;CQ,S4,CJ,C3;S9,SQ,S3,SJ;D5,S10,D6,D4;DQ,S7,SA,C7;S6,S2,H9,S5;H3,HQ,H5,HA;C5,C4,H6,H7;HK,H10,HJ,H8;C6,C9,D7,H4;S8,CK,SK,H2"
1569979587,3,8,1,"C4,C8,C6,C2;S7,S9,C7,S5;DA,D8,D3,D10;D2,DQ,D6,DJ;C10,CJ,DK,S4;S8,CQ,SQ,SA;SJ,C9,S3,S6;SK,D7,S2,S10;HJ,HA,H8,H5;HK,H10,H4,H2;H3,D4,H9,C5;H7,H6,D9,CK;HQ,CA,D5,C3"
