1569980688,3,4,0,"CA,CQ,CJ,C2;SQ,S9,S6,S10;D10,D9,D4,D5;DQ,D8,D7,D3;D6,DJ,C9,D2;S3,S7,S5,SK;DA,SJ,C8,C10;C6,S2,CK,C7;C5,DK,S4,C4;C3,H5,S8,H3;HJ,HA,H6,H7;H2,H4,H10,HQ;H8,SA,H9,HK"
1569980688,3,7,0,"CQ,C6,C9,C2;S8,S6,S5,SK;D10,D5,D9,D3;D6,C10,D2,DJ;DQ,SA,D4,D8;CJ,C5,C4,CK;SJ,SQ,S10,S3;DA,S7,C8,D7;C3,H9,HQ,C7;H5,H7,H10,H3;H8,H6,HK,S2;HJ,S9,CA,HA;H2,H4,S4,DK"
1569980688,3,1,0,"CA,CQ,C10,C2;C8,C6,C7,C3;C9,C4,CJ,CK;D7,DJ,D6,DA;D3,DQ,S6,DK;S9,SA,S4,SQ;D10,SK,D2,D9;D8,S5,D4,D5;S8,H2,S7,S10;H3,H8,HK,HQ;H4,H10,HA,H9;H7,H6,H5,SJ;S3,HJ,S2,C5"
1569980688,3,1,0,"CK,C7,C9,C2;D6,D2,DQ,D8;S7,S5,S2,S3;C4,C3,C6,C10;D10,D9,DJ,D3;SK,SQ,S6,S10;S4,S9,SA,D5;CJ,C5,CA,DK;DA,D7,CQ,H5;H2,H6,HK,HJ;H9,H8,H3,HA;HQ,SJ,H4,H10;H7,C8,S8,D4"
1569980688,3,20,0,"CQ,CK,C4,C2;SA,S5,SQ,SK;S3,S8,S7,S10;SJ,D7,S6,S2;D9,DK,D10,D5;C10,C9,C5,C3;C8,C6,D2,D3;C7,CJ,S9,D4;CA,H6,HJ,H10;HK,H8,DA,H4;H2,H7,DJ,H9;HA,HQ,S4,D8;H5,H3,DQ,D6"
1569980688,3,0,0,"CJ,C6,CA,C2;SQ,S3,S2,SK;C10,C9,C3,C7;SJ,S8,S7,S9;D7,DK,D4,DJ;SA,CQ,S6,S5;S10,DA,S4,C4;CK,D8,C8,C5;D2,D5,D10,D3;DQ,H5,H10,D9;H6,HK,H7,H4;H3,H8,HA,H9;HQ,HJ,H2,D6"
1569980688,3,4,0,"C6,C3,C4,C2;S5,SQ,SK,S10;C10,CA,CQ,C8;CK,CJ,C9,C5;C7,D9,S6,D3;D8,D4,D7,DK;S3,D6,SJ,S7;S8,DJ,S9,S4;D10,DA,H9,DQ;HK,D5,H4,HJ;H3,SA,H7,H5;H8,S2,H6,HA;H10,D2,H2,HQ"
1569980688,3,13,0,"C10,C7,C6,C2;S5,S2,SJ,S3;C5,C8,CK,DK;S10,S7,SK,SQ;C9,CA,D4,C3;D5,CJ,D10,D6;S9,HQ,S8,SA;D3,H7,D7,DJ;H4,H2,H10,H6;DA,H9,H5,D8;D9,HA,S6,D2;DQ,H3,HJ,C4;HK,H8,S4,CQ"
1569980688,3,0,0,"C4,CJ,C8,C2;D7,D6,D5,D4;C9,CK,C6,CQ;D10,D2,DJ,DA;S2,SJ,S3,S10;C10,CA,SK,C5;S9,S4,S6,S5;D8,C7,D9,S7;DQ,C3,SA,D3;H10,HK,HQ,HA;H6,H2,HJ,H5;H8,H7,S8,H4;H3,SQ,DK,H9"
1569980688,3,9,0,"C7,CA,C4,C2;C3,CQ,C6,CJ;DA,D9,D5,D6;D2,D4,C5,DJ;C9,SQ,CK,S2;S4,S9,S3,SK;C10,SA,D10,C8;S8,S5,DK,S10;H10,H6,H8,H7;H2,H5,H9,H4;D8,D7,S7,HK;D3,HA,H3,HQ;DQ,SJ,S6,HJ"
1569980688,3,0,0,"DQ,C4,C7,C2;D9,D10,D7,DJ;C6,C8,CK,SQ;S6,D3,SJ,SK;S10,D4,S5,S7;S3,CA,DK,S4;S2,D2,S8,C3;DA,C10,D5,D6;SA,H7,C9,S9;H5,H9,H8,H10;CJ,H6,CQ,H4;H3,HK,HQ,HA;HJ,H2,C5,D8"
1569980688,3,0,0,"C10,CA,C5,C2;S4,SJ,S9,S6;DQ,D3,D8,D2;CQ,C9,CK,C8;C7,DJ,C6,S5;SK,S2,CJ,S7;S8,S3,D4,SQ;S10,DK,D10,SA;D5,H10,D9,D6;C3,HA,H2,HJ;C4,HK,H4,H7;DA,H9,H5,HQ;D7,H6,H3,H8"
