1569980696,3,8,1,"C7,C6,CA,C2;CQ,CK,C4,CJ;D6,D5,DQ,D9;SA,SK,SQ,S9;S5,S2,S8,S4;C5,D10,C9,C3;DJ,D3,S10,D8;C8,S6,C10,D7;HQ,HK,H2,H3;SJ,H10,S3,S7;D2,H7,DK,H6;DA,H4,HJ,H9;D4,H8,H5,HA"
1569980696,3,18,1,"CJ,CK,C6,C2;D10,D9,D5,DK;S2,SK,SJ,S6;CQ,C10,S5,C5;CA,C9,DA,C8;S7,S9,S10,S4;D2,D4,D3,C7;S3,SQ,DJ,S8;DQ,SA,D7,C3;D8,H9,D6,H2;H10,HQ,HA,H4;H6,H3,H5,HK;H8,H7,HJ,C4"
1569980696,3,13,1,"C4,CA,C6,C2;SK,SA,S6,S2;CQ,C8,S8,DA;DQ,C9,DK,D10;S7,S5,S4,SJ;S3,C7,SQ,S9;C5,C3,D5,S10;D2,CJ,D9,D3;D7,CK,D6,DJ;D4,C10,HJ,D8;H8,H9,H5,H2;H3,H7,HK,HA;H10,H6,HQ,H4"
1569980696,3,4,1,"CA,C3,CQ,C2;DJ,D7,D9,D4;SJ,S2,S8,S3;D8,D10,DA,DQ;C7,C10,C4,CK;D2,SK,D6,D5;S7,S9,S6,S4;S5,S10,SA,C5;DK,C6,SQ,C9;D3,CJ,H7,H6;H4,HA,H10,H8;C8,H9,H2,HQ;HJ,H3,HK,H5"
1569980696,3,16,1,"C4,C10,C5,C2;D7,D8,D10,DA;D6,D5,D9,DJ;C7,CA,C3,CQ;S7,SA,S8,S6;S3,SJ,S2,S4;D4,D3,S9,D2;C8,CJ,H3,HA;HJ,HK,H8,H6;C9,CK,HQ,DK;H9,H2,H5,S5;S10,DQ,H7,SQ;SK,C6,H4,H10"
1569980696,3,0,1,"C5,C6,C8,C2;D3,D5,D6,DJ;C4,C9,C3,CQ;D4,D2,D7,DK;SK,SJ,S9,S2;S6,SQ,DQ,S8;C7,CK,D9,CA;SA,C10,S4,S10;CJ,H9,HJ,HK;HA,H4,H3,HQ;H10,H8,D8,DA;H6,H2,S5,D10;H7,H5,S7,S3"
1569980696,3,2,1,"CJ,C10,C5,C2;D4,DA,DJ,D6;SJ,S9,S6,S3;D8,D9,D5,D3;S10,SQ,SA,S5;S7,S4,S2,SK;C6,C9,CK,S8;D7,DQ,C4,D2;DK,CQ,C3,D10;C8,H2,C7,H10;H4,H9,HQ,H6;HJ,H3,H7,H8;H5,HK,CA,HA"
1569980696,3,1,1,"C3,C8,CQ,C2;D2,D3,D8,D9;C9,C4,CJ,C7;S9,SA,SK,S10;DA,D4,DQ,DK;D7,D6,C6,D10;SJ,D5,DJ,SQ;C10,C5,H3,CK;S5,H8,HQ,S6;H7,HA,H9,H4;HJ,H10,S4,H2;HK,H5,S8,S2;CA,H6,S3,S7"
1569980696,3,17,1,"C8,C9,C6,C2;S7,S3,SQ,S2;C5,CK,D7,C3;D6,D5,D3,DK;SA,S6,S8,SK;SJ,D2,S9,S5;S10,DJ,CJ,S4;DQ,HQ,D9,D10;HA,H2,HJ,H9;H4,H3,C7,H5;CQ,H10,CA,C4;C10,H7,H8,HK;D8,DA,H6,D4"
1569980696,3,0,1,"C5,S4,C6,C2;D4,D3,DK,DJ;DA,D2,D7,D9;D8,D6,C9,S8;D5,D10,S2,SQ;S5,SK,S6,S7;S3,CQ,C8,SA;S9,C10,C7,C4;S10,CA,DQ,CK;SJ,H10,HJ,H3;H4,H9,H2,HA;CJ,H5,HK,HQ;C3,H8,H6,H7"
1569980696,3,6,1,"C8,C10,C7,C2;S4,SA,S8,S10;D10,D7,D5,D8;C3,C5,CK,C9;DK,DQ,DA,S5;SQ,SK,S7,S9;DJ,D3,CA,SJ;D6,D9,C4,S3;S2,H3,H2,H7;H6,H9,HK,HJ;HQ,CQ,H8,HA;CJ,D4,H10,C6;H5,D2,H4,S6"
1569980696,3,0,1,"C10,C7,C8,C2;D9,D5,D6,D10;S5,S7,S10,SK;CQ,CK,C3,C6;SQ,S8,SJ,SA;S3,S9,DJ,D2;CJ,C5,C9,DK;D4,DQ,D3,D7;D8,H10,S2,H3;DA,HQ,HA,H2;C4,H8,H7,H9;HK,H4,S4,H5;CA,H6,S6,HJ"
