1569980702,3,8,3,"C3,CK,C8,C2;SK,S7,S6,S3;S4,SQ,S5,S8;D8,D9,DA,D6;CJ,CA,C4,C6;C10,D3,CQ,C5;D7,D4,D10,DQ;SJ,HQ,SA,H6;H9,H5,C7,H4;H8,H3,DK,HA;S9,H2,DJ,D5;S10,H10,C9,HJ;S2,H7,D2,HK"
1569980702,3,0,3,"C9,C4,CQ,C2;C5,C6,CK,C8;DQ,D2,DK,DA;SA,S5,S8,S2;S4,S7,SJ,S6;D7,D9,D5,D4;SK,D8,D6,S3;S10,C3,D10,C7;DJ,HK,H8,D3;H4,H6,H2,H9;C10,H5,H7,CJ;SQ,HQ,H10,CA;S9,HJ,HA,H3"
1569980702,3,4,3,"C3,CA,C9,C2;CQ,C5,C10,CJ;CK,D2,C7,D9;S8,SQ,S6,SJ;S5,S9,S4,S3;D4,D7,DQ,D5;S10,S7,S2,SK;D6,D8,C8,DA;DK,D3,C4,D10;SA,H2,HJ,H8;H5,HK,H6,HA;H4,HQ,H10,H7;DJ,C6,H9,H3"
1569980702,3,0,3,"C6,CA,C4,C2;D3,DK,DQ,D6;S4,S5,S2,SQ;D7,D9,SK,D8;C3,C7,S3,CJ;S8,S9,SJ,SA;DA,CQ,D2,D4;D10,C8,DJ,S6;C10,CK,D5,S10;C5,H7,H9,H10;H4,H3,HJ,H5;HA,H2,H6,HK;HQ,H8,C9,S7"
1569980702,3,4,3,"C4,C10,CQ,C2;DK,D10,D3,D9;S5,S10,S3,S9;CJ,C5,CK,C9;D6,D7,D2,D8;S2,SA,SK,S8;D4,C6,DJ,DA;SQ,S4,D5,S6;SJ,C3,DQ,H9;H5,HA,H2,H7;C8,CA,HK,H10;HQ,H4,H6,H8;H3,HJ,S7,C7"
1569980702,3,14,3,"CJ,C3,C9,C2;D2,DQ,D4,D9;D8,CK,D3,D6;DK,C8,C5,D7;DJ,S10,C6,D10;S6,S9,SK,S3;C4,C7,C10,DA;S4,SQ,S2,SJ;CQ,CA,D5,S8;HQ,H5,HK,H7;H4,HA,H6,H9;H3,HJ,H10,H2;S5,H8,SA,S7"
1569980702,3,8,3,"C8,C7,C4,C2;DJ,D5,DQ,D7;D6,C6,D10,DA;S9,S10,S3,SA;C10,C5,S4,CJ;CK,C9,D4,CQ;S2,SK,S5,S7;C3,D2,CA,H7;H5,H10,HJ,HA;H8,S6,H6,H9;HQ,D3,D8,H2;H4,S8,DK,H3;SJ,SQ,D9,HK"
1569980702,3,0,3,"C7,C6,CK,C2;D5,DA,D3,D7;SQ,S2,S8,S5;S3,S7,SA,S6;C3,C9,C4,CJ;S10,S9,DK,SJ;D6,D2,D8,D10;SK,S4,DQ,C5;C10,CA,CQ,C8;D9,D4,DJ,H2;H7,H4,HK,H3;H10,H6,H8,HJ;HA,HQ,H9,H5"
1569980702,3,13,3,"C10,CK,CA,C2;SQ,S2,SA,S5;DA,D7,D5,D10;S3,S9,S4,S7;D9,D6,D8,D4;DK,C3,C9,D2;DQ,C6,S6,DJ;S8,SK,SJ,C5;CJ,C8,C7,S10;CQ,HJ,C4,H5;HK,H6,H7,H3;H9,H2,H4,HQ;H8,HA,H10,D3"
1569980702,3,17,3,"C6,CQ,C9,C2;S5,SK,S9,SJ;DA,D5,D9,D2;C5,C8,S3,C7;C3,D7,C10,CK;SA,S8,S10,S7;S4,DK,DQ,S6;CJ,D10,C4,SQ;H9,H4,H3,H8;H5,HA,H10,H2;D8,D4,D3,HQ;HJ,D6,H7,H6;DJ,CA,S2,HK"
1569980702,3,0,3,"CK,C9,DK,C2;S8,SK,S7,S3;DA,D10,D7,D2;C10,D3,C7,CJ;S6,S5,SQ,SJ;C4,DQ,C5,C3;D8,DJ,D9,D4;S2,H5,H8,SA;HA,H2,H6,H7;HK,H10,D5,H9;S4,H3,D6,S10;HQ,HJ,S9,C8;C6,H4,CA,CQ"
1569980702,3,13,3,"C9,C7,C10,C2;S6,S9,S8,SQ;D2,DJ,D8,D10;D6,D3,D5,DA;S3,SJ,S4,SK;CA,C8,C5,C3;S2,SA,S10,S7;CQ,C4,C6,D9;CK,CJ,D4,HA;HQ,H7,H2,H5;HJ,DQ,H6,H9;H8,S5,H10,H4;HK,DK,D7,H3"
1569980702,3,20,3,"C5,C10,C3,C2;D8,DK,D3,DQ;S6,DA,SK,S9;C7,CA,SJ,D9;C9,CK,SQ,S4;S7,D6,SA,S10;D10,D5,D2,CQ;S3,C4,S2,S8;CJ,HQ,C6,H9;H7,H4,H5,HK;DJ,H6,D4,H2;H3,HJ,H8,HA;S5,H10,C8,D7"
