1569980769,3,7,3,"C10,C3,C9,C2;DK,D2,D8,D3;S7,S10,S5,S8;D4,D6,D9,D5;S6,SK,S9,SJ;D7,D10,DJ,DQ;CQ,C6,CK,C8;SA,S4,C7,C5;S2,H2,CJ,H8;H6,HQ,HA,H7;HJ,C4,H4,H10;H3,CA,S3,H5;HK,DA,SQ,H9"
1569980769,3,19,3,"CA,CK,C3,C2;S10,S4,S6,S3;D4,DK,D9,D10;S7,S2,SQ,SJ;C4,C7,C5,C6;C10,CQ,D2,D8;SA,SK,S5,D6;CJ,C8,DJ,D5;C9,D7,H7,H6;HK,H8,H10,H3;H2,H9,H5,HQ;HJ,HA,S9,S8;DA,D3,DQ,H4"
1569980769,3,0,3,"C10,CK,C6,C2;SQ,S10,S2,S3;C4,CA,C9,CJ;D3,D6,D5,D2;D8,D10,DQ,DA;S8,S4,S6,SK;C8,D7,CQ,C7;DJ,H3,D4,HK;HJ,H5,HA,H10;C5,H8,H6,C3;S7,H2,SJ,S9;S5,H9,SA,H4;D9,HQ,DK,H7"
1569980769,3,0,3,"C10,C9,C5,C2;S5,S6,S9,S4;C3,C7,CK,CJ;DK,D5,D8,D4;D6,D7,D2,D3;DJ,CQ,DQ,D10;S10,S2,SA,SQ;S3,CA,SK,SJ;C8,C6,S7,C4;H2,HQ,H8,H7;H6,H3,DA,H10;HJ,H9,HK,S8;H5,HA,D9,H4"
1569980769,3,0,3,"C10,C9,CJ,C2;S7,S2,SQ,SJ;D4,DA,D9,D3;S5,S6,S3,S8;C3,C7,C5,C8;S10,S9,D10,SA;D7,DQ,D6,S4;CQ,C6,CK,C4;SK,DK,HQ,D5;H7,H8,H5,H6;HK,H2,HA,H10;H3,H9,HJ,D2;DJ,H4,CA,D8"
1569980769,3,4,3,"C3,C8,CJ,C2;DQ,D5,DJ,D4;S8,S10,S3,SA;DK,DA,D7,D6;C5,CK,CQ,CA;SK,S7,S4,SQ;D2,D3,D9,D8;C6,C7,C9,S6;S2,D10,C10,SJ;H6,HJ,H4,H7;H8,H3,H5,HK;S5,H2,H9,HQ;S9,H10,HA,C4"
1569980769,3,13,3,"C3,CA,CK,C2;DQ,D2,DJ,D10;SQ,S10,S5,S3;S9,S7,SK,SJ;C9,C5,CJ,CQ;DA,D4,D5,C8;S2,S8,D3,S6;D9,D6,C10,D8;DK,H7,H2,C7;HA,H9,H6,HQ;C4,HK,C6,H8;H10,HJ,SA,H5;H3,D7,H4,S4"
1569980769,3,25,3,"C10,C7,C6,C2;S9,SK,SJ,S4;D9,D4,D3,DJ;S3,S2,SA,S6;S10,DK,CK,S5;C9,C3,C8,C5;C4,DQ,H7,D8;H8,H10,H3,HJ;D7,D2,H2,CJ;DA,D10,H6,CA;SQ,D5,HQ,S8;S7,H9,HK,HA;H5,D6,H4,CQ"
1569980769,3,10,3,"CA,C8,C6,C2;SQ,S6,S4,SJ;DA,D9,DK,D3;S9,S10,SA,S7;D5,D4,D10,D8;S5,S3,DJ,SK;C4,CQ,C7,C10;C5,S8,CK,C9;D6,S2,DQ,CJ;D7,H3,H5,H4;H9,H10,HJ,HA;C3,H8,H6,HQ;HK,H7,H2,D2"
1569980769,3,8,3,"CQ,C9,C8,C2;DK,D2,D6,DA;S7,S3,SQ,S2;SK,S9,S8,SA;C5,C7,CJ,D4;C6,C4,C3,S4;CK,SJ,C10,D7;DJ,D3,CA,D10;S10,S5,H10,S6;H9,HJ,H4,HA;H5,H6,HK,H7;HQ,H3,D5,H2;H8,D9,D8,DQ"
1569980769,3,0,3,"C6,CQ,CK,C2;D4,DA,D9,D6;C10,C3,C8,CJ;DK,D3,D5,DJ;C9,CA,S3,C5;S5,S10,S2,S8;S4,S6,SJ,SA;D10,SQ,D8,D2;D7,S7,DQ,SK;C4,HJ,HQ,C7;H7,H6,H10,H3;HK,H9,HA,H4;S9,H8,H5,H2"
1569980769,3,0,3,"C5,CA,CQ,C2;S10,S9,S2,SQ;D4,D10,DQ,D7;C8,C10,CJ,C6;D6,S4,D9,D3;S7,S5,SA,S3;D8,C7,DA,D5;DJ,C3,D2,S8;H7,HK,HQ,H5;HA,H3,H10,H4;C4,C9,H8,SJ;DK,H6,H9,H2;S6,HJ,SK,CK"
1569980769,3,23,3,"CK,C9,C10,C2;D4,DK,DJ,D8;SK,S7,S2,S8;S3,SA,SJ,S5;DQ,D10,D2,D5;S10,CQ,CA,S4;S6,C4,C5,S9;C8,C7,CJ,D6;D3,DA,C6,H4;SQ,H6,H3,HJ;D7,H2,H5,HK;D9,HQ,H7,H8;H9,H10,HA,C3"
