1569980781,3,7,2,"CK,C9,C7,C2;S8,SQ,S9,SJ;DJ,D4,DA,DQ;C4,CA,CJ,CQ;S4,C5,S10,S5;C3,C6,C8,SK;D5,D7,D6,DK;S3,S2,S7,D2;C10,D10,D3,D9;HQ,H2,H3,H6;H5,H8,H9,HK;D8,HA,HJ,H4;S6,SA,H10,H7"
1569980781,3,5,2,"C10,CQ,CA,C2;DJ,DK,D2,D4;C4,S3,C5,C3;S2,SJ,SK,S10;D7,D10,DA,D9;CJ,DQ,C9,SA;CK,D5,C8,SQ;S9,S7,S4,S5;D8,D3,S6,D6;C6,HA,C7,S8;H8,HQ,H4,H6;H10,H2,HK,H5;H3,HJ,H9,H7"
1569980781,3,0,2,"CQ,C6,C8,C2;S9,S5,S8,D9;D5,DQ,D6,D10;S10,S6,C3,S2;S3,S4,C4,S7;DA,D3,CA,D8;D4,D2,C10,SA;C7,CJ,CK,SJ;C5,DK,SQ,DJ;C9,H10,H9,H8;H3,HA,HK,H4;H5,HJ,H7,SK;H2,HQ,H6,D7"
1569980781,3,13,2,"C6,C4,C5,C2;D10,D7,DQ,DA;S10,SJ,S8,S9;D2,D4,DJ,D6;CJ,C3,CK,C9;S6,SQ,S7,S3;C7,C10,D5,C8;DK,CA,D8,D3;SA,S4,S2,S5;CQ,H3,SK,H6;HA,HJ,H7,H4;H2,H9,H8,H10;D9,HQ,HK,H5"
1569980781,3,0,2,"C9,C7,CJ,C2;D6,D5,D2,D9;DA,DQ,D7,SQ;CA,C5,S8,C3;CK,C6,D3,C8;SJ,S9,S5,SA;S3,S10,S6,SK;S2,D4,S7,S4;D10,CQ,HA,DJ;C10,H4,HQ,H6;H2,H10,H8,H3;H7,HK,C4,H5;DK,D8,H9,HJ"
1569980781,3,13,2,"C4,C10,C6,C2;S6,SK,SA,S10;D4,DJ,D6,DK;SQ,S7,S5,D7;S8,SJ,S9,C7;C9,D9,CQ,CJ;CA,S3,CK,C8;DA,DQ,D8,D2;C5,D5,D3,S2;C3,HJ,D10,H5;HA,H6,HK,H9;H2,HQ,H4,H3;S4,H10,H8,H7"
1569980781,3,22,2,"C9,CA,C6,C2;SK,SJ,SA,S3;C8,CQ,C10,CK;S10,S9,S8,S5;D3,D4,D10,D6;C3,D5,C5,C7;S2,S4,S7,DJ;D9,DK,DQ,SQ;D8,D7,S6,H10;HQ,H3,H8,H6;DA,D2,H5,HK;H9,HA,H4,HJ;C4,H2,CJ,H7"
1569980781,3,7,2,"C8,C10,CK,C2;S5,S10,SA,SQ;D4,D6,D10,D3;C9,C3,CJ,CA;DA,DJ,D2,DK;S9,S8,S6,S3;SJ,SK,S7,S2;CQ,C6,D8,C4;C7,C5,D7,S4;HQ,H4,HJ,H7;HK,DQ,H5,H2;H3,D5,H10,H9;HA,D9,H8,H6"
1569980781,3,1,2,"C6,CA,C9,C2;DJ,D7,D10,D8;D2,D3,DA,C5;S10,S4,S3,S9;D9,CQ,DQ,D5;C8,C10,SK,C7;SA,SJ,S7,S6;S2,D6,D4,S8;C3,HK,DK,C4;H3,H7,H10,H2;HQ,HJ,H6,CK;H4,H8,H5,SQ;HA,S5,CJ,H9"
1569980781,3,4,2,"C5,CK,C10,C2;S4,S5,S6,S10;SQ,SJ,S2,S9;DK,D5,D4,DA;S7,CJ,CQ,SA;C9,C4,C7,C3;H3,HK,H5,HJ;D2,D7,DQ,H7;SK,H6,DJ,H10;S3,CA,D3,H2;S8,HA,D8,H8;D6,D10,C8,H9;H4,D9,C6,HQ"
1569980781,3,1,2,"CJ,C7,C9,C2;SQ,S4,S10,S8;S5,SJ,SK,C3;D9,D6,D10,DA;S9,SA,C5,S7;C6,CA,DJ,CQ;DQ,DK,D7,CK;D8,D3,C4,S3;S6,H7,S2,H10;H2,H9,HK,H8;C10,D5,H5,HQ;H3,H4,HJ,H6;D2,D4,C8,HA"
1569980781,3,4,2,"CJ,CK,C7,C2;D9,DK,DJ,DA;SA,S2,S10,S4;S9,SJ,S5,DQ;SQ,S3,C6,S7;SK,D2,C8,S6;C9,C5,C3,CA;D4,D6,D8,D10;C10,C4,H6,D5;H7,HK,H3,H9;H10,HJ,H8,H5;HQ,H2,CQ,HA;D7,D3,H4,S8"
