1569980786,3,0,2,"CQ,C5,D7,C2;C3,CA,S9,C6;C10,CJ,SJ,C7;SA,S3,S5,SK;D9,DQ,D4,D6;S10,S2,S8,D8;S4,D2,S7,CK;C4,D5,DJ,C8;DK,D10,D3,SQ;C9,H10,HK,H8;HJ,H2,HQ,H9;H3,H4,H7,HA;H6,H5,S6,DA"
1569980786,3,8,2,"C5,C9,CK,C2;D6,D4,D9,D5;S2,S8,SK,S4;DQ,DA,D7,D8;DK,CA,DJ,C4;S10,SA,SJ,SQ;C10,C8,C3,CJ;D3,CQ,D2,S3;S9,HA,S5,S7;HK,H6,HQ,H9;H3,H8,H10,H7;C7,HJ,H4,C6;D10,H5,H2,S6"
1569980786,3,7,2,"C5,CA,CQ,C2;SA,S2,S3,SQ;D4,D2,DK,D9;C3,C8,CK,C6;D3,D5,DQ,DA;S4,S10,S5,S7;D7,S9,DJ,C4;C9,C7,CJ,SK;SJ,H9,S6,HJ;H4,H8,H3,HK;H7,H5,HA,HQ;D10,D8,H6,H10;D6,C10,S8,H2"
1569980786,3,0,2,"C9,C4,C5,C2;S4,S10,S9,S3;C8,C6,CK,C7;DQ,D2,D3,SA;CA,C3,DJ,CQ;DA,D4,D7,CJ;DK,SQ,D8,S2;D10,SJ,D9,C10;D6,S8,D5,S6;H9,H10,H2,H8;HQ,SK,HA,H4;H5,S7,H3,HJ;H7,S5,HK,H6"
1569980786,3,6,2,"C8,C4,C6,C2;D9,D5,D7,DK;C5,S8,C7,CQ;CK,S10,CJ,C9;D10,D4,DJ,D2;SJ,S3,S6,SQ;S4,S5,S9,SK;D6,D3,S7,D8;DA,H6,C10,CA;HA,HJ,H5,H9;S2,H8,SA,HQ;H4,H3,H10,HK;C3,H7,H2,DQ"
1569980786,3,13,2,"C7,CQ,CK,C2;D2,DK,DJ,D10;SA,S4,S3,SQ;S7,S5,S10,SJ;SK,S2,DA,C4;D3,DQ,D5,D6;C8,CA,C10,C5;D9,D4,D8,C9;C3,S6,CJ,C6;H6,HJ,H10,H8;HQ,H5,H2,H4;S8,H3,H7,H9;S9,D7,HA,HK"
1569980786,3,14,2,"CA,CQ,C4,C2;D4,DK,DJ,D6;D8,D5,D2,D7;DQ,SK,C3,DA;C6,C10,C5,C8;S7,S5,SA,S2;C7,S6,CK,C9;S3,D3,SQ,SJ;S10,HJ,S9,S8;H5,H7,H2,HQ;H10,HK,H8,D10;HA,H6,H9,CJ;H4,H3,S4,D9"
1569980786,3,8,2,"C6,C9,CQ,C2;D5,D9,DJ,DQ;S7,SA,S8,S6;D6,D4,D3,D2;DA,SQ,D7,D10;C4,C7,S4,CK;CJ,C10,C5,SJ;D8,S5,S3,S9;C8,S10,CA,HK;H7,HA,H4,H9;H8,H3,H10,HQ;C3,H6,S2,H2;DK,H5,SK,HJ"
1569980786,3,6,2,"C8,CJ,C5,C2;D5,DQ,D7,DK;C9,CQ,CK,C7;S8,S5,S3,SJ;SQ,CA,S2,SA;D9,DA,D2,D6;D4,D10,S7,D3;S4,C4,SK,S10;HA,H5,HQ,H4;H7,HJ,H6,H3;C10,H2,C3,S9;DJ,HK,S6,D8;H8,H10,C6,H9"
1569980786,3,0,2,"C7,C3,C8,C2;SJ,S4,S2,S7;DK,D9,D6,D8;DJ,DA,D3,D2;S10,S8,S5,SA;D4,D10,D7,D5;C9,C4,C5,CK;S3,C10,S6,SK;CJ,H3,CQ,H5;H4,H10,HJ,H7;H9,HQ,C6,H6;SQ,HA,S9,H2;DQ,H8,CA,HK"
1569980786,3,0,2,"C5,C3,CJ,C2;D8,D7,DJ,D4;S6,S9,S2,S4;SQ,S7,S3,S10;DK,D5,D3,DQ;SA,C9,S5,S8;CQ,C8,C7,SK;SJ,CK,CA,D2;D10,HQ,D6,DA;H2,HA,H9,H3;H7,HK,C4,HJ;D9,C6,H8,H4;H5,C10,H10,H6"
