1569980794,3,7,2,"C9,C7,CA,C2;S7,S9,S2,SQ;D5,DJ,D4,DA;S3,CJ,SA,S6;D9,D7,D6,D8;D3,C10,D10,DK;C3,C6,S4,CK;C4,C5,S8,C8;SK,S5,CQ,DQ;S10,H3,H6,HJ;H2,H4,H7,H10;H5,H8,HQ,SJ;H9,HK,D2,HA"
1569980794,3,0,2,"C10,C8,C5,C2;D9,DA,DQ,D8;D7,C6,D6,D3;D4,C4,S2,DJ;S3,S10,S6,S9;S8,SK,SQ,S5;S7,D10,SJ,S4;CK,CQ,CA,CJ;C3,DK,H3,C9;HQ,H8,H9,HK;HJ,H6,H7,H10;H4,D2,H2,SA;HA,D5,H5,C7"
1569980794,3,9,2,"CJ,C9,CA,C2;CQ,C5,CK,D10;D7,D4,D9,D3;S9,S6,S8,SA;DJ,DK,D6,DQ;C3,S5,C7,D2;SJ,SK,S3,S4;D5,SQ,C4,DA;D8,C6,S10,S7;H4,H6,H7,HJ;H8,HK,HQ,HA;C10,H10,H2,H5;C8,H3,H9,S2"
1569980794,3,3,2,"CQ,CJ,CK,C2;S6,S2,S4,SA;D3,D8,DQ,D2;S7,SJ,C10,SQ;C9,CA,C8,C7;S9,S8,SK,D9;D6,DK,DJ,D4;C5,C4,H10,HK;H4,H8,H7,HJ;H2,H5,D7,H6;C3,C6,D10,HA;HQ,S5,S3,H3;D5,S10,DA,H9"
1569980794,3,4,2,"CK,C5,CQ,C2;D6,D4,D5,DK;SQ,S4,S8,SJ;C3,C6,CJ,C9;D3,D7,D9,D10;S3,SA,S5,SK;S10,S9,S7,D2;S2,S6,D8,CA;C8,DA,C10,DJ;DQ,C7,H7,H10;C4,HQ,H4,H6;H3,H9,HA,H2;H5,HK,H8,HJ"
1569980794,3,0,2,"C9,C3,CA,C2;D4,DJ,D7,D9;C8,C10,CK,C6;SA,SJ,S10,SQ;C4,CJ,C7,D5;DA,D8,D6,D10;DQ,D2,DK,S4;S6,S9,S2,S8;SK,S7,S3,C5;HK,HJ,H2,H5;H9,H7,H6,H3;H4,H8,HQ,D3;S5,H10,HA,CQ"
1569980794,3,2,2,"CK,C6,C3,C2;S7,S4,S5,SA;D3,D10,DA,D9;SK,SJ,C5,S3;S2,CQ,D4,S9;C4,CA,C9,C7;DK,D2,D5,D8;H4,HK,HQ,HA;D7,C10,DQ,H9;S10,DJ,S8,H3;SQ,H8,S6,H6;D6,HJ,H10,H2;C8,H5,CJ,H7"
1569980794,3,9,2,"CJ,C6,C10,C2;SJ,S2,S3,S7;SA,S9,CK,S8;SQ,S5,DK,S4;SK,D9,C9,DQ;S10,D8,DA,C5;D6,D2,D10,DJ;D7,D5,D3,S6;CA,CQ,C3,HJ;HA,H7,H5,HQ;D4,HK,C4,H3;C8,H6,C7,H9;H8,H10,H2,H4"
1569980794,3,13,2,"C7,C6,C5,C2;SK,S9,S5,SQ;S6,S3,SA,DJ;D3,D10,D6,D5;C10,D7,CJ,CK;C9,S4,C8,D4;C3,S8,CA,DA;D8,DQ,DK,C4;S7,HJ,S2,H10;HA,H5,H4,HK;H2,H9,H8,H3;CQ,SJ,HQ,H7;D2,S10,D9,H6"
1569980794,3,5,2,"CJ,CQ,C6,C2;D3,D9,D5,D7;S4,S3,S7,SK;D6,DA,DQ,D2;S9,S8,SJ,S6;C4,CK,C10,C7;S2,SQ,S10,S5;D10,DK,H9,D8;C5,H7,HA,CA;HQ,H5,HK,H10;C3,H4,C8,HJ;H6,DJ,SA,H8;H2,H3,D4,C9"
1569980794,3,0,2,"C4,CQ,C10,C2;S5,S9,SA,SK;CK,CJ,CA,C9;D9,DA,DK,D2;S3,S4,SJ,S6;C3,C6,D4,SQ;D7,D3,D5,D8;S8,C8,S7,DJ;S10,D10,DQ,D6;S2,HQ,HK,H7;H10,H4,H3,H8;H9,C5,H2,H6;HJ,C7,HA,H5"
1569980794,3,0,2,"CJ,C4,CK,C2;S2,SQ,SJ,S4;S10,S5,S6,S9;S7,S8,SK,D10;C3,C7,S3,CA;D7,D8,D4,DA;D6,DQ,D2,DJ;C5,C10,D3,C9;D5,C6,D9,DK;C8,CQ,HK,H4;H7,H9,HJ,H2;H5,HA,HQ,H3;H10,SA,H8,H6"
