1569980804,3,13,3,"C10,C8,CJ,C2;D4,D8,D7,DQ;S6,S4,S5,S8;C5,C3,CQ,C7;D10,D6,D3,DA;S7,S9,C9,S3;CK,CA,SK,C6;C4,DJ,SA,D9;D5,DK,SQ,D2;H3,H9,H7,HQ;H6,HJ,HA,H8;S2,S10,HK,H10;H4,H2,H5,SJ"
1569980804,3,7,3,"C3,CK,C9,C2;S7,S8,S2,S6;D10,D2,DK,DQ;C8,C7,D8,C6;S10,DA,S5,S4;C10,C4,D3,C5;SK,CJ,S3,SA;DJ,D9,D7,D5;D6,CA,SQ,CQ;SJ,H2,HA,HK;H7,H8,H5,H4;H3,HJ,S9,HQ;H9,H6,D4,H10"
1569980804,3,16,3,"C4,C6,C8,C2;D7,DA,D2,D6;S10,SA,S9,S8;D3,D8,DK,DQ;S5,S6,S4,S2;C9,C3,C10,C5;D4,CJ,D10,CK;D9,SJ,SQ,CQ;DJ,HQ,H4,H8;H9,H10,HK,H3;C7,CA,H7,H6;H5,H2,SK,HJ;HA,D5,S7,S3"
1569980804,3,3,3,"C10,C4,CA,C2;S9,SQ,S7,S6;D7,D6,D4,D5;DJ,DA,DQ,D10;S5,S8,S3,SK;S10,CQ,S2,SA;C8,C7,C5,CJ;D2,D3,D9,SJ;C3,CK,H2,H7;C9,C6,H3,H8;D8,H10,HA,HQ;DK,H9,HK,H4;H5,HJ,H6,S4"
1569980804,3,13,3,"CQ,C4,C5,C2;DQ,D5,D4,D3;S4,S6,S8,S10;CA,C9,D9,C10;CJ,C6,S9,C7;SA,SQ,S2,S3;SK,DA,SJ,S5;C3,C8,D2,D7;H3,H8,H9,HA;D8,DK,H7,H4;H5,H10,D10,HJ;HK,HQ,H2,D6;H6,CK,DJ,S7"
1569980804,3,4,3,"C8,CJ,C9,C2;S4,S10,S5,S8;D5,D10,D8,D2;C5,CA,CK,CQ;D3,DQ,D6,S7;C4,SK,C6,D9;S2,SJ,S9,SA;DA,D7,DK,S6;DJ,S3,C7,C10;D4,H8,SQ,H5;H10,H9,HJ,H6;HQ,H4,H7,HK;C3,H2,H3,HA"
1569980804,3,15,3,"CK,C7,C5,C2;D7,DK,D2,D5;SK,S7,S6,S9;DA,SJ,DJ,D9;D4,C4,S8,D6;C10,D8,C6,C8;C9,DQ,C3,CQ;S3,S10,CJ,S5;D10,HK,D3,S2;HJ,H3,H7,H10;H6,H8,CA,H4;H5,SA,HA,H2;S4,SQ,HQ,H9"
1569980804,3,0,3,"C10,CQ,C3,C2;D7,D5,DK,D9;C5,C4,C7,D3;S5,S3,S6,SA;D6,D10,DJ,SK;C8,S2,CA,DA;SJ,SQ,S8,S9;S10,D4,S4,S7;HJ,HQ,H9,HK;H2,H7,H5,H6;H8,H4,H3,CK;H10,D8,DQ,C6;HA,D2,CJ,C9"
1569980804,3,3,3,"C5,CQ,CA,C2;S6,S8,S9,SK;D5,DJ,D4,DA;D9,DQ,C8,D3;SQ,S10,S4,S3;C9,C6,C10,C7;D7,CJ,D2,DK;S7,SJ,S5,D8;S2,D10,C3,SA;D6,H5,H4,HA;H10,H6,H2,H8;H9,H7,CK,HK;H3,HJ,C4,HQ"
1569980804,3,4,3,"CA,C6,D6,C2;SK,S2,S10,S3;C7,C5,DJ,CJ;SJ,S6,D9,SA;DK,C9,D3,D2;D4,S4,D7,SQ;C10,C8,C4,DA;D5,C3,S7,D10;D8,S5,DQ,CK;CQ,S9,H8,S8;H2,H4,H10,H6;HJ,HK,H9,HQ;H5,HA,H3,H7"
1569980804,3,9,3,"C9,C10,CA,C2;D10,DJ,D2,D4;S9,SA,SJ,SQ;D9,D6,DQ,S10;DA,D7,D8,C5;DK,SK,D3,S2;S8,S4,S7,C4;C8,C6,CK,CQ;S3,S6,D5,CJ;S5,HK,C7,C3;HJ,H9,H6,H7;H4,H2,H3,H10;HQ,H5,HA,H8"
1569980804,3,7,3,"CK,C10,C5,C2;D10,D6,D8,DK;SA,SK,S3,S8;C4,C6,DQ,C3;SJ,S2,S4,S6;CQ,C7,D7,D9;DJ,D2,SQ,D5;C8,C9,S5,S9;D3,S7,HK,S10;DA,H8,H7,HJ;D4,H6,H2,HQ;CJ,H10,H3,CA;H5,H9,HA,H4"
1569980804,3,16,3,"CQ,C4,CJ,C2;D5,D7,D9,DA;DJ,D8,D2,DK;S8,S10,SK,S9;C3,CK,C6,C7;S4,S7,S2,S6;C5,DQ,C8,C9;S3,SQ,SJ,S5;D3,C10,D10,D6;H2,H6,H9,H5;HQ,H4,H10,H3;H7,HJ,H8,D4;HK,HA,CA,SA"
