1569982404,3,20,2,"C6,C5,C8,C2;DJ,D7,DA,DK;SJ,S3,SQ,S8;S4,D8,SK,SA;D5,D2,D3,D4;S9,C4,S5,S7;D9,CQ,DQ,D10;C3,CA,CK,C9;H5,H7,H10,HJ;CJ,H3,H9,H2;S2,S10,S6,H8;HA,H4,H6,C10;D6,HQ,HK,C7"
1569982404,3,4,2,"C10,C7,C5,C2;SK,S8,SA,S5;S9,S2,S7,SJ;DK,D6,DQ,D2;D9,DA,D4,CQ;C6,C4,CJ,CA;C8,CK,S10,C9;DJ,D8,S4,D10;D3,S3,SQ,D7;S6,H9,HK,C3;H4,H8,HJ,H2;H6,H5,H10,HA;D5,HQ,H7,H3"
1569982404,3,0,2,"C7,CA,C3,C2;SA,S3,SQ,S7;DQ,D10,DA,D2;D9,D3,D5,D7;SK,S9,S2,S10;DK,DJ,D4,D8;S5,CQ,S4,SJ;S6,D6,C5,CK;C9,CJ,C4,C6;C10,C8,S8,H4;HJ,H8,H9,H6;HQ,H3,H2,H7;H5,HA,HK,H10"
1569982404,3,8,2,"CA,C10,C7,C2;C3,C8,DQ,C4;S8,S10,S2,SJ;C6,C9,D7,D2;CJ,CK,S4,D4;D8,DJ,D5,D3;SK,D9,S7,S3;DA,D10,D6,SQ;S5,C5,S9,S6;DK,HA,HJ,H4;H3,H7,HK,H10;HQ,H2,H9,H6;H5,CQ,SA,H8"
1569982404,3,7,2,"C7,CA,C3,C2;D8,D4,D5,DJ;SA,S4,S2,S5;CK,C10,C9,C5;CJ,C4,C8,S9;DK,D10,D9,S10;S7,SQ,S8,H6;S3,SJ,HK,S6;HQ,H10,H8,H3;H5,H2,HJ,DA;SK,H9,H4,D7;D3,H7,DQ,C6;D6,HA,D2,CQ"
1569982404,3,4,2,"CJ,C8,C3,C2;SJ,S7,S4,S5;DQ,D2,DA,D9;S10,SA,SQ,S8;D10,D7,D6,D8;CK,C7,CQ,CA;S3,C5,S6,S2;D5,D4,SK,C6;DJ,DK,C4,C9;C10,H7,HK,H5;H3,H8,H10,H2;H6,H4,HA,HQ;D3,S9,HJ,H9"
1569982404,3,0,2,"C5,C6,C7,C2;D5,D2,D7,D6;S6,S5,S3,SQ;D8,DA,D3,S10;CJ,C4,C8,CA;S4,S2,SK,SA;D9,DQ,DJ,CQ;C3,CK,D4,C10;C9,S7,S8,S9;SJ,DK,H5,HJ;H8,H10,H2,H6;D10,H9,H4,H7;HQ,H3,HA,HK"
1569982404,3,4,2,"C5,C8,CA,C2;SQ,SK,S8,S5;C4,C10,CK,CJ;S6,S3,S7,SJ;D7,D6,S10,D2;DQ,DK,C6,D3;C3,C7,C9,D9;DJ,S2,D8,D10;D4,CQ,D5,S9;SA,S4,DA,H7;HJ,HQ,HA,H5;H9,H8,H6,H2;H3,H10,H4,HK"
1569982404,3,20,2,"C3,CK,CQ,C2;S9,SK,S8,S10;S5,SA,S4,SQ;D8,D2,D7,DJ;CJ,CA,C7,C4;C9,C8,C5,C6;D3,DK,D9,D6;D4,DA,DQ,S7;D5,SJ,S6,S2;D10,H8,HA,H6;H4,HJ,H7,H9;H5,H10,H3,H2;HQ,C10,S3,HK"
1569982404,3,3,2,"C8,C3,C5,C2;S5,SK,SQ,S7;D7,DA,D4,D6;S2,S8,S6,SA;SJ,C9,S10,S9;DQ,DJ,D9,DK;S4,D3,C7,S3;H7,HK,H6,H3;D8,D2,D10,HA;H8,CQ,HJ,H9;CK,C10,CA,H2;H5,C6,CJ,HQ;H4,D5,C4,H10"
1569982404,3,13,2,"C10,C4,C5,C2;S8,SA,S5,S2;D2,DA,D6,DJ;C7,CK,S9,CJ;D10,D7,D8,D4;SJ,S7,S6,SQ;S10,SK,D9,D5;CA,C9,DK,C3;CQ,C8,H7,H4;C6,S3,H3,HQ;HJ,H8,HK,H6;H9,H2,HA,H10;DQ,S4,H5,D3"
1569982404,3,4,2,"CJ,C5,C9,C2;D9,D4,D6,DQ;SJ,SA,S9,S10;S4,C7,S3,S2;S5,D8,D7,S6;DJ,C8,DA,D10;CA,CQ,C10,C4;DK,CK,C6,D3;D5,C3,SQ,D2;H7,HK,HA,HJ;H6,H9,H8,H10;H3,HQ,H5,SK;H2,S8,S7,H4"
1569982404,3,0,2,"C4,C8,CQ,C2;S3,S8,S5,S10;D5,DA,D6,DK;C6,DJ,CA,C3;D10,S2,D8,D3;SQ,S7,S9,S6;S4,SK,SJ,DQ;HQ,HJ,H9,H7;H2,HK,HA,H5;H4,C5,H3,C7;CJ,CK,H8,C9;D4,D9,H6,D2;SA,C10,H10,D7"
1569982404,3,7,2,"C4,C3,C5,C2;S2,SJ,SQ,S6;DQ,D7,D4,D10;DA,D8,S8,DK;D6,D2,CA,S3;D9,DJ,CK,C10;SA,C9,C8,S7;S10,C7,CJ,SK;C6,H2,D5,S9;H6,H7,H10,HK;HA,HQ,H8,S5;H4,H5,HJ,CQ;D3,H3,H9,S4"
