1569982412,3,4,0,"CK,C9,C4,C2;C10,C8,D8,CJ;S4,S10,SA,S2;DK,D3,D10,DA;S8,S5,S9,SJ;D5,C5,D2,DJ;S3,SQ,S7,D6;CQ,DQ,CA,SK;D9,C7,D7,D4;C6,C3,H6,S6;H5,H3,H9,H4;HA,HQ,H7,HK;H10,H2,H8,HJ"
1569982412,3,7,0,"C6,CK,CQ,C2;S3,S4,SA,S7;C7,C3,C9,D2;DA,DJ,D9,D7;D8,DK,D10,D4;S5,S2,S8,SQ;SK,C5,S6,S9;SJ,CA,S10,D5;H10,H3,HJ,H6;HA,H2,H7,DQ;C8,H9,HK,CJ;D3,H4,C4,HQ;D6,H8,C10,H5"
1569982412,3,13,0,"SK,CQ,C5,C2;D5,D3,D8,D7;C6,CA,S4,C9;C8,C4,C7,S5;CJ,C3,SA,S6;CK,D10,S3,S2;C10,D6,D4,S7;SJ,D9,S10,SQ;DJ,DQ,HA,DA;H4,H2,H6,H5;H7,H3,HQ,H8;S8,H9,HJ,H10;S9,D2,DK,HK"
1569982412,3,15,0,"CA,C3,C10,C2;D7,D6,DA,DQ;C6,CQ,CJ,S9;CK,C4,C8,D10;S4,SQ,S3,SK;D3,D5,D8,DJ;C9,S10,S6,D4;C5,S7,S2,D9;C7,SJ,S8,H9;HJ,H6,H7,H3;H5,HA,H2,H8;HQ,DK,H10,SA;H4,D2,HK,S5"
1569982412,3,0,0,"C10,C8,C9,C2;S5,S10,S7,S9;D5,D10,DJ,D6;C6,C3,S8,C4;CA,SQ,SJ,CK;CJ,D8,D7,S6;CQ,DQ,D3,DK;C7,S4,D9,SK;D4,S3,HQ,H5;DA,H9,HJ,H3;D2,H8,H6,H7;S2,HK,H2,SA;H4,H10,HA,C5"
1569982412,3,6,0,"C6,C9,C10,C2;S8,S7,S4,S2;SJ,S6,SA,S9;D7,D6,DJ,DA;DQ,DK,D9,D3;C5,CQ,C3,C7;S10,C4,SK,SQ;D2,D10,D4,H5;H8,H6,HJ,H2;C8,H10,CA,HK;H7,H9,CJ,H4;S5,HA,CK,HQ;S3,D5,D8,H3"
1569982412,3,13,0,"C3,C6,C5,C2;D4,D2,D5,D7;S10,S8,SA,S5;CQ,C8,SQ,CJ;CK,CA,DJ,DA;SK,S9,S4,S6;S3,SJ,C7,S7;DK,DQ,D6,D8;D10,H9,D3,H6;HJ,H3,HK,HA;H4,C4,H2,H10;HQ,S2,H5,H7;D9,C9,C10,H8"
1569982412,3,0,0,"CQ,C5,C10,C2;S7,SJ,S10,S3;DA,DK,D4,DJ;D10,C4,DQ,D7;S6,S5,S2,S9;SQ,D2,S8,CJ;D3,D8,C8,C9;D9,S4,D6,CA;D5,HQ,C7,H7;HJ,H3,H9,H2;H8,H4,CK,HA;H10,SK,C3,H6;H5,C6,SA,HK"
1569982412,3,0,0,"CQ,CJ,C6,C2;DJ,D4,D8,D7;S3,SK,S2,S5;CK,CA,C4,C9;DK,D9,DQ,D2;D5,DA,D6,D3;C3,C8,SA,C7;S10,S4,S8,S7;S6,S9,C5,SJ;C10,HA,HK,H7;H5,HJ,H4,H10;D10,HQ,H2,H9;SQ,H6,H3,H8"
1569982412,3,0,0,"CJ,CK,CA,C2;S7,S10,SK,S5;D2,D10,C4,DK;S2,SQ,S8,SJ;CQ,C6,D9,C3;C8,C10,D4,DQ;D6,D8,S4,D7;S9,S3,DA,SA;S6,C5,DJ,D3;H8,HK,HQ,H5;H2,HA,H9,H4;C9,H3,H6,H10;C7,D5,H7,HJ"
1569982412,3,13,0,"C3,C9,CA,C2;S9,SA,SJ,S2;CJ,C10,C5,C6;S7,S4,S10,S8;D6,D2,DK,D4;CK,CQ,DA,C7;S3,SK,SQ,S6;D5,D7,C8,D3;D10,DJ,C4,D9;H4,HK,H7,HQ;DQ,H5,H6,HJ;H3,H9,H8,HA;S5,D8,H10,H2"
1569982412,3,5,0,"C7,C6,C4,C2;S5,S10,S8,SK;C9,CJ,CK,CQ;D8,D5,D2,S2;D10,DJ,DK,S6;C10,CA,C5,C8;SA,S3,S9,H2;H9,D9,H8,H3;S4,SJ,HQ,HK;C3,H5,S7,H6;D3,D4,DQ,HA;H7,H4,D7,HJ;H10,D6,DA,SQ"
1569982412,3,3,0,"C6,C10,C5,C2;D9,D10,D6,D4;SA,S9,SK,S5;SQ,S10,S4,D7;DQ,DJ,D8,D3;SJ,S8,S2,CK;DK,CJ,CQ,D2;S6,S3,C8,CA;D5,S7,C9,DA;H6,H10,HQ,H9;HK,H4,HJ,H8;C3,C7,H3,H2;H7,C4,HA,H5"
