1569982433,3,0,1,"CQ,C5,C8,C2;D4,DJ,D9,DA;CA,C4,C9,C7;SJ,S4,S6,S2;C10,C6,C3,CJ;S3,S10,SA,SQ;S9,S7,S5,SK;D3,DQ,DK,D6;S8,D10,D2,D5;CK,H4,HA,D8;H3,H5,H6,H2;HQ,H9,H8,HJ;HK,D7,H10,H7"
1569982433,3,3,1,"C10,C6,C3,C2;DK,DJ,D9,D8;S6,SK,S7,SQ;CQ,C4,C9,C8;D10,DA,D4,D6;D5,D3,S2,D2;S3,SA,S5,S9;CJ,CA,D7,S8;C7,CK,DQ,S4;C5,HQ,S10,H7;H6,H8,H10,H5;H3,HA,HK,H9;H4,SJ,H2,HJ"
1569982433,3,4,1,"C7,C10,C3,C2;D7,D5,D10,C5;C9,C8,C6,CA;DJ,D2,SA,D6;DK,DA,CK,SJ;S8,S4,S3,D3;S2,SK,S9,DQ;CJ,C4,D9,CQ;S7,SQ,S10,D8;S6,H4,D4,S5;H5,H7,HA,H10;HQ,H2,HK,H9;H8,H6,H3,HJ"
1569982433,3,0,1,"C7,C9,C3,C2;S5,SK,SA,S7;DK,D7,D10,D5;DQ,DA,D2,D3;SQ,S2,S10,CQ;S4,S9,S3,C10;C4,CJ,C8,CK;D4,D8,D6,H6;H8,H2,H5,HK;HQ,H3,HA,SJ;H7,C6,S6,HJ;H10,H9,CA,DJ;H4,D9,S8,C5"
1569982433,3,16,1,"CK,CJ,CQ,C2;S7,SQ,S3,SJ;DK,D7,D8,DA;SK,S9,S8,S6;SA,S2,S4,D4;S10,D10,CA,D5;S5,DJ,C3,C5;D9,D3,D2,H9;HJ,H2,C6,HQ;H3,H5,C10,H8;H10,HA,C4,H7;HK,D6,H6,C9;C8,DQ,H4,C7"
1569982433,3,0,1,"C4,CJ,C6,C2;SQ,S2,S10,S9;D5,D7,DJ,D8;C10,C8,CA,C7;D3,D10,D2,D4;S5,S3,S4,SA;S6,C9,S7,SK;D6,C5,DQ,DK;S8,C3,SJ,DA;H6,H8,HJ,H10;HA,H3,H9,H5;H7,H2,H4,HQ;CK,CQ,HK,D9"
1569982433,3,3,1,"C5,CJ,CK,C2;DQ,D2,DA,D4;SA,S6,S3,SJ;SQ,S7,C4,S2;D3,D6,D5,D10;DJ,D8,D7,S8;SK,CA,S10,S9;S4,CQ,S5,C3;C6,C8,H10,C10;H8,HQ,H4,H9;H3,H5,C7,H2;HK,C9,HA,H7;DK,D9,HJ,H6"
1569982433,3,0,1,"C10,C3,CA,C2;SJ,S8,S10,SK;SQ,S6,S9,S3;DA,D8,D10,D5;D6,D9,DJ,DQ;CQ,CJ,C7,C5;C9,CK,C4,S5;C6,SA,C8,S4;D4,H9,D2,D3;HQ,H6,HJ,H4;H5,H3,H8,H2;D7,H10,S7,HA;DK,H7,S2,HK"
1569982433,3,25,1,"C4,CK,C7,C2;C10,CJ,C3,SK;S6,SA,S7,S10;DA,S9,D4,D6;DK,S2,DJ,D7;D2,S8,D8,D5;C8,S5,CA,C6;S3,HA,CQ,S4;H8,HJ,H3,H9;HK,H4,D9,H6;HQ,H10,D3,H5;H2,C5,DQ,SJ;H7,C9,SQ,D10"
1569982433,3,13,1,"CA,C4,CJ,C2;S7,S5,S2,SQ;C10,D7,CQ,C6;D9,DA,D8,D5;C7,S9,C5,S4;CK,S6,C3,S10;C9,SJ,C8,S3;H2,HJ,HQ,H4;D10,D2,H9,DK;D3,H7,H10,D6;SA,SK,H3,DQ;S8,H8,H5,HA;DJ,H6,HK,D4"
1569982433,3,0,1,"C10,C4,CQ,C2;D8,DJ,D7,D10;CK,C7,C3,CA;DQ,S4,DA,C6;D5,SK,DK,C8;CJ,S3,C5,SQ;S6,S5,SA,S9;S2,SJ,D2,S10;S8,D3,D6,S7;HQ,H10,H2,HA;HK,H6,HJ,H3;H7,D9,H4,H5;H9,D4,H8,C9"
1569982433,3,0,1,"C4,C10,C7,C2;S7,S6,SJ,S10;D6,D8,DA,DJ;D10,D2,D5,S3;CA,SQ,C6,CK;DQ,D3,D9,SA;S8,S4,CJ,S2;S5,S9,D4,SK;CQ,DK,C9,C5;C8,D7,H3,H9;H5,H6,HQ,H8;H2,H4,HJ,HA;C3,HK,H10,H7"
