1569982451,3,0,3,"C10,C8,CA,C2;S8,S7,S6,SQ;D5,DJ,D10,D2;C6,D3,C4,C9;S10,S4,S2,C7;SJ,SA,SK,D7;DQ,D9,DA,D8;CQ,S5,C3,DK;CK,D6,CJ,D4;H3,HA,H9,HQ;H2,H8,H4,HK;HJ,C5,H5,H7;H10,S3,S9,H6"
1569982451,3,2,3,"C8,C9,C7,C2;D3,D10,D2,D4;S6,SK,S2,S4;CA,S7,CK,C4;CJ,S10,C6,C10;DQ,D7,DK,D6;C5,D8,DJ,SA;D9,S8,DA,S3;SQ,H5,HJ,HQ;H6,HK,H2,H7;H10,S5,D5,H4;H9,SJ,CQ,H8;H3,S9,C3,HA"
1569982451,3,13,3,"C7,C5,C6,C2;S2,SQ,SK,S5;SJ,S6,D7,S3;D10,D5,DA,D6;D9,D4,DJ,D3;D2,D8,DQ,S8;CA,C9,CJ,C10;C3,C8,SA,S9;S10,H2,HJ,S4;HK,H7,HA,H10;H3,H5,H6,H9;HQ,H4,DK,CK;S7,H8,C4,CQ"
1569982451,3,21,3,"SA,CA,C7,C2;SQ,S7,S2,SK;D4,D3,D6,D2;C10,S3,CQ,C9;DJ,C3,DK,D8;D9,D5,S5,S9;D7,DQ,C4,C6;S10,SJ,H2,S8;H7,HK,H4,H8;HA,HQ,H3,HJ;H9,C5,C8,H10;D10,H5,S6,CJ;DA,H6,S4,CK"
1569982451,3,0,3,"C3,C4,C10,C2;D9,D7,D6,DQ;S8,S5,S2,SK;D2,D4,D8,D10;S3,SA,S10,S9;C7,C8,C6,DJ;S6,C9,DA,S4;SQ,CQ,CA,SJ;S7,CK,D5,D3;CJ,C5,H6,H4;H5,HJ,H9,H3;HQ,H8,H2,H10;H7,HA,HK,DK"
1569982451,3,8,3,"CJ,C8,CQ,C2;S5,S6,SK,SQ;DK,D2,D7,DQ;S8,S4,S7,S3;D3,D5,D10,D6;C10,C9,C5,CA;DA,C6,D9,SA;S2,S10,C3,S9;C4,D8,H7,SJ;H4,H2,HK,H5;H9,HQ,H3,HA;H10,DJ,C7,H6;HJ,D4,CK,H8"
1569982451,3,14,3,"C6,C10,CK,C2;S9,S7,SJ,SK;D8,DQ,D4,D2;C8,S5,CJ,C3;DJ,D3,D5,D7;D9,S6,DA,DK;C4,S8,CA,CQ;C7,H5,SQ,C5;H3,HA,H8,HK;HJ,H7,S3,HQ;H2,H10,H9,S10;H6,D10,C9,S2;H4,D6,SA,S4"
1569982451,3,17,3,"C3,CK,C10,C2;S8,S10,S9,S5;DQ,D3,D4,D2;S6,C6,SQ,S7;SK,C9,S2,SA;D8,D10,DA,C5;DJ,D6,D9,SJ;DK,C4,CA,CJ;D7,CQ,C8,S4;D5,H5,H4,H10;HQ,H9,H6,HK;H8,HJ,H2,H7;C7,HA,S3,H3"
1569982451,3,0,3,"CJ,C8,C3,C2;S4,S6,S2,S9;D8,D4,DA,D2;DJ,D9,D6,DQ;C7,CQ,C5,DK;D5,D10,CK,D3;CA,SQ,C6,S3;C9,S8,C4,S7;SA,SK,SJ,D7;H4,H6,H2,HA;H8,H10,H5,H7;HK,S5,HJ,H3;S10,C10,H9,HQ"
1569982451,3,15,3,"C9,C4,C10,C2;DA,D9,D6,D8;SK,S2,S6,S9;D3,D5,D2,DK;C6,CA,CK,C7;S5,S4,C5,S10;S3,S8,SQ,DJ;CQ,S7,CJ,D10;C8,H10,C3,H8;HJ,HA,H2,H4;H3,H7,H5,SA;D4,H9,H6,DQ;SJ,HQ,HK,D7"
1569982451,3,16,3,"C8,CK,CJ,C2;D2,DA,D6,DJ;D9,D8,D7,D4;D10,SQ,D5,D3;C7,C5,C3,C10;S2,S4,S9,S6;S3,S5,S10,S7;DK,DQ,CQ,C9;CA,SJ,C4,C6;HK,H8,H7,HJ;H5,H3,H6,H4;SK,H9,HQ,SA;H2,HA,H10,S8"
