1569982458,3,7,3,"CK,CJ,C5,C2;S6,S9,S4,S8;DK,D10,D2,D5;D9,D7,D3,DA;C7,C6,C3,C10;D6,S10,DQ,D4;S7,SK,SQ,SA;D8,CQ,CA,SJ;C4,C8,C9,S2;S3,S5,H6,HA;H2,H7,H9,HK;H8,H3,H5,H10;HQ,HJ,H4,DJ"
1569982458,3,26,3,"C8,C6,C9,C2;CJ,CQ,C5,CK;S4,S10,S2,S5;D9,D10,D6,DQ;D7,D8,D4,D2;S7,S6,C4,S9;D5,CA,DK,DA;SK,DJ,SA,C7;H9,H5,H10,HJ;SJ,H3,H4,H2;S8,HA,H8,H6;S3,C3,H7,HQ;SQ,D3,C10,HK"
1569982458,3,4,3,"C5,CK,CQ,C2;C4,C6,C9,CA;S7,SQ,S2,S6;DJ,D3,DK,D10;C7,C3,D8,C8;S8,S9,SJ,S10;DA,D5,D7,D6;D4,C10,D9,DQ;S5,H9,SA,S4;H4,H3,H5,H6;S3,HA,SK,HQ;H10,HJ,H8,H7;HK,H2,CJ,D2"
1569982458,3,0,3,"CJ,C9,CQ,C2;S10,S4,S9,SA;D2,D9,D4,D7;D5,CK,DJ,D6;SQ,S6,SK,SJ;D10,C5,DQ,D8;DA,D3,C3,DK;C10,C6,S7,C8;H3,H7,HQ,H5;HJ,H10,H6,C4;H2,HA,H8,S8;S3,H9,S2,C7;S5,H4,HK,CA"
1569982458,3,3,3,"C5,C7,S5,C2;S10,S3,SA,DA;CJ,CA,DK,C8;D9,D5,DQ,DJ;C3,S7,C9,C4;D8,D10,D3,S9;SK,C6,S4,D4;SJ,C10,SQ,D6;S6,H3,CQ,D7;HQ,H8,H5,H6;S2,H2,H4,HJ;H10,HA,CK,HK;H7,D2,S8,H9"
1569982458,3,9,3,"CQ,C9,C7,C2;SA,S9,S8,SJ;D10,D7,D2,DJ;CJ,C6,D3,CA;S4,SK,S3,S7;C5,C8,D8,CK;C4,C3,S6,S5;D6,DA,S10,D4;DK,SQ,DQ,D5;H9,HQ,H5,HA;H4,H8,H6,H3;HK,H10,D9,H2;HJ,S2,C10,H7"
1569982458,3,13,3,"C7,C10,C4,C2;S8,S3,SK,S7;DA,DJ,D8,D6;D9,D4,D10,SQ;CA,C6,C9,C3;CQ,C8,D2,S10;CJ,CK,D3,S2;D7,C5,DK,S9;D5,S4,HK,H5;H9,H3,H4,HA;H10,HJ,HQ,H8;DQ,H7,SJ,H2;SA,S6,S5,H6"
1569982458,3,0,3,"CA,C10,C8,C2;DJ,D2,D9,DQ;C6,SJ,C9,C7;S5,S9,S3,S2;CK,D6,CJ,SQ;CQ,D8,D7,D10;C4,S8,DA,S7;C3,HJ,H6,S6;H2,H8,H5,H7;H4,H10,HA,D3;C5,H9,H3,S4;D5,SK,HK,D4;SA,S10,HQ,DK"
1569982458,3,6,3,"C6,C4,C3,C2;S8,S7,SQ,S10;DQ,DA,DJ,D5;D7,D9,DK,D3;C10,CQ,CA,SK;D6,S5,D10,D2;D4,SJ,D8,S3;S4,S2,C5,SA;HJ,H4,H2,HK;H3,HA,H8,H6;CK,C7,H10,C8;S6,H5,H7,S9;C9,HQ,H9,CJ"
1569982458,3,2,3,"C7,C8,CA,C2;D10,DK,D2,D8;C4,SA,C5,CK;SK,S10,S2,S7;CJ,D9,CQ,C6;D3,D5,DJ,D7;S6,SJ,S3,S4;C9,C3,S9,C10;DQ,H7,D4,H9;H5,H3,H8,H10;S8,H4,H6,HJ;S5,H2,D6,HQ;SQ,HA,DA,HK"
1569982458,3,17,3,"CA,C6,C5,C2;S10,S4,SA,SK;D4,D2,D8,D5;CJ,C9,CQ,D9;D6,DK,D7,DA;S5,S6,SJ,S9;S8,S2,S3,SQ;DJ,C7,DQ,C3;CK,D10,C4,C8;D3,H7,HQ,S7;H9,H5,H4,H3;H8,HJ,H6,H10;HK,C10,H2,HA"
1569982458,3,19,3,"C3,CJ,C5,C2;D2,D8,DA,D9;D7,DQ,S2,D3;CQ,C9,C6,CK;SQ,SA,S8,S6;S7,S3,S9,S10;D4,DJ,C7,S4;D5,C10,DK,C4;D6,H10,SJ,H7;H2,HA,S5,H3;HJ,SK,H8,HK;H9,C8,H6,H5;H4,CA,D10,HQ"
