1569982479,3,15,3,"CK,CQ,C9,C2;DJ,D7,D8,DK;S10,S7,S4,S5;CJ,C8,C3,C7;SJ,S6,S3,S8;C10,D4,S9,C4;DQ,D5,DA,D9;SA,SK,CA,C6;SQ,D2,D3,D10;S2,D6,HQ,HJ;H2,H9,HK,H8;H5,HA,H3,H4;H10,C5,H6,H7"
1569982479,3,13,3,"C5,CJ,C7,C2;S9,S2,SK,S3;D4,D3,D5,D2;SQ,S8,S7,SA;CQ,C9,C6,C4;D9,D7,DK,DJ;D10,C8,D6,DA;S10,H4,HK,S6;H8,H9,HQ,H3;CA,H5,C10,C3;HJ,HA,H6,SJ;H7,S5,H10,S4;DQ,CK,D8,H2"
1569982479,3,0,3,"CA,C10,CQ,C2;C6,C3,DA,C4;C5,C8,S2,C9;D10,D3,D7,DQ;D5,D9,S8,D6;S6,S3,SJ,S10;D2,S9,D4,DJ;CK,SQ,D8,CJ;C7,H8,SK,S4;HA,H3,H10,H2;H4,HQ,HJ,H7;H5,S5,SA,H9;H6,S7,DK,HK"
1569982479,3,0,3,"CJ,C9,C10,C2;D9,D10,D2,D4;SJ,SA,S9,S2;C4,C5,S5,CQ;CA,C6,C8,D3;S8,SK,S10,SQ;DA,D8,D7,D6;CK,C3,S3,C7;DQ,D5,DJ,S4;DK,H10,H2,S6;H5,H9,H4,H8;HQ,HK,H3,HA;S7,H7,H6,HJ"
1569982479,3,4,3,"CQ,C4,C3,C2;S5,S9,SJ,S3;SA,SK,S8,SQ;D5,DJ,DA,D10;C6,CJ,CK,C8;S6,C5,S2,S4;DQ,D9,D6,DK;C7,C10,S7,S10;C9,H4,HJ,H5;H7,HQ,HK,H8;H6,H2,H9,CA;D4,H10,D3,D8;D2,HA,D7,H3"
1569982479,3,0,3,"CQ,CK,C3,C2;S7,S6,S5,S8;D3,D8,D2,D7;SK,SA,S4,S3;C4,DA,CJ,C7;D4,DJ,C5,D10;D6,DK,S2,S9;S10,C10,DQ,SJ;CA,HQ,H7,C8;H4,H8,H2,H9;HJ,H6,H10,SQ;D5,H5,HK,C9;D9,H3,HA,C6"
1569982479,3,16,3,"CQ,C8,C7,C2;S9,SA,S10,SJ;D2,D4,D10,D7;C6,CK,C3,CA;S8,S5,S2,SQ;D9,DA,DQ,D3;C4,C5,C9,S4;D8,DK,D6,D5;CJ,H10,H5,S6;HQ,H7,H2,HK;H3,H4,H8,HJ;H6,HA,DJ,SK;H9,C10,S3,S7"
1569982479,3,15,3,"CQ,CA,C3,C2;D10,D9,D5,D6;D4,D3,D2,D7;S5,S6,S8,SJ;DJ,SA,DA,DK;C8,C4,C6,SK;DQ,S4,D8,S3;C5,C7,C10,SQ;CJ,CK,S2,C9;S7,S9,H7,H5;HQ,H3,H10,HA;HK,H9,H6,H8;H4,S10,H2,HJ"
1569982479,3,10,3,"CK,C7,C8,C2;S5,SA,S9,S10;D2,D4,DA,DQ;C4,C3,C5,C6;S8,CQ,SJ,S7;CA,C9,D9,C10;D3,D5,D10,D7;S6,D6,S3,S2;DJ,CJ,HJ,DK;H5,HQ,HA,H9;HK,H7,H8,H6;H4,H10,SK,SQ;H2,H3,S4,D8"
1569982479,3,16,3,"C6,C10,C4,C2;D6,DA,DK,DQ;S8,S5,SJ,SK;D4,D5,D7,D8;S3,C3,SQ,DJ;S7,S9,D10,C8;C7,CJ,CK,C5;S2,D2,S10,CQ;D3,H5,H10,H2;H6,H4,H9,HQ;H3,H7,HA,S4;C9,CA,D9,H8;HK,SA,S6,HJ"
1569982479,3,14,3,"C3,C9,C8,C2;S7,S10,SQ,S5;DA,D2,DJ,C6;CA,CK,C5,SK;D9,D3,DQ,S6;CQ,S8,C7,SA;C4,S3,C10,H3;D4,D5,D8,HA;S2,HJ,D7,H9;SJ,CJ,D10,H5;S9,H6,DK,H8;S4,H10,D6,H2;H4,HK,HQ,H7"
