1569982490,3,0,1,"C6,C5,C10,C2;SQ,S2,S6,S10;D8,D2,DA,D4;C9,C8,CJ,SJ;DQ,D3,D10,D6;S3,C3,SK,SA;S5,CA,S9,CK;C4,CQ,DJ,D9;DK,HJ,D5,H5;H7,H6,H9,H4;H10,S8,HA,H2;D7,S4,H8,H3;C7,S7,HQ,HK"
1569982490,3,13,1,"C8,CK,C10,C2;DK,DA,D9,D3;C4,CJ,C3,C6;S9,S4,SK,SQ;CQ,C9,CA,C5;DJ,D8,D5,D7;D4,D6,D2,SJ;S10,SA,S7,S6;S3,S2,S5,DQ;H9,H8,H7,H3;H4,HK,H5,H6;D10,HJ,S8,H10;C7,HQ,H2,HA"
1569982490,3,13,1,"C10,CA,C8,C2;S7,SA,SK,S9;SJ,S8,S3,S5;D5,D2,D4,D10;D7,DA,DQ,D3;S10,C5,S4,S2;D6,D8,DJ,S6;C7,CK,CQ,SQ;C4,C3,DK,C9;HQ,H10,H8,HA;H4,H3,H7,H6;H9,H5,HJ,H2;D9,C6,CJ,HK"
1569982490,3,4,1,"C10,CK,CQ,C2;D3,D7,DK,DA;S3,S10,SQ,S9;C5,C6,C8,C4;SJ,S6,S2,SK;S4,CA,D8,SA;DJ,H5,DQ,D9;H6,H2,H8,H3;S7,HK,H4,S5;HA,H9,C3,D10;H7,HQ,CJ,S8;H10,C9,D5,D4;HJ,C7,D2,D6"
1569982490,3,7,1,"C4,C7,C10,C2;S10,S5,SK,S3;D7,D2,D9,D8;C5,CJ,C8,C9;D3,D4,D10,DQ;S8,S7,S4,S6;SJ,S9,DJ,SA;DA,C3,D5,DK;D6,CA,C6,SQ;S2,H7,CQ,HQ;H8,HA,HJ,H6;H4,H10,H2,H3;HK,H9,H5,CK"
1569982490,3,6,1,"C10,CJ,C5,C2;SA,S4,SK,S2;S8,S6,S5,S3;C8,CA,C7,D5;D9,D8,D4,D3;DJ,D2,DA,D6;SQ,C3,S10,DK;DQ,D10,D7,C9;S7,C4,SJ,CK;S9,H6,H5,H3;H9,H10,H7,HQ;H8,H2,HA,HJ;HK,CQ,C6,H4"
1569982490,3,0,1,"C10,C3,C6,C2;CK,C9,CQ,CJ;S3,S5,SK,S7;D2,D9,DK,D10;S2,S10,C5,SA;D5,DJ,S6,D4;C8,S9,C7,DA;DQ,SQ,CA,D3;D7,H3,HJ,D8;H5,HQ,HK,H9;SJ,H8,H4,S4;C4,H6,H2,D6;HA,H10,H7,S8"
1569982490,3,7,1,"C4,C9,C5,C2;D3,DA,D2,DQ;CJ,CQ,C7,C8;D6,SA,DK,D7;CA,C3,D5,CK;S9,SK,S5,S3;SQ,S7,S8,S10;S2,DJ,S4,D10;C10,D8,C6,D9;D4,H9,SJ,HA;H8,H10,H2,HJ;H7,HQ,H3,H6;H5,S6,HK,H4"
1569982490,3,3,1,"C4,C10,C6,C2;SJ,S3,SK,S4;D9,D5,DA,D8;S6,S7,S9,CJ;D6,DJ,D7,D2;C3,C7,C8,S10;DK,C9,D3,SQ;DQ,S8,D10,H5;H9,H8,H10,HJ;HK,CQ,H6,H2;H3,S2,CA,H4;C5,CK,HA,S5;SA,HQ,D4,H7"
1569982490,3,6,1,"C4,CJ,C10,C2;D8,D9,D3,D10;C6,C9,CK,C8;D5,D2,DQ,DA;S3,S8,S6,S5;SK,S10,S7,SJ;CA,CQ,C3,S2;SA,S4,D6,D7;C5,C7,H5,HQ;HJ,H6,H7,H3;H10,HK,S9,H4;D4,H8,DK,H9;SQ,HA,DJ,H2"
1569982490,3,14,1,"C7,CA,C10,C2;DJ,D8,DQ,D10;CK,C9,C5,S5;S2,SA,SJ,SK;S3,S9,S8,S10;D9,DK,D5,D4;C6,D6,D3,CJ;SQ,S7,CQ,DA;S4,D7,C8,H9;H7,HQ,HK,H3;HA,H2,H10,S6;H8,H6,HJ,D2;H4,H5,C3,C4"
1569982490,3,17,1,"C10,C5,C6,C2;D6,D7,D4,DA;S9,S2,S7,S5;S10,S6,S4,SJ;C8,CJ,C3,CA;D2,D10,DK,D5;D8,SQ,D3,DJ;SA,SK,C4,C7;S3,S8,H4,HJ;H2,H6,H10,H5;H9,D9,H3,H7;H8,CQ,HQ,HK;DQ,CK,C9,HA"
1569982490,3,4,1,"C7,C8,C6,C2;D7,D5,DA,DK;CA,C5,CJ,C3;C9,CK,C4,S6;S5,SK,S9,SA;S8,S4,S2,S3;S7,SJ,C10,SQ;S10,DQ,D4,D2;DJ,D8,D3,H3;H7,HQ,HJ,H10;H8,H9,HA,H5;H2,H4,D6,H6;HK,CQ,D10,D9"
1569982490,3,0,1,"CJ,C4,C7,C2;SJ,S4,S9,SK;DJ,D3,DA,D10;S7,S8,SQ,S6;C9,CQ,C6,C8;D8,D7,D5,D4;D9,C5,D6,DK;SA,C10,S10,S3;S5,HA,DQ,S2;HQ,H10,H2,H6;D2,HJ,H7,H3;HK,H8,C3,H5;H9,H4,CK,CA"
1569982490,3,2,1,"C3,C4,C9,C2;S5,S7,SA,S4;D9,D7,D3,D4;D6,D5,DA,D10;S9,S3,SJ,S8;CA,CJ,C5,SQ;CK,DJ,C8,S2;S10,HK,SK,H8;H5,HA,H6,H9;HQ,H2,H3,H4;D8,S6,DK,H10;CQ,C7,DQ,HJ;C10,C6,D2,H7"
