1569982492,3,4,3,"C8,C5,CJ,C2;S8,SJ,S5,S7;S10,S9,S6,CA;S4,SA,SQ,D5;D3,D7,D8,D10;DK,DJ,D2,DA;C3,C7,S3,C10;D4,SK,DQ,CQ;S2,C4,D9,C6;HQ,H8,HK,H2;C9,H3,H5,CK;H7,HJ,H6,H4;H9,D6,HA,H10"
1569982492,3,7,3,"C9,CA,C6,C2;SA,S10,S7,S9;SK,SQ,DK,CK;S8,SJ,CQ,DQ;D2,DJ,D7,D3;C8,C7,C5,C4;D4,D6,D10,D9;CJ,DA,C10,C3;S6,H3,H2,S5;H5,H6,HK,H4;H8,HA,H10,HQ;H9,D5,H7,S3;HJ,D8,S2,S4"
1569982492,3,14,3,"D9,CK,C9,C2;S4,S6,S10,S8;DK,D4,D6,D8;C6,S7,C5,C7;SK,S2,S5,S3;D5,D7,DJ,D2;D10,S9,DA,DQ;C4,C8,CQ,SQ;CJ,C3,SJ,H5;HK,H4,HA,H10;H9,D3,H2,HJ;H3,C10,HQ,H8;H6,CA,SA,H7"
1569982492,3,0,3,"C7,CK,C6,C2;S6,S5,S9,S2;D10,D5,D2,DA;S3,SQ,S4,SA;D6,DQ,D9,SK;C9,C4,D8,CA;C10,C8,C5,D4;S10,S8,SJ,D3;D7,DJ,DK,S7;H8,H6,HJ,H4;HA,H5,H2,H10;HK,H9,HQ,CJ;H3,CQ,H7,C3"
1569982492,3,20,3,"C9,C8,CK,C2;DQ,DK,D8,DJ;S4,SQ,S2,C4;S5,S8,D10,S10;S3,SJ,C10,S6;SA,DA,SK,C7;S7,C5,D6,CQ;D7,D2,D9,D5;C3,H9,HJ,C6;H4,HA,HQ,HK;D4,D3,H8,H10;CJ,S9,H5,CA;H7,H6,H3,H2"
1569982492,3,5,3,"C4,CK,C9,C2;C7,C10,CQ,C8;D8,D2,DQ,D10;S4,SQ,S3,SJ;S7,S9,SK,SA;DJ,DK,D7,D5;D6,D4,D9,S10;C3,CA,S5,C5;S8,D3,H10,S6;HJ,H2,H9,H7;H8,H5,H4,HQ;HK,HA,H3,S2;DA,H6,C6,CJ"
1569982492,3,19,3,"C8,C6,C7,C2;DK,DQ,D2,D10;D3,D9,DA,D8;S7,S10,S9,S2;C9,CK,CJ,CA;S6,S5,CQ,S8;SJ,C5,C3,SK;SA,D7,C10,H4;S4,H2,HJ,H9;D4,D6,DJ,HA;C4,H10,H6,D5;HK,H8,H5,SQ;H3,H7,HQ,S3"
1569982492,3,0,3,"C8,CJ,C5,C2;S10,S9,S5,S2;S3,SQ,S7,SA;DK,D5,CQ,D8;D3,D7,CK,D9;S6,S8,SK,D6;C10,C4,CA,C7;DA,D10,C6,D2;DQ,C3,SJ,DJ;D4,C9,S4,H4;HK,H5,HJ,H3;HQ,H8,H7,H10;H6,HA,H9,H2"
1569982492,3,20,3,"CK,C4,C9,C2;S7,S3,S2,SA;SJ,S6,D7,S9;D10,D3,DQ,D2;CJ,C7,C6,C8;C3,CQ,C5,S4;D4,D8,DA,D9;D5,C10,D6,DJ;S5,CA,S10,SQ;DK,H3,H6,H4;H8,H10,H5,HJ;S8,HA,SK,HK;H2,H9,HQ,H7"
1569982492,3,0,3,"CQ,CK,CJ,C2;D9,D7,D4,D5;SQ,S4,SA,S6;S8,S2,S7,SJ;C7,CA,C3,C5;D2,DA,D6,DK;C6,C10,DJ,C4;C9,S5,S9,C8;DQ,HQ,D3,D10;H5,H6,H9,HJ;D8,H8,H10,HA;S3,H3,S10,SK;H7,H4,H2,HK"
1569982492,3,17,3,"C3,CA,C6,C2;DJ,D9,D3,DK;SA,S7,SQ,S6;SK,S4,SJ,S2;C8,CJ,CQ,D10;S9,D5,S5,S10;D7,DA,CK,D4;C10,C7,D6,C5;C4,C9,D2,S3;HA,H9,H7,H6;H3,H4,H2,H10;S8,HQ,HJ,D8;DQ,H8,HK,H5"
