1569982495,3,4,0,"C4,C8,C6,C2;CA,C10,CK,C3;D6,DA,DJ,D2;SA,S9,S3,S2;SJ,SQ,S10,D9;D8,DK,DQ,D4;C9,CQ,S5,S4;CJ,C7,D3,SK;H5,HJ,H6,H7;H4,H9,H3,H10;S6,H8,S7,HQ;D5,D10,H2,S8;D7,C5,HK,HA"
1569982495,3,16,0,"CA,C8,C7,C2;D8,D2,DJ,D4;SK,S8,SA,S9;C3,CK,C6,C10;CJ,CQ,D9,C9;SJ,S2,C4,DQ;D5,S10,D6,D3;DA,SQ,S7,D10;DK,S5,S4,D7;C5,H10,HK,H7;H9,HJ,HA,H8;S6,HQ,H2,H5;S3,H4,H6,H3"
1569982495,3,13,0,"C3,CJ,C5,C2;SK,S4,SQ,S7;S9,D4,S10,S6;D8,D5,DQ,DA;S8,CQ,C8,S3;S5,C4,D6,C6;SA,DJ,D3,CA;SJ,D2,D9,DK;S2,D7,C10,D10;H4,H2,H3,HK;HA,H10,HQ,HJ;H9,H7,CK,H8;C9,H6,C7,H5"
1569982495,3,0,0,"C6,C7,C9,C2;D3,D9,DQ,D4;SK,S5,S7,S8;S2,SQ,S10,D6;DA,D8,DK,SA;D7,D5,D2,C5;S4,S3,CA,C8;DJ,C3,C10,CQ;SJ,HJ,H8,H5;H7,HK,H3,H2;CK,C4,S6,HA;H10,H4,D10,H6;CJ,HQ,S9,H9"
1569982495,3,4,0,"CQ,CK,C7,C2;S6,S2,SA,S4;D8,D9,DJ,D4;CA,C10,C4,CJ;D6,D5,DQ,D3;C8,S8,C6,C5;D2,SK,D10,D7;C9,H9,S10,H10;C3,HK,H2,HQ;SQ,H6,S3,SJ;DA,HJ,DK,H4;H8,H3,HA,H7;S5,H5,S9,S7"
1569982495,3,4,0,"C4,C10,C9,C2;S5,S4,S8,S3;D8,D6,D2,DJ;D5,DQ,D3,DK;S9,C7,SK,SQ;D7,D4,D10,DA;CQ,C5,CK,C3;SA,S7,CJ,SJ;S6,CA,D9,S2;HJ,HA,H4,H3;H9,HQ,H7,H2;H5,H6,HK,H10;H8,S10,C6,C8"
1569982495,3,3,0,"C4,C9,C7,C2;S7,S2,S9,SQ;DA,D2,DK,D8;D4,D9,D3,D10;S8,S10,S4,D5;C6,CQ,CK,CA;SK,C3,S5,D7;C8,C10,C5,HJ;H6,HA,H10,HQ;SJ,S3,H5,H2;H8,H9,H3,H7;D6,H4,CJ,DJ;DQ,HK,SA,S6"
1569982495,3,7,0,"C9,C5,C10,C2;C7,CQ,C4,CK;D8,DA,D4,D2;SJ,S8,SK,S9;CJ,S10,CA,C6;D5,D7,DQ,S4;SQ,S2,DK,SA;H9,H10,H6,S7;C3,HK,D6,HQ;C8,H4,D10,H2;H7,H8,S5,H3;HJ,D3,D9,H5;DJ,S6,S3,HA"
1569982495,3,2,0,"CQ,C5,CK,C2;S2,S4,S7,S5;DQ,D10,D3,DK;D4,DA,D6,D9;S9,S6,S8,S3;D7,D8,D5,D2;DJ,C10,CJ,CA;SK,SA,C3,C7;SQ,S10,H9,H10;H8,HQ,HA,H2;H7,HK,H3,H5;C8,C9,H4,H6;C4,C6,HJ,SJ"
1569982495,3,0,0,"C6,C9,C8,C2;S9,S8,S10,SA;D3,DA,DQ,D2;S4,SJ,SQ,S5;D9,D8,D10,DJ;D6,CQ,DK,D7;CA,C5,CK,C4;C10,C3,D4,S2;CJ,C7,S3,S7;HQ,H5,H4,H7;H9,HK,SK,H6;H3,S6,HJ,H10;H8,D5,HA,H2"
1569982495,3,14,0,"C6,C3,C7,C2;DK,SK,D2,D4;C4,C9,DA,CJ;SA,S9,SQ,S2;S8,S6,S5,C5;S4,S3,S10,D5;D6,CA,DQ,DJ;CK,CQ,C10,S7;D7,C8,D3,D8;D9,SJ,HK,D10;H7,HQ,HA,H2;H6,HJ,H4,H8;H5,H10,H9,H3"
1569982495,3,26,0,"CJ,C6,CQ,C2;D10,D2,DA,DJ;D6,D3,C5,D5;SJ,SQ,SA,S9;C7,C9,C4,C3;S6,S2,D7,CK;S5,S3,D4,D9;S7,S10,D8,DQ;C10,C8,DK,H8;HK,HQ,H2,H4;S4,H10,H3,HA;SK,CA,H6,H5;S8,HJ,H7,H9"
