1569982509,3,4,2,"CQ,C5,C8,C2;S3,SK,S7,S9;D10,DJ,DA,D4;CK,CJ,C4,C10;C7,C3,S8,C9;S2,C6,SA,S4;S10,D7,SJ,S5;D5,D3,D8,D9;D2,CA,S6,DK;D6,H4,H3,DQ;H9,H8,H5,HQ;H6,H10,HJ,HK;SQ,H7,H2,HA"
1569982509,3,0,2,"C6,C4,C8,C2;D9,D5,D7,DK;S6,S4,SK,S2;S10,SJ,C3,SQ;D4,D8,D3,DA;S8,SA,DQ,DJ;CK,CQ,C7,CA;S9,S7,C5,D2;S5,S3,HK,C10;D6,H6,H4,H7;H3,HA,H9,HJ;CJ,H8,C9,D10;H10,HQ,H5,H2"
1569982509,3,7,2,"C10,CJ,CA,C2;S5,SK,S7,S8;SA,SQ,S9,S10;D10,D9,D5,D4;DQ,C4,DA,DJ;S4,C3,DK,S3;S6,C9,D3,C6;S2,C8,D2,D8;SJ,H3,H2,H7;HA,H8,HK,H10;C5,H4,CK,CQ;H5,H9,H6,D7;HQ,HJ,D6,C7"
1569982509,3,17,2,"C8,C3,CA,C2;S3,SJ,S4,S8;D4,D9,DQ,DA;C6,CJ,C7,DK;D3,D6,D7,DJ;S9,S10,S7,SK;D2,CQ,D10,D5;D8,HA,H7,C10;HQ,H2,H5,H6;H4,H9,HK,S2;H3,HJ,C9,C5;SA,H10,S5,SQ;S6,H8,C4,CK"
1569982509,3,10,2,"CK,C6,C8,C2;D9,D6,DJ,D8;C9,C3,CQ,C4;DK,DQ,S7,D10;DA,D7,S2,D4;S3,SK,SQ,S4;CA,C7,SJ,D2;CJ,C10,S10,SA;S6,S8,S5,D3;S9,H6,H2,HK;H5,HA,HQ,H7;HJ,H4,H3,H9;D5,C5,H10,H8"
1569982509,3,13,2,"C3,C9,C4,C2;S2,S7,S6,SQ;S5,SA,S4,SJ;CK,C10,C7,C5;CA,CQ,C6,D6;DA,D7,DQ,D8;D3,DK,D5,D9;D10,D4,S10,D2;C8,CJ,SK,S3;S9,H9,HA,H10;HJ,HK,H3,H5;H8,HQ,H6,H2;S8,H7,H4,DJ"
1569982509,3,16,2,"CJ,S6,CA,C2;S3,S4,S10,SK;D8,D6,DA,DQ;S9,S8,S5,S7;C9,C4,D7,C3;D3,DJ,DK,D10;SA,S2,C8,SJ;SQ,C6,CK,D4;HQ,H8,HA,H4;H7,H2,H5,D9;H10,H3,HJ,C7;H6,C5,HK,CQ;C10,D2,H9,D5"
1569982509,3,15,2,"CJ,C4,C9,C2;C6,S3,CA,C10;S10,S7,S4,S6;C3,C5,D4,C7;S8,SK,D8,S5;D7,D6,DA,D2;D3,DJ,D5,DK;S2,S9,DQ,SA;SJ,CQ,D9,CK;SQ,HQ,D10,H10;H6,H4,HA,HK;H2,HJ,H8,H7;C8,H9,H5,H3"
1569982509,3,14,2,"C9,C3,CA,C2;SQ,S10,S5,SK;D3,DK,D5,D7;C8,C4,C5,CJ;S9,S6,SA,S7;S4,C7,S8,S3;DA,D2,D4,D6;DQ,CQ,CK,D8;D9,C10,H2,S2;H9,H4,HQ,H10;H7,H3,HJ,HA;SJ,H6,H5,DJ;C6,H8,HK,D10"
1569982509,3,0,2,"C8,C10,CA,C2;D5,D6,DK,D2;S7,S2,S3,SJ;CJ,CK,C3,C4;S8,C7,C6,S9;S10,D10,DA,SK;SQ,HJ,H9,S4;HQ,H10,H5,H4;SA,C9,H8,S5;CQ,C5,H3,DQ;D3,D7,H2,D8;S6,D9,H7,D4;HK,H6,HA,DJ"
1569982509,3,0,2,"C3,C4,CJ,C2;SK,S9,S3,S2;D7,DQ,DA,DJ;DK,D2,D8,D4;S6,SQ,S10,S5;C10,C5,CK,C8;CQ,D6,C7,C6;S8,SA,S4,D5;D9,C9,HK,D3;H3,HQ,H7,H10;CA,HJ,HA,H4;S7,D10,H2,H8;SJ,H6,H9,H5"
