1569982511,3,1,1,"C10,CQ,C7,C2;C6,C5,C8,C9;S9,S2,SA,SQ;CJ,D4,C3,SJ;CK,S6,S7,D2;DK,DQ,D6,D7;C4,S4,DJ,S10;S5,S8,D8,SK;D5,DA,H5,D3;H7,H8,H10,HK;S3,H4,H2,HQ;HA,H3,H6,D9;CA,H9,HJ,D10"
1569982511,3,9,1,"C5,C3,C4,C2;S4,S8,SJ,S7;S3,S2,SA,SQ;DJ,D6,DA,D9;S9,SK,D3,C9;CA,C7,CJ,D7;S6,DQ,DK,S10;D2,D5,S5,D8;C6,CK,CQ,D4;H8,H9,H5,HK;H6,HJ,HQ,H4;H2,C8,H7,HA;D10,H3,C10,H10"
1569982511,3,0,1,"CA,CK,C4,C2;D6,D3,D10,D8;S2,SA,S5,S6;C6,C7,C10,CJ;D5,D4,D9,DK;CQ,C3,C5,SJ;D2,DA,D7,S7;S4,DJ,S9,S8;HJ,H2,H6,HK;S10,DQ,S3,HA;SQ,H9,H3,H4;H7,H5,H8,H10;HQ,C8,C9,SK"
1569982511,3,13,1,"CJ,C8,C10,C2;D4,D6,DQ,DA;S5,S2,SJ,S10;DJ,D3,D9,D10;S8,S6,S4,SK;S3,D2,C7,S7;D7,C4,D5,DK;D8,SA,SQ,CQ;H9,H8,H7,HJ;H6,H3,H2,H4;H10,C6,HK,HQ;CA,C3,CK,H5;C5,S9,C9,HA"
1569982511,3,0,1,"C4,CK,CQ,C2;D6,DA,D7,DQ;S7,S2,SJ,S8;C8,CJ,C9,C6;D8,D4,D2,DK;S4,C7,S6,S10;S5,C3,SK,S3;S9,C10,SQ,D3;C5,D9,CA,HK;HQ,H9,H3,H10;H6,H5,H8,H7;H4,H2,D10,HJ;HA,DJ,D5,SA"
1569982511,3,4,1,"C8,C6,C3,C2;S3,S8,S6,SA;D8,D4,DQ,D2;C10,CA,CJ,CK;DA,D6,S5,DJ;D3,C5,S4,D9;SK,D10,SJ,SQ;S7,CQ,S10,S9;C9,D7,DK,H2;HK,HJ,HQ,H4;H8,H10,H5,HA;H3,H9,H7,C7;D5,S2,H6,C4"
1569982511,3,13,1,"CK,C5,C7,C2;D5,D6,D10,D7;SQ,S6,SA,S10;SJ,S9,S2,S5;S7,DA,D9,SK;C3,C4,C10,C9;DQ,D4,D2,D8;DJ,D3,DK,S3;CJ,CA,CQ,C8;S8,HQ,H2,S4;H5,HA,H6,H4;HJ,H8,HK,H10;H3,C6,H9,H7"
1569982511,3,0,1,"C6,C3,C5,C2;S6,S8,SK,S4;DJ,D9,D7,D3;S5,SA,S7,S10;CQ,C10,C9,C4;CJ,CA,DK,C7;D10,DA,D2,D8;C8,CK,S3,S9;D4,D5,H10,D6;H3,H5,H7,HK;H4,H9,HA,H8;SJ,S2,HQ,HJ;SQ,DQ,H2,H6"
1569982511,3,13,1,"CJ,C7,C6,C2;C3,CA,C8,CQ;D4,D3,DK,S3;D6,D10,S6,DA;D8,D9,C9,D7;SJ,S7,S5,SQ;S10,S8,D5,SA;S4,C5,DQ,S2;DJ,H2,H10,H5;HA,H4,H9,H7;S9,HJ,C4,HK;D2,H8,C10,CK;SK,HQ,H6,H3"
1569982511,3,0,1,"C10,C5,CA,C2;D3,D2,D8,DK;S5,SK,SA,S2;D7,D6,D5,D10;S3,SQ,DA,S8;CK,C9,C3,S10;C4,CJ,C8,S7;D4,DJ,D9,SJ;CQ,C6,S9,DQ;C7,S4,H4,H5;H9,H10,H6,HJ;HA,H8,HQ,H2;HK,S6,H7,H3"
1569982511,3,20,1,"CJ,C8,C5,C2;S4,S3,S8,S2;D7,DJ,DK,DA;S7,S5,SJ,D9;C10,C9,C4,CK;S10,SK,S6,D4;D8,D2,D5,D6;C3,CA,C6,D3;SQ,S9,H6,SA;H10,H9,H8,H3;H7,HJ,HK,HQ;H2,CQ,H5,C7;H4,D10,HA,DQ"
1569982511,3,4,1,"C4,CA,CK,C2;D8,DA,D5,DK;S5,S6,S4,S7;S8,D2,S2,SQ;CJ,CQ,C6,C5;D7,D6,DQ,S10;SK,S9,D3,SA;C3,D9,C7,C9;C8,SJ,C10,D4;H10,H3,H5,HJ;H8,HA,H4,H7;HQ,S3,HK,H6;H9,DJ,D10,H2"
1569982511,3,0,1,"CA,CQ,CK,C2;DJ,D7,D10,D8;S9,SQ,S10,SA;C7,C5,C8,C9;DA,D9,D3,D4;SK,S5,S3,SJ;D2,C10,DK,C3;D5,C6,C4,D6;S4,H6,S6,HJ;S7,HQ,HA,H10;S2,H7,H3,HK;CJ,H2,H9,H5;S8,H4,H8,DQ"
