1569982515,3,0,2,"C9,C10,CQ,C2;D5,D6,D10,D7;C5,CA,C3,CK;S7,S4,C7,S5;S10,SA,CJ,SK;C6,D3,C8,DJ;DK,HJ,D9,D4;HK,H5,H4,H2;D2,H3,D8,DQ;H8,H6,S2,HA;SQ,H10,S8,S6;SJ,H9,C4,S3;S9,HQ,DA,H7"
1569982515,3,6,2,"C4,C8,C3,C2;S10,SJ,S7,S5;DK,D10,D2,D9;C9,C6,C7,C5;D8,D5,D4,DJ;S6,SQ,S3,SK;CQ,CJ,CK,S4;CA,D3,C10,S8;S2,H8,S9,SA;H7,H5,HA,H3;DQ,HJ,D7,H10;H4,H2,HQ,HK;H9,H6,D6,DA"
1569982515,3,0,2,"C9,C6,C3,C2;SJ,S10,S8,SA;D7,DA,D8,DJ;CK,CQ,C4,C5;C8,C10,D10,DK;D9,DQ,D2,D6;C7,S2,S6,S9;CJ,D4,SQ,D3;CA,S4,SK,S7;S5,HA,HK,S3;H3,HQ,H6,H7;H4,H8,H10,H9;H2,HJ,H5,D5"
1569982515,3,9,2,"CK,CA,C7,C2;DQ,DK,D9,D2;SJ,S9,SQ,S7;D7,D4,D3,S2;CQ,C8,S8,C6;D5,D10,DA,S4;D6,DJ,D8,SA;C5,HJ,C4,HK;C9,H7,C3,HA;C10,HQ,CJ,H2;S5,S6,S10,H10;H8,H5,H6,H4;S3,SK,H9,H3"
1569982515,3,0,2,"S2,CQ,C4,C2;CJ,CK,C7,D5;SK,S4,SQ,S8;S5,S6,S9,S10;D4,DA,D9,D10;C9,D7,C8,C6;DQ,D6,D3,DK;SJ,S3,C3,S7;C5,D8,CA,C10;DJ,H2,D2,HQ;H4,HJ,H8,HA;HK,H5,H9,H7;H3,H10,SA,H6"
1569982515,3,0,2,"C10,C5,C7,C2;SA,SQ,S3,S2;C4,CJ,CA,C9;SJ,S10,S5,S4;S6,S8,S7,D4;CQ,D5,CK,DJ;D9,D10,D2,D7;D3,DQ,D8,DK;S9,C8,DA,SK;H5,H8,H10,HA;H9,H6,HQ,H3;C6,D6,H7,H4;C3,HK,HJ,H2"
1569982515,3,0,2,"CA,SA,C6,C2;S5,S6,S8,S3;C10,CK,D8,CJ;D2,DA,D3,D5;S9,SQ,S7,S10;C8,C4,C3,SJ;CQ,D6,C9,D4;C5,D10,DK,S2;C7,H7,HA,H3;H5,HQ,H2,H6;D9,D7,DJ,H8;S4,DQ,HJ,H10;SK,H9,H4,HK"
1569982515,3,6,2,"D5,CJ,C5,C2;SQ,SA,SJ,S7;DK,D3,D4,DA;S8,SK,S5,S6;C10,C4,DQ,C6;D2,D6,D8,D9;S9,S2,S10,C7;DJ,S4,D7,D10;HK,H9,H3,H8;HJ,H6,H2,HA;C8,C3,C9,H5;CQ,H10,CK,H4;H7,S3,CA,HQ"
1569982515,3,6,2,"CJ,C4,C8,C2;D3,D5,D9,D2;S3,S8,S4,SQ;D7,DK,DA,DJ;SA,S7,SJ,SK;S10,C6,CK,S6;S9,CA,D6,CQ;S2,C10,D10,C7;C3,DQ,D8,C9;D4,H7,H5,H2;H6,H3,H4,H10;H9,HK,H8,HJ;HA,S5,C5,HQ"
1569982515,3,8,2,"CJ,C8,C4,C2;SA,S9,SQ,SK;S7,S5,D8,S2;C3,C10,CK,C6;D9,D7,DK,D10;D5,DJ,D6,D2;S3,C5,S8,C7;C9,DQ,CQ,DA;D4,SJ,H5,D3;H3,HA,H8,H6;H4,HK,CA,H9;HQ,S10,H2,H7;HJ,S4,H10,S6"
1569982515,3,11,2,"C3,CQ,C4,C2;S2,S3,S9,S7;SK,S6,S4,S10;DQ,D2,D9,D4;SQ,S8,DJ,D6;DK,D5,D8,DA;C5,C10,C6,SJ;D3,C7,D10,S5;D7,H2,HQ,H5;H10,H7,H8,H6;SA,H9,HA,C9;CJ,H3,H4,CK;C8,HJ,HK,CA"
1569982515,3,4,2,"C9,CK,C8,C2;D10,DQ,D2,D7;S9,S6,S8,S4;S7,S3,SK,S5;CJ,CA,CQ,C5;D3,D4,D5,D9;SJ,S10,DA,DK;SQ,S2,C3,D6;SA,C6,DJ,C10;C4,HJ,H2,C7;HQ,H3,H5,H9;H10,H8,HA,H6;H4,H7,HK,D8"
