1569982523,3,0,0,"C5,CK,C8,C2;D9,DA,D3,D10;S8,S5,S7,SA;DJ,D6,DQ,D4;S6,S3,SQ,SJ;C7,CJ,C10,CA;S9,D5,S10,SK;CQ,C4,C3,S4;S2,D2,DK,D7;H9,HQ,H5,H10;H2,HA,HJ,H8;C9,H4,HK,D8;C6,H7,H3,H6"
1569982523,3,12,0,"CQ,CK,C5,C2;SQ,S4,S8,S6;DJ,DK,DQ,D5;D7,D8,C7,D9;SK,S7,C3,CJ;S10,S5,CA,C6;S2,S3,C8,D6;SJ,C10,SA,C9;D4,D10,HQ,DA;H2,H4,H8,H7;H10,H9,H3,H6;HA,HJ,D2,HK;H5,D3,S9,C4"
1569982523,3,0,0,"C8,C7,C9,C2;S3,SJ,S8,SK;D6,DQ,D4,D9;SA,S2,S4,SQ;DJ,DK,D5,D2;D8,C10,D3,D7;DA,S9,S7,C3;D10,CJ,CQ,CK;C6,H2,C4,CA;C5,HA,H5,H3;S6,H4,HK,HQ;S10,H9,H10,H8;S5,HJ,H7,H6"
1569982523,3,6,0,"CJ,C6,C4,C2;S6,S10,S4,S3;DK,D5,D8,D9;D3,D10,D6,SQ;C5,C8,C9,CA;S9,S5,CQ,D2;S2,SK,DA,DJ;D7,C3,DQ,SJ;CK,HJ,H9,C7;H5,H10,HA,H4;H8,S7,H2,HQ;C10,S8,SA,H3;H6,D4,H7,HK"
1569982523,3,17,0,"C4,C3,C8,C2;CA,C6,C9,CQ;D3,D10,D9,D4;S4,S3,S8,SJ;CJ,C5,S2,C10;D6,DJ,DQ,D2;S6,S9,SQ,SA;SK,DK,D8,S10;S7,CK,D7,S5;HA,HQ,H3,H7;H9,HJ,H8,H5;H4,H6,H2,H10;DA,D5,C7,HK"
1569982523,3,0,0,"C4,C7,C5,C2;SJ,S5,SA,S4;CJ,C8,C6,CQ;SQ,S2,SK,S8;S3,D8,D3,S7;DQ,D10,D2,DA;S10,D5,D9,S6;D6,DK,CA,D7;C3,C10,CK,H4;HJ,H10,H5,HA;HQ,H8,H3,S9;HK,H7,H6,DJ;H2,C9,H9,D4"
1569982523,3,0,0,"C6,CJ,C9,C2;D9,DA,D2,D3;SA,S10,S5,S8;S6,S4,S9,S2;C5,C10,CQ,C8;CK,C3,C7,S7;CA,D4,C4,D10;DK,D5,HA,DQ;H7,H10,HJ,H9;HK,H2,H3,H5;H4,SQ,HQ,SJ;DJ,D6,H6,SK;D8,D7,H8,S3"
1569982523,3,12,0,"C10,C8,C7,C2;S3,S6,S4,S8;DA,DQ,D9,DJ;D6,DK,D2,CA;CQ,C4,CJ,C9;CK,D5,D10,C5;C3,S9,D8,SA;C6,SQ,D3,S2;SJ,HA,S10,SK;H3,H7,HJ,H9;D7,H6,H8,HQ;D4,HK,H10,H4;S7,H2,S5,H5"
1569982523,3,0,0,"C7,C6,C5,C2;S7,SA,SQ,S10;D6,D5,D4,DQ;S3,S8,S5,SK;CQ,CJ,C4,CA;S2,S9,DJ,S6;C10,C3,D10,C9;SJ,D8,S4,D2;D7,D9,DA,DK;HA,HQ,H6,H9;H8,H10,H4,HK;D3,H2,H5,H7;CK,C8,HJ,H3"
1569982523,3,15,0,"C8,C5,C4,C2;SQ,S2,S5,SJ;D10,DJ,D9,DA;DK,D5,D4,D2;S4,DQ,D3,S8;S6,C3,D7,SK;S7,S9,CA,C9;CJ,CQ,C6,CK;S3,C10,D8,S10;SA,HK,H7,D6;H4,H2,H5,HQ;H8,H3,H10,H6;HA,HJ,C7,H9"
1569982523,3,0,0,"C6,C7,CA,C2;D8,DA,D3,DK;C10,CJ,C3,C5;S9,S3,SQ,SJ;S10,S5,D4,S7;CQ,C4,D7,CK;D5,DJ,D2,D10;S4,SK,DQ,S8;S6,D9,C8,S2;H8,H6,H10,H9;H3,H7,HA,HK;H5,H4,HQ,HJ;H2,D6,SA,C9"
1569982523,3,17,0,"CK,CQ,C6,C2;S10,SA,S8,S3;D3,DQ,DA,D9;C9,DK,C7,C8;S6,S4,S9,S5;D2,D10,D7,D8;S7,SK,SJ,S2;SQ,C4,C10,D4;CJ,C3,C5,D6;H4,H7,HK,H10;HJ,HA,H6,H2;H5,HQ,H3,H8;D5,H9,CA,DJ"
1569982523,3,0,0,"CJ,C9,CK,C2;D7,D5,D9,D10;S5,S9,S3,S6;SK,SQ,S10,S2;C3,C4,C7,C8;CA,C6,D3,C5;D2,DK,DJ,D6;S7,D4,DQ,S8;SA,HK,S4,H5;HA,H8,H9,H4;HJ,H6,H7,H2;H10,H3,SJ,D8;C10,HQ,CQ,DA"
1569982523,3,0,0,"CK,C7,C6,C2;D8,D10,DQ,D6;SQ,S2,S5,S9;DJ,DA,C5,D9;C10,C3,CA,C9;SJ,SA,S8,SK;D5,CJ,D3,D2;S7,S4,D7,S10;CQ,C4,H6,DK;H3,H9,H4,H5;HJ,HA,H7,H2;HK,H8,H10,D4;HQ,S3,C8,S6"
1569982523,3,0,0,"C7,C8,CQ,C2;S9,S6,SJ,S8;DK,DQ,D7,D8;D5,D9,D10,D4;S10,S3,SK,S5;D6,C6,C9,DA;S7,DJ,S2,SA;C4,D2,CA,C5;CJ,CK,H9,H8;HQ,HK,H3,HJ;H2,H7,S4,HA;H10,C10,D3,H4;H6,C3,SQ,H5"
