1569982539,3,6,3,"C4,C10,CQ,C2;DA,DJ,D7,D9;S4,SJ,S6,S5;S7,S8,SA,S2;D8,D10,DK,D2;SQ,SK,D3,S3;CJ,C8,CA,HA;H6,HJ,HK,H7;DQ,D4,S10,HQ;D6,CK,C5,H5;H3,H2,S9,H8;H9,H4,C6,D5;H10,C7,C9,C3"
1569982539,3,3,3,"C7,CQ,C3,C2;C6,C9,C8,CA;D6,DA,DK,D9;D10,D2,C10,DJ;S2,S9,S8,S7;CJ,C5,CK,S6;S5,S10,SQ,SA;D8,SJ,D4,D3;SK,H2,D5,C4;H8,HJ,H4,H5;H10,S3,HK,HQ;H3,S4,HA,H6;H9,D7,H7,DQ"
1569982539,3,22,3,"CJ,C3,C9,C2;SQ,S8,SA,S5;C7,C6,C4,C5;C10,CA,CK,D9;CQ,D5,D4,S4;C8,S9,SK,S2;DK,D10,DJ,D6;DA,D7,S3,SJ;D2,D3,S7,H7;HJ,H6,H4,H5;HA,H2,HQ,HK;H3,H10,DQ,H9;S10,S6,D8,H8"
1569982539,3,19,3,"C7,C6,CA,C2;D4,D6,DQ,D10;S3,S6,S7,S5;D7,D8,D5,DA;S4,SK,SA,C3;C5,C10,C4,CJ;SJ,C8,S10,DK;D9,C9,D3,DJ;D2,CQ,S2,H2;H4,HK,H9,H8;HA,S8,HQ,H7;H3,SQ,H5,H6;CK,S9,H10,HJ"
1569982539,3,0,3,"C8,C10,C4,C2;S4,SA,S10,S3;SQ,S8,S2,SJ;S5,S9,S7,SK;DK,D6,D7,DJ;DA,D10,D4,D5;CJ,C3,DQ,C6;D2,C9,D3,CK;D9,CQ,D8,C7;H5,HA,H7,H9;H10,H8,HQ,H6;H4,H2,C5,HJ;S6,H3,HK,CA"
1569982539,3,8,3,"C4,C7,C10,C2;CK,C5,C9,D7;C3,C6,S9,DA;SJ,S2,S3,DK;SA,S6,S7,D6;S10,S8,S4,D2;SQ,SK,S5,C8;DQ,D4,D9,CA;D5,DJ,D10,CJ;H6,HA,H9,H4;HQ,H10,H7,HJ;H3,D8,H5,HK;CQ,D3,H2,H8"
1569982539,3,0,3,"C7,CA,C6,C2;SK,SA,S2,S6;D10,D3,S8,DQ;S4,S5,S10,SQ;D2,D9,C8,D5;DA,CK,D7,D6;C9,C5,C4,CQ;SJ,S7,S9,S3;DK,DJ,CJ,D4;HJ,H10,H9,H5;H6,H2,H8,HA;D8,H4,C3,H3;HQ,HK,C10,H7"
1569982539,3,5,3,"CJ,CK,C10,C2;SA,S5,S10,S8;C4,C3,CQ,C7;S9,SJ,SK,S2;DA,D2,D9,D6;D5,D4,DJ,DK;D3,C9,D7,D8;S4,SQ,S6,C5;CA,C6,DQ,S3;H4,HK,H8,HA;HQ,H7,HJ,H9;H3,H10,H2,H5;C8,D10,S7,H6"
1569982539,3,12,3,"C9,CJ,C8,C2;D8,DK,D6,D9;S4,SK,S3,S6;C6,CK,C7,C5;SJ,SQ,S7,S5;S9,D5,S2,S10;D3,D4,D7,D10;C4,D2,DJ,C3;SA,DA,H6,S8;H4,HJ,HQ,H10;H8,H5,H3,DQ;HA,H2,H7,CA;HK,H9,CQ,C10"
1569982539,3,16,3,"C10,C5,C9,C2;SA,S2,S7,SK;SQ,S10,S8,D6;S3,S6,CQ,DQ;D10,D9,DK,D2;CK,C7,C8,CJ;CA,C4,C3,C6;HJ,H6,H8,H2;HQ,H10,H4,H7;H3,D5,S4,HA;S9,D7,SJ,H9;D8,DA,HK,D3;D4,S5,H5,DJ"
1569982539,3,0,3,"C5,C10,CK,C2;D4,D6,DJ,D7;SJ,S5,S3,S7;DQ,D8,D10,D2;D5,DA,CJ,D9;C7,CA,C3,C9;S2,SA,S6,S4;C8,SQ,C6,C4;CQ,D3,S8,S10;HK,H8,H4,H3;H10,H7,H9,HA;SK,H2,HJ,H5;S9,HQ,DK,H6"
1569982539,3,23,3,"C10,C9,C3,C2;S5,S8,S6,S3;D9,DA,D3,DJ;S7,SJ,SA,S9;DK,D7,D4,D6;C7,CK,CJ,C6;D2,D10,CQ,SK;CA,C8,C4,S2;C5,D8,S10,S4;H7,HK,H9,HA;H8,DQ,H3,H4;HJ,SQ,H10,H6;H5,D5,H2,HQ"
