1569982547,3,0,3,"CK,C5,C3,C2;S2,SA,S8,SK;C7,C10,CQ,C9;D2,DJ,D9,D5;S3,CA,SQ,SJ;DK,D7,DA,D6;C4,C6,S4,S5;D10,D4,D3,S6;S10,S7,H7,H10;H8,H6,H9,H3;H4,HA,C8,H5;S9,CJ,DQ,HK;HQ,D8,HJ,H2"
1569982547,3,16,3,"C7,C10,CA,C2;S2,S10,S3,SK;D9,D7,D3,D10;D5,DA,D2,DJ;C3,DK,C5,C4;S7,SA,D4,S9;SJ,S4,D8,C9;S5,S6,C8,C6;SQ,CK,CQ,S8;CJ,H2,H4,H7;H3,H9,H6,HA;H5,H8,HK,HQ;DQ,D6,H10,HJ"
1569982547,3,20,3,"C3,CQ,C6,C2;D5,D10,D3,D4;S7,S3,SK,S4;D6,D7,C8,DK;S9,S10,SA,CK;D9,DA,H9,SJ;H6,H10,H8,SQ;H5,H2,S6,CJ;HA,H7,D8,S2;HJ,HK,DQ,S8;C10,C7,CA,H3;S5,C4,D2,H4;C5,DJ,C9,HQ"
1569982547,3,14,3,"CJ,CA,C10,C2;D4,D2,D10,D8;S9,S7,SJ,S4;S3,SK,S5,S6;DK,D7,DJ,C4;DQ,D3,D9,CQ;DA,C7,S10,CK;D6,C6,SQ,C9;SA,S2,HK,C3;H7,H2,H10,H5;H3,H6,H4,HJ;H9,HQ,D5,HA;H8,C5,C8,S8"
1569982547,3,0,3,"C7,C9,CJ,C2;SQ,S10,SJ,S4;D6,D5,DA,D4;S3,C3,S8,S2;C5,D3,CK,C4;D7,D2,D8,DQ;S6,S7,C6,CQ;SA,S9,DK,CA;S5,SK,C10,C8;D9,H8,H2,D10;HA,H6,H4,HQ;HK,H9,H10,H5;DJ,HJ,H3,H7"
1569982547,3,4,3,"C4,C9,C6,C2;DK,D3,D2,D4;C8,C5,C10,CK;S5,S3,S6,SJ;D9,D7,DQ,SQ;S4,S7,S8,SA;S10,C3,D5,S2;CA,DA,C7,CQ;CJ,D8,D6,S9;H3,HK,H8,H5;H10,H2,H4,HQ;HJ,H7,H6,DJ;SK,HA,H9,D10"
1569982547,3,0,3,"C10,C9,C5,C2;S8,S6,S10,S4;D5,DA,D4,D6;C4,C7,C3,CA;D3,DK,DJ,DQ;S3,S2,SA,S9;CQ,C6,CK,S7;D10,D7,C8,D8;SJ,SQ,H6,SK;HJ,H8,H10,H7;HK,H5,H9,HQ;H3,CJ,HA,H4;H2,D9,D2,S5"
1569982547,3,4,3,"C3,C10,C9,C2;S4,S3,S7,SQ;D7,D8,D3,D6;D9,D10,CJ,DQ;C5,CA,S6,C4;D5,D2,C7,DK;CQ,C8,SK,C6;S5,DA,S2,SA;CK,DJ,SJ,S10;S9,D4,HK,S8;H9,HQ,H7,HJ;H3,HA,H4,H10;H5,H8,H2,H6"
1569982547,3,4,3,"CQ,C8,CK,C2;SQ,S2,SK,S9;D4,D5,DK,D6;C6,C5,C4,CA;SJ,S8,SA,S10;S6,C3,D7,S4;DA,D2,DQ,CJ;S5,C9,DJ,S7;S3,C10,H10,H7;H2,H3,H4,H8;H9,HA,HJ,HQ;D3,D10,H6,HK;D9,D8,C7,H5"
1569982547,3,13,3,"C6,C8,C3,C2;SJ,S8,S2,SQ;CQ,C10,CK,S3;DQ,D10,D4,DJ;S9,S5,S4,DK;S10,D5,S6,D2;D8,D9,DA,D6;C5,CA,C4,H2;H3,H8,H9,HQ;H5,HK,H4,H6;SK,S7,HJ,HA;D3,C7,H7,C9;D7,SA,H10,CJ"
1569982547,3,26,3,"CQ,C9,C5,C2;D6,D3,DK,D10;CJ,C6,C3,C4;DJ,D9,D2,DQ;S6,S7,S5,S10;SA,S4,S9,S3;C7,S8,C10,C8;SJ,HA,SQ,H9;HQ,H10,HJ,H6;D8,H7,D4,D5;SK,H2,H5,H8;S2,H3,CA,CK;DA,HK,D7,H4"
