1569982551,3,4,2,"C3,CK,CA,C2;C5,CQ,C6,S3;D7,DJ,DQ,D3;S2,S7,S9,S4;SJ,S6,S5,DA;C10,C9,C4,D4;C7,SK,S8,D8;S10,SA,D5,D10;HJ,HA,H7,H3;C8,H8,H9,H6;SQ,D9,H10,HQ;D6,D2,HK,DK;H5,CJ,H2,H4"
1569982551,3,20,2,"C4,C10,C6,C2;CA,C8,C5,CQ;C9,D3,D8,C7;DK,DA,D2,D7;S10,S9,S8,SQ;DJ,D10,D9,S7;C3,D6,CJ,SJ;S6,SA,SK,S4;D5,H4,HA,D4;H2,H7,H9,H6;H5,H3,S3,H8;CK,HJ,H10,S5;DQ,HQ,HK,S2"
1569982551,3,0,2,"C3,CJ,C9,C2;S8,S3,SJ,S7;D4,DA,D7,D2;S2,S4,S5,SA;S9,SQ,DJ,SK;C6,CK,CQ,C5;C4,CA,DK,C8;S10,D6,C7,S6;DQ,D5,H5,D8;H6,HQ,H2,H4;D9,H8,HK,D3;D10,HA,H10,C10;H3,H9,H7,HJ"
1569982551,3,4,2,"C10,C9,CA,C2;S6,CQ,S5,S10;D6,D5,D4,D3;SQ,DJ,S2,S3;SA,D7,SK,SJ;S4,C5,S9,C8;CJ,C3,C4,C6;S8,D9,S7,D2;C7,DK,DA,CK;D10,D8,HQ,DQ;H9,HA,HK,H3;H2,H4,HJ,H8;H7,H10,H6,H5"
1569982551,3,0,2,"CQ,CK,C5,C2;S3,SJ,S7,S5;S8,C8,SQ,SA;D10,DA,D2,D8;CA,C4,C10,D6;D3,D5,DQ,D9;D4,C7,D7,DJ;DK,C3,S9,S10;S4,H2,S2,HQ;HJ,H6,H9,H5;HK,H7,H4,HA;H8,CJ,C9,H3;H10,C6,SK,S6"
1569982551,3,2,2,"C5,CA,C4,C2;D9,D6,DA,D8;S4,S6,S9,SQ;D10,D7,DJ,C10;C9,CK,D3,C7;S2,S5,SJ,SK;S7,SA,S3,S8;C3,D5,CJ,C6;S10,D2,D4,DK;CQ,HA,H5,H8;H10,HQ,H7,HJ;HK,H3,H4,H6;H2,DQ,C8,H9"
1569982551,3,4,2,"C3,C10,C8,C2;S9,S8,S3,S5;D7,D8,D3,DK;S7,S10,SQ,S6;C7,CQ,C5,CK;D2,D4,D10,DQ;D9,D5,D6,DA;SJ,S4,CA,DJ;S2,SA,C4,C6;CJ,SK,H6,C9;HK,HA,H5,HQ;H8,H10,H7,H9;H3,HJ,H4,H2"
1569982551,3,15,2,"C4,CQ,C7,C2;DA,D6,DK,D8;S8,S10,SA,SK;CA,C8,C3,CK;D2,DQ,SQ,D3;DJ,CJ,D5,D10;D7,S7,S6,SJ;D4,S9,C5,S2;D9,S5,S4,C9;C10,C6,H2,HJ;HQ,H7,H3,HA;H4,H9,H5,H8;S3,H10,HK,H6"
1569982551,3,0,2,"CJ,CA,C7,C2;S3,S6,SQ,SJ;C6,CK,C9,C5;D6,D7,DJ,D3;C3,CQ,C8,S8;DQ,DK,D8,D9;SA,SK,S7,S4;S10,D4,S2,S5;S9,D2,D5,D10;C10,C4,HQ,HA;H8,H4,HJ,H3;H5,H9,H6,H10;DA,H7,H2,HK"
1569982551,3,13,2,"C7,CK,C3,C2;DQ,DK,DJ,D5;SQ,S4,S8,S6;S10,S2,S5,SA;C5,C4,D4,CA;S9,CJ,S3,D3;D9,D7,D2,DA;H6,HJ,HQ,H5;H8,CQ,D10,H10;H3,C8,SJ,H2;HA,C6,C10,HK;H4,D6,S7,H7;SK,C9,D8,H9"
1569982551,3,7,2,"C8,C9,CA,C2;DA,D3,D4,DJ;SQ,CK,S3,S4;SK,D2,S7,S10;C4,C6,C10,C5;S2,D6,S5,D5;DK,D10,D8,S9;S6,C7,C3,SA;CJ,D7,SJ,DQ;CQ,H7,H10,D9;HQ,H4,H3,H9;H8,H6,HK,HJ;HA,H2,H5,S8"
1569982551,3,9,2,"C4,CJ,CQ,C2;D7,D6,DJ,DQ;C3,C6,C10,C8;D10,D8,D3,D2;S2,S9,S8,S10;CA,C7,S4,SA;CK,D5,SQ,SK;S6,D9,SJ,S3;DK,HK,DA,S5;H3,H5,HJ,H4;HA,H8,C9,H9;H6,H10,C5,H2;H7,HQ,D4,S7"
