1569982553,3,7,0,"CQ,C7,CA,C2;S4,S10,S6,SJ;D10,DK,D4,D9;C8,C10,CJ,CK;S7,S5,S2,S3;S9,SQ,SA,SK;DA,D2,DJ,D5;DQ,D8,H2,HK;H8,HQ,H6,H5;H3,C5,H4,H10;HA,C9,C6,H9;HJ,C4,D6,D7;H7,C3,S8,D3"
1569982553,3,0,0,"CA,C7,CJ,C2;SQ,S3,S7,SK;CQ,C5,C3,C9;S5,S8,SJ,S9;S10,C4,S2,S4;C10,C8,D6,D8;C6,DK,DQ,D4;CK,D9,DJ,D2;H10,HJ,H8,HK;SA,H2,H5,H3;DA,D7,H4,D5;S6,HA,H7,HQ;D3,D10,H6,H9"
1569982553,3,14,0,"C6,C9,C4,C2;S5,S10,S8,SA;D5,DJ,D6,D10;D4,D9,D2,DK;S9,C3,SJ,S4;D3,CJ,DQ,D7;CK,C8,SK,C7;DA,C10,D8,S7;SQ,C5,S3,S6;CA,CQ,H7,S2;H2,H5,HJ,H8;H6,HA,H4,HQ;HK,H3,H10,H9"
1569982553,3,3,0,"C8,C6,C7,C2;D3,D4,D10,D8;S3,S6,S10,SK;S7,S5,S9,SJ;S2,C5,S8,S4;D9,D2,D5,D6;CQ,SQ,C4,CJ;CK,DA,C9,SA;DQ,DJ,C3,DK;H9,H8,H10,H4;HK,H3,HA,HJ;H2,H6,H7,C10;H5,D7,HQ,CA"
1569982553,3,2,0,"CA,C6,CQ,C2;SJ,S3,S8,S7;S4,SK,S5,S9;D4,D8,D2,DQ;SA,S6,C8,S2;SQ,S10,C7,D7;C3,C5,C10,C4;D3,HJ,D5,DJ;H2,H9,H10,H3;CJ,H8,CK,C9;H6,HA,D9,HK;H4,D6,H5,H7;D10,DA,DK,HQ"
1569982553,3,7,0,"C4,C3,CJ,C2;S6,S5,S8,S4;C10,C5,C7,C8;D8,D5,DK,DQ;D2,DJ,D4,D7;S10,S9,SQ,SK;SJ,C9,S2,S7;CQ,CA,C6,D9;D3,D6,DA,HK;H3,CK,HQ,H10;H4,D10,H9,HJ;H5,S3,HA,H2;H8,SA,H6,H7"
1569982553,3,0,0,"C3,C6,C10,C2;D2,D3,DQ,DA;C8,C4,C5,C9;DK,D8,D6,D10;S3,S5,SQ,S8;S9,SK,SA,S6;CK,SJ,CA,S10;D4,D7,C7,D9;DJ,D5,HK,H5;HQ,H4,CJ,HJ;H6,H8,CQ,H7;H10,S7,H9,H2;HA,S2,S4,H3"
1569982553,3,13,0,"C5,C7,C9,C2;SK,S10,SA,S2;DA,D8,DK,DJ;SJ,S8,SQ,S5;D3,D9,D10,D5;CQ,CA,CJ,C8;S4,C6,S7,S6;D2,S3,D7,D6;CK,HQ,C10,C4;H5,H4,H6,H9;H3,HK,H2,HA;H7,H10,D4,S9;H8,HJ,DQ,C3"
1569982553,3,16,0,"CA,C9,CK,C2;D3,DJ,D5,D8;S2,S6,S8,SA;D9,DA,D4,DQ;S5,SJ,SK,S10;C6,C8,CJ,S7;C10,C4,CQ,DK;C7,D6,C5,D2;D7,H7,H5,D10;H2,H9,HQ,H8;H10,HK,HA,SQ;H4,HJ,S3,H3;H6,C3,S9,S4"
1569982553,3,4,0,"C3,C6,C4,C2;SA,S2,S8,SJ;D8,D4,DJ,D2;CA,C7,C8,CJ;SQ,S7,S6,S4;DK,D10,D3,S3;C9,CQ,D6,C10;D9,D7,S10,S9;D5,DA,S5,H9;H8,HQ,H4,H3;H10,HK,DQ,H2;H7,HJ,SK,HA;H5,C5,CK,H6"
1569982553,3,22,0,"C10,C9,C3,C2;S4,S2,S6,SQ;DA,D6,DQ,D8;D2,D3,D5,D9;SK,S8,S5,SA;DJ,DK,C5,CJ;C7,CA,D4,C6;S10,C4,S9,S3;C8,D7,SJ,CQ;H10,H4,H9,H3;H5,H2,HK,HQ;HA,H6,H7,CK;D10,H8,HJ,S7"
