1569982565,3,13,1,"CJ,C8,C6,C2;D8,D6,D9,DQ;S4,S7,SA,S3;C5,C7,C10,CA;S5,S9,SJ,SQ;D10,D3,D4,DA;S6,S8,C9,D2;D5,D7,HK,H4;HQ,H9,H7,H6;H3,HA,HJ,DJ;SK,H8,C3,S10;CQ,H10,C4,CK;S2,H2,DK,H5"
1569982565,3,0,1,"C8,C3,C5,C2;D2,D4,D8,D9;SK,S9,S8,S2;CJ,C7,CA,DK;C10,C9,S4,CK;D6,D5,DQ,SQ;S6,S10,SA,SJ;H9,H2,H4,HQ;HJ,HA,H10,D7;HK,CQ,H8,D10;S5,S7,H5,DA;DJ,S3,H7,D3;C4,H3,H6,C6"
1569982565,3,9,1,"C9,CA,C10,C2;SK,S2,SQ,S7;CQ,CJ,C3,C4;S8,S4,S6,S3;C7,D4,C6,CK;DJ,D6,D9,D8;DQ,D5,DK,D7;S5,S10,S9,D10;SA,SJ,C5,D2;H10,HJ,HQ,HA;H8,H9,H4,H3;DA,H2,D3,H7;C8,HK,H6,H5"
1569982565,3,0,1,"C8,C4,C3,C2;S4,S10,SA,SK;D7,D10,D4,D3;CQ,CA,D8,C5;DK,D2,S7,DA;C10,CK,S8,C7;D5,D9,S9,S2;SJ,H4,S5,SQ;HJ,H6,HQ,H3;H10,H8,HA,H9;CJ,HK,DJ,C6;H7,H5,D6,S3;C9,H2,DQ,S6"
1569982565,3,0,1,"C8,C7,C5,C2;S10,S5,S6,S9;S3,SJ,DJ,SA;C3,C4,CA,CJ;DQ,D9,D6,D3;D7,C10,CK,D10;D5,S2,C6,DK;CQ,SQ,S8,D4;C9,H10,H6,H9;H4,H8,HJ,D8;H3,H2,H7,S7;H5,HQ,DA,S4;HA,D2,HK,SK"
1569982565,3,13,1,"C8,S2,C7,C2;S4,S9,S3,SA;D3,D4,D5,D10;S8,S10,C3,SQ;C6,DK,C4,CQ;S7,S5,DQ,CK;SK,DJ,D7,C5;SJ,D6,C9,D8;S6,HA,CJ,C10;HJ,H3,HK,H10;H9,H4,H7,H2;DA,H5,CA,D2;D9,H8,H6,HQ"
1569982565,3,4,1,"C8,CQ,CJ,C2;DQ,D9,DA,D2;C3,CA,CK,C5;S3,S10,S2,S6;D7,C9,D6,D10;S9,S4,S5,S8;D8,D3,C10,D4;D5,SA,SK,DJ;SJ,S7,C4,C7;SQ,H7,HJ,HQ;H3,H4,H8,HK;H6,H9,H10,H5;C6,H2,DK,HA"
1569982565,3,4,1,"C8,SA,C7,C2;SJ,S8,SK,S5;D7,DJ,DA,D8;S9,SQ,D9,S4;D4,D5,CJ,D2;S7,C10,C6,S3;S2,C5,CK,S10;CA,S6,D6,C9;C4,D10,DQ,CQ;H10,HJ,H2,HQ;H4,HA,HK,H3;H7,C3,H8,H9;H6,D3,H5,DK"
1569982565,3,20,1,"C3,CK,C8,C2;S9,S10,SQ,S5;C6,CQ,C9,CA;D8,DJ,D7,D9;CJ,C10,C5,D2;S8,S6,SJ,SK;DK,D4,D10,S2;DQ,D3,DA,H4;S7,S3,SA,H7;D6,HA,S4,H6;D5,H3,H9,HQ;H5,C7,HJ,H10;HK,C4,H2,H8"
1569982565,3,2,1,"C3,C7,C9,C2;S3,S8,S6,SJ;D10,D4,D5,DQ;S9,S5,S2,SQ;DK,DA,D3,D8;C8,CK,D7,CJ;CQ,C10,SK,CA;C5,C4,H7,C6;H5,HA,H2,H3;H10,S7,H8,HK;DJ,D2,HQ,S4;S10,SA,H6,H9;D6,H4,D9,HJ"
1569982565,3,26,1,"C9,CQ,C8,C2;D9,D3,D10,D5;S5,S3,S4,S7;C6,C3,C7,CJ;C10,DQ,DA,C5;DJ,D4,D6,D8;SK,S10,SQ,S2;C4,SA,DK,D2;SJ,H2,H8,S6;S9,H7,HA,H6;CA,H9,HJ,HQ;S8,H5,HK,H4;CK,H3,D7,H10"
