1569982581,3,2,2,"CQ,C4,C8,C2;D4,D6,D9,D7;SQ,S3,S8,CJ;S4,S10,S2,DQ;SA,SK,C6,S7;D2,D10,DJ,DK;C10,CA,C7,CK;D3,C5,D5,D8;S6,DA,SJ,H9;H10,H2,H6,H4;HA,H5,H7,H3;HK,C9,HQ,S9;H8,C3,HJ,S5"
1569982581,3,0,2,"CJ,C10,CA,C2;S9,SK,SA,S3;D2,DJ,D7,DK;SJ,C5,S6,C3;CQ,C7,C8,C6;S4,D9,SQ,DQ;S8,D6,S10,D10;S2,D4,D3,S5;CK,C9,C4,HK;H8,H7,H6,H4;HA,H2,HJ,H5;S7,D5,H10,H3;DA,H9,D8,HQ"
1569982581,3,2,2,"CJ,C3,CK,C2;SA,SK,S7,SQ;DJ,D5,D8,S9;D2,D10,DQ,S3;S6,S10,S8,S5;SJ,S2,D3,C8;S4,CA,D4,D6;H7,C10,HK,H8;H9,C5,H3,HJ;DA,D9,DK,H10;D7,H6,C4,H2;C6,HQ,C7,H4;C9,HA,CQ,H5"
1569982581,3,7,2,"C4,CJ,C5,C2;CQ,C7,C9,C10;C3,SA,SJ,CK;D9,D10,DJ,D6;S4,S2,S8,S9;S10,S7,S5,S3;CA,SK,C6,D3;C8,DK,DA,D8;SQ,D4,D5,S6;H9,HJ,HA,H5;H4,H10,H8,H3;D2,HQ,H2,D7;H6,DQ,HK,H7"
1569982581,3,20,2,"C6,C9,C8,C2;D10,D3,DQ,DK;S4,SA,S2,S5;D2,D9,D4,D8;C10,C5,CJ,C4;CQ,CA,CK,S3;S8,S7,S10,S9;D6,DJ,HA,DA;H4,H9,HJ,H6;D7,D5,S6,H8;H2,HQ,H5,H10;C3,HK,SQ,H3;C7,SK,SJ,H7"
1569982581,3,6,2,"C7,C5,CA,C2;C4,CJ,DQ,CQ;DJ,D4,DA,D9;D6,D3,D10,D7;S5,SJ,SQ,S10;SA,S8,S7,S3;SK,S4,S9,C10;S6,CK,S2,C9;H9,H2,HQ,HK;C3,H10,C8,H3;D2,H7,DK,H5;H4,HJ,D8,H8;HA,D5,C6,H6"
1569982581,3,5,2,"CK,C10,CA,C2;S6,SK,S7,S10;DQ,D7,D10,D6;DK,D5,D8,D3;C3,C5,C6,CJ;S4,S8,SA,S9;SJ,C9,S5,C8;D2,D9,CQ,C4;C7,H9,H8,H2;H6,HJ,HQ,H3;SQ,S3,H5,H4;S2,H10,D4,HA;DJ,HK,DA,H7"
1569982581,3,0,2,"C6,CJ,C5,C2;CK,CQ,C7,C9;D4,DK,D6,D7;SQ,S5,S6,SJ;S8,S7,SK,S2;DA,S10,DQ,D9;D2,S9,D5,D10;S3,S4,DJ,C8;H4,HA,H5,H10;HQ,H2,H7,HK;CA,C3,C4,H9;C10,H8,D3,H3;SA,H6,D8,HJ"
1569982581,3,0,2,"C8,C3,C6,C2;D6,D5,D3,D9;C9,CQ,CA,CJ;S8,S3,S2,S10;D8,D4,CK,DK;S4,S6,SQ,DJ;C7,S7,C5,SA;C4,D10,D7,SK;S5,SJ,H6,H7;H5,H3,H2,H9;H10,DA,H8,HK;H4,DQ,S9,HJ;HQ,D2,C10,HA"
1569982581,3,10,2,"CK,CQ,CJ,C2;D9,DQ,D7,D10;S6,SJ,S5,S10;D3,SK,DJ,DK;S8,S4,DA,S9;C6,C9,C5,CA;S3,D2,SQ,D6;C3,D5,C7,C8;HA,H7,H4,H8;HK,C4,H6,H2;H10,S2,HJ,H3;H5,S7,SA,HQ;H9,C10,D8,D4"
1569982581,3,5,2,"C7,CK,CJ,C2;S6,SK,S7,SA;D10,D9,D6,D8;DQ,DJ,D4,D7;S10,SQ,S9,S8;CA,C9,C4,C5;D2,C3,D5,S3;DK,DA,C6,SJ;C10,CQ,S4,S2;C8,D3,H4,S5;H9,H3,H2,HJ;HK,HA,H10,HQ;H6,H8,H7,H5"
