1569982586,3,13,0,"CJ,C3,C6,C2;C7,C10,C5,CQ;S8,SQ,S3,S2;D8,D2,DA,DJ;S10,S5,S6,SJ;D6,D10,C4,D5;DK,DQ,C9,D9;D4,D3,CK,SK;SA,S7,H4,S4;D7,HA,H10,C8;S9,H6,H2,H5;H7,H9,H3,HK;CA,H8,HQ,HJ"
1569982586,3,8,0,"CA,CQ,C10,C2;SA,S7,S10,S4;S6,SK,S9,SJ;D3,DQ,D5,DA;S3,D9,C3,S8;DJ,D7,D2,D4;D10,D6,DK,C4;C8,D8,C5,CJ;S2,H9,CK,SQ;H4,HK,H6,HA;H2,H7,H3,C9;HJ,H10,H8,C6;HQ,S5,H5,C7"
1569982586,3,3,0,"C10,CK,C3,C2;S9,S7,S4,S6;S3,D7,S2,SA;D4,D2,D3,D6;S8,CJ,SJ,SK;CA,CQ,C8,C9;DK,D10,D8,SQ;D9,DA,C6,HJ;HA,H10,H4,H2;HK,H5,H9,H6;D5,C7,H8,DJ;H3,S10,C4,HQ;H7,S5,C5,DQ"
1569982586,3,0,0,"CK,C9,C3,C2;S5,S4,SA,SQ;C7,CJ,CQ,C4;C6,C10,D7,D2;CA,C8,DA,S2;C5,SK,D10,D6;S7,S9,SJ,S10;D5,DK,S3,D8;DJ,D9,HK,H9;H4,H8,HA,H7;H6,DQ,H3,H2;HJ,D3,D4,H5;HQ,S8,S6,H10"
1569982586,3,4,0,"C3,C9,C8,C2;S4,S8,SK,SQ;C10,CJ,C6,D10;SA,SJ,S3,S9;D2,D6,DK,D5;C4,C5,C7,D9;DJ,D4,D7,DA;S10,S5,S6,S7;H2,H4,H10,HK;H9,HQ,HJ,H8;D8,DQ,H6,H5;CA,CQ,HA,CK;D3,H7,H3,S2"
1569982586,3,17,0,"C6,C8,C3,C2;SK,SQ,S2,S6;CA,CJ,CQ,C4;D3,D5,DQ,DJ;C9,DA,CK,C5;D10,D9,D7,D2;D8,SJ,D6,DK;C10,S3,S5,SA;C7,H4,HJ,S8;H6,H3,H8,H7;H9,HQ,H5,H2;S10,S4,S7,H10;S9,D4,HK,HA"
1569982586,3,0,0,"C5,CA,C10,C2;S9,S3,S10,S5;S2,S7,S4,S8;D9,D8,DQ,D4;C7,C8,C9,C3;DJ,D2,D7,DA;SA,CK,S6,SK;C6,D6,CQ,CJ;H6,H10,H7,H9;HJ,SJ,H8,H4;H2,C4,HA,HK;H5,D5,D3,HQ;H3,DK,SQ,D10"
1569982586,3,13,0,"C4,CQ,CA,C2;SK,S5,S7,SQ;SJ,S6,SA,S10;DK,DJ,D9,D5;D8,D3,D4,S3;C5,C6,C8,S8;D6,D2,DQ,S2;CK,C9,C3,H2;H3,H8,HJ,H4;C10,H7,C7,H10;CJ,S9,HA,H9;S4,DA,H6,HQ;D10,D7,H5,HK"
1569982586,3,8,0,"C7,C5,CK,C2;S10,S5,SK,SQ;DK,DQ,D5,D6;S4,D4,S2,S8;CJ,C3,C10,CA;DA,D10,D7,D9;D3,D2,C4,S3;DJ,S6,C6,SJ;D8,SA,H6,CQ;H4,HK,H5,H2;HA,H10,H9,HJ;H3,H7,H8,C8;HQ,S9,S7,C9"
1569982586,3,4,0,"C6,C3,C8,C2;C10,CA,SJ,CQ;DJ,D2,D6,D7;C7,SK,S8,C4;S9,S6,S2,S4;D4,D9,D5,DK;CJ,S3,S10,C9;D10,D8,DA,SA;SQ,S7,S5,C5;HA,H10,H5,HQ;H7,H3,H2,HJ;D3,DQ,H4,HK;H6,H8,CK,H9"
1569982586,3,8,0,"C10,CA,CQ,C2;S5,SK,S6,S9;C5,CJ,C9,CK;S10,S3,S4,D10;DQ,D3,D8,D6;S7,S8,C3,C4;D5,DA,D7,C6;D9,D4,H6,DJ;H2,HK,H4,H7;HQ,H5,H9,H10;H8,HJ,D2,SJ;HA,C8,S2,SA;H3,DK,SQ,C7"
1569982586,3,4,0,"C9,C7,C3,C2;DQ,D6,DJ,D3;D10,D7,DK,C8;S7,S8,SA,S6;S2,SK,D4,S3;C10,C6,CK,CJ;D9,C4,D5,D8;C5,S10,CQ,S5;DA,H2,D2,H8;H7,H5,HK,HJ;H3,HA,HQ,SQ;H9,H4,S4,CA;H6,H10,S9,SJ"
1569982586,3,1,0,"CK,C7,C10,C2;D9,D10,D3,D6;S2,S3,SA,SQ;D8,S10,DQ,D2;C8,CQ,C9,C5;S9,DJ,S8,SJ;D4,D5,DA,C4;SK,S4,D7,S5;S6,C3,H5,S7;H3,H7,HA,H4;H6,H9,HJ,HK;H8,DK,CA,H2;HQ,C6,CJ,H10"
