1569995008,3,0,2,"C10,C9,C4,C2;D10,DA,DK,D4;S4,S10,CJ,SQ;S2,S5,CK,S8;CA,C3,C5,S7;SK,D6,C8,S9;C6,CQ,C7,D9;DJ,D7,D2,S3;D5,D3,SJ,SA;H5,H6,H7,HA;HQ,H8,H3,H4;H2,D8,H9,HK;H10,DQ,S6,HJ"
1569995008,3,0,2,"C4,C6,CK,C2;S2,SK,S5,S8;D8,DK,DQ,D9;CQ,C8,CA,CJ;D4,D6,D3,D2;S6,C9,S10,S9;DA,C5,SJ,D10;S4,C10,S7,SQ;SA,H9,HQ,C3;C7,H10,HJ,H5;S3,H6,HA,H3;H8,DJ,H2,H7;D5,D7,HK,H4"
1569995008,3,19,2,"CA,C9,C10,C2;C7,CQ,C8,CJ;D9,DJ,DA,D3;S9,S8,SK,S10;C3,C6,C4,D6;S3,D10,S4,SA;S7,D5,S2,SJ;SQ,D4,DQ,S5;C5,H4,HA,DK;HJ,H2,H6,H3;H9,HK,H5,H7;H10,HQ,D7,CK;D2,H8,D8,S6"
1569995008,3,0,2,"C9,CK,C4,C2;D5,DJ,D2,DQ;C8,C6,C7,D3;D6,DK,C10,D4;S2,S7,SK,S9;C3,CJ,S4,C5;H10,HJ,H2,HA;S6,S3,H7,S8;H5,H3,HK,D8;H9,SJ,H4,SQ;H6,D9,CQ,SA;H8,S10,CA,D10;HQ,D7,DA,S5"
1569995008,3,0,2,"CQ,C5,C8,C2;S2,S7,S5,S8;D3,D10,D7,D4;DQ,D9,C9,C6;D6,D2,S10,S9;DK,DJ,SJ,S6;D5,C4,SQ,CK;D8,C10,CA,S3;SK,C7,SA,CJ;S4,HK,H2,H3;HJ,H7,H10,HA;H8,HQ,H5,H6;DA,H9,H4,C3"
1569995008,3,4,2,"C4,CQ,CA,C2;SJ,SA,S10,S5;D9,D4,DK,D3;DJ,DA,D8,D5;S2,S9,S6,S3;C6,CK,C10,C7;D10,D2,D6,S4;C9,CJ,SK,C5;S7,C3,S8,C8;D7,H7,SQ,H2;H9,HA,H10,H4;H6,H3,HK,HQ;H8,DQ,H5,HJ"
1569995008,3,1,2,"C3,C4,CK,C2;S7,SQ,SJ,S8;CJ,C9,C5,C6;D4,DJ,D5,D8;S3,S9,S5,S10;D3,D6,D10,D9;DK,DA,S6,D2;CA,SK,D7,C8;S4,H6,S2,SA;H3,H2,H9,H8;H7,H10,H5,H4;HA,HQ,HJ,CQ;HK,DQ,C7,C10"
1569995008,3,4,2,"C4,C8,CJ,C2;SQ,S7,S3,SJ;S2,SA,SK,S5;CA,C3,CQ,CK;C7,D7,D2,S6;C6,D6,D4,S4;C9,D3,D9,S8;C5,HA,DJ,D8;H2,H8,HQ,H4;DQ,HK,D10,DK;H5,H10,H9,C10;HJ,H7,S9,DA;H6,H3,D5,S10"
1569995008,3,13,2,"CA,C5,CJ,C2;S10,S3,SJ,S9;C8,C4,C9,CK;D4,SK,DK,D3;S4,SQ,D10,S5;C3,D6,D7,C10;C6,DQ,C7,D5;S2,S8,H8,S7;HA,H7,HJ,H10;DA,H6,DJ,H9;S6,H2,HK,H4;SA,H3,D2,HQ;D8,H5,D9,CQ"
1569995008,3,6,2,"CA,CQ,C6,C2;D9,D5,D2,D6;S8,S2,SA,S7;D7,C9,DQ,DA;SJ,S6,SQ,S4;S3,SK,S5,D8;DK,C8,CK,DJ;C3,C7,C10,C5;S9,D4,S10,C4;CJ,D3,H8,HA;H2,H5,H6,H7;H9,H10,H3,HQ;HJ,D10,H4,HK"
1569995008,3,4,2,"C5,C10,CQ,C2;D2,D7,D9,D6;C4,SK,C3,C8;C6,C9,S5,S7;S6,SA,S10,SQ;SJ,S8,DK,S4;DQ,D4,DJ,DA;S9,CK,S2,D10;S3,D5,D8,H3;H2,HA,H6,HK;H7,H10,H5,H8;H9,CA,HJ,H4;CJ,D3,C7,HQ"
1569995008,3,9,2,"CA,C7,C3,C2;D5,D3,DA,DQ;C8,C9,C10,C4;D8,D2,S7,D4;CK,CQ,C6,S8;D6,DK,S2,D7;SQ,S6,SJ,DJ;SK,S10,S9,D10;S4,H3,S5,C5;H4,HA,H10,H7;HQ,H8,HK,H6;HJ,H2,S3,H9;D9,CJ,SA,H5"
1569995008,3,0,2,"C6,CQ,C4,C2;C9,D10,CA,CJ;SQ,S4,S9,S7;D5,D8,D6,D4;C3,S6,C10,C7;D2,DA,D9,DK;CK,S5,C5,C8;DJ,D7,DQ,S10;S2,S3,SK,SA;D3,H4,HK,HQ;HA,H6,H3,H5;H2,S8,H10,HJ;H8,SJ,H9,H7"
