1570124960,3,13,3,"CJ,C9,C7,C2;S8,S9,S2,S6;S4,SA,S5,S7;D7,DJ,D5,D10;DK,D4,D6,D9;SQ,SJ,C10,S3;D2,CA,D8,DQ;C8,H5,C4,C6;C5,H3,CQ,CK;HQ,H10,H2,HA;H9,H8,H6,S10;HK,H4,C3,D3;H7,HJ,DA,SK"
1570124960,3,0,3,"C9,C5,C7,C2;S3,S10,SK,S7;D6,DJ,D4,DK;D9,DA,DQ,D5;CA,CQ,C4,C6;SJ,SQ,S2,S5;D2,D10,H10,D7;CK,C10,CJ,C3;D8,D3,HA,S9;H3,H8,H7,H2;H9,HQ,H5,H4;SA,HK,C8,S4;S6,H6,HJ,S8"
1570124960,3,1,3,"CQ,C8,CA,C2;D9,D7,D10,DK;S10,SK,SQ,S9;DA,D4,D3,DJ;S4,S5,S7,S3;CK,SJ,C4,CJ;DQ,D6,D5,HA;C7,SA,D2,C10;H4,H9,HQ,H3;H2,HJ,H6,H8;HK,H5,H7,H10;C6,D8,C9,S2;C3,C5,S6,S8"
1570124960,3,4,3,"CJ,C8,C10,C2;S10,S7,SA,S3;C7,C5,CA,C3;D9,D3,D5,DK;DA,D6,D2,D10;C6,C4,C9,CQ;S4,SK,S9,S5;D7,H2,SJ,DQ;HK,H7,H9,HQ;H6,HJ,HA,H10;H3,DJ,H5,S6;D4,H4,D8,S2;CK,H8,S8,SQ"
1570124960,3,14,3,"C6,C5,CA,C2;S4,S6,S9,S8;S10,SA,S3,S7;SQ,S2,S5,H9;D9,D8,D7,DA;H4,C8,H7,HQ;H8,HA,DJ,H2;CK,C3,C4,CJ;D2,D10,D5,D6;DK,D4,DQ,D3;HK,H5,SJ,H6;H3,HJ,SK,C7;CQ,H10,C9,C10"
1570124960,3,0,3,"CK,CA,C3,C2;S5,SQ,S4,S7;CJ,C8,C9,C4;SA,S10,S9,SK;S3,SJ,S2,S6;D2,DK,DA,D5;D3,D9,D4,D7;DJ,DQ,S8,H4;CQ,C7,C5,C6;D10,D8,HJ,HA;D6,C10,H7,H2;H9,H6,HQ,H10;HK,H3,H5,H8"
1570124960,3,5,3,"CA,C3,C9,C2;S8,S9,S7,S6;DJ,DA,D3,D6;S2,S4,SA,S10;C8,C5,CK,CQ;S5,SK,S3,SQ;D2,DK,D7,D5;D4,D10,H5,HA;HQ,H10,HJ,HK;H3,H7,H8,H9;SJ,C6,C7,H6;C10,CJ,DQ,H4;C4,H2,D8,D9"
1570124960,3,0,3,"CJ,CQ,C6,C2;C8,D8,C5,C7;D3,D9,D6,DQ;SJ,S10,S3,S5;D4,DA,DK,D7;S8,S6,S4,SA;C10,C4,CK,H5;HK,H6,H3,H4;H2,H10,HJ,H7;D10,D2,D5,H9;H8,HA,HQ,S9;CA,DJ,C9,SQ;C3,S2,SK,S7"
1570124960,3,1,3,"CQ,C9,DA,C2;CK,C5,D4,C3;DJ,D9,D2,D7;DQ,D8,D6,DK;S10,S4,S2,S8;C7,CJ,C8,HA;HJ,H8,HK,H9;H10,H6,H5,H7;H3,C10,H4,H2;D5,SJ,D3,HQ;SQ,S9,D10,SK;S7,S6,S5,C4;S3,SA,C6,CA"
1570124960,3,12,3,"CK,CA,C8,C2;DJ,D9,DK,D2;CQ,CJ,C5,C6;S8,S5,SJ,SQ;D5,H3,D7,D4;D6,D10,S7,S9;DQ,D3,C7,SA;S4,S6,H4,S3;C4,C3,HK,C10;H8,HQ,H9,H7;D8,H10,S10,HJ;DA,HA,SK,H2;C9,H5,S2,H6"
1570124960,3,5,3,"C9,CQ,C7,C2;C8,CA,CK,C4;CJ,C5,C10,S5;S7,S2,SA,S3;DQ,D2,D3,DJ;SJ,S10,S6,H2;S8,SK,H7,H6;DA,D7,D4,D8;DK,D5,D9,D6;SQ,S4,D10,HA;HJ,H10,HK,H5;C6,S9,C3,H8;H3,H9,HQ,H4"
1570124960,3,16,3,"C4,C10,CJ,C2;D8,DA,D5,D2;CQ,CK,HJ,C9;S3,SA,S5,S6;S7,S9,SQ,S8;HQ,H9,H4,HK;C3,DK,CA,D6;DJ,D4,D9,D3;S4,SJ,S10,S2;C6,C8,SK,DQ;C5,H2,H8,H6;C7,H7,D10,H5;H3,H10,HA,D7"
1570124960,3,18,3,"C8,CK,C3,C2;DK,D2,D5,DQ;CJ,CQ,C10,C6;S2,S10,SA,S5;S6,SQ,S9,SK;D9,D7,DJ,D4;S8,S4,H8,S7;H6,H2,HA,HQ;D6,D3,D8,DA;C9,C7,H3,H5;CA,C4,H7,SJ;HJ,C5,H9,HK;H10,S3,D10,H4"
1570124960,3,25,3,"C8,CJ,CQ,C2;D3,D9,D5,D2;D10,D4,DQ,DK;DA,DJ,D8,H10;D7,D6,C10,S10;S7,S6,SA,SQ;C3,CA,C9,CK;S2,S8,SJ,SK;H5,H2,HK,H7;C6,C5,H3,H8;C4,HJ,S5,HQ;C7,H4,H9,S3;S9,S4,HA,H6"
