1570124965,3,9,0,"C7,CK,C4,C2;SK,S7,SQ,S5;C6,C8,C3,CQ;C9,C10,C5,DQ;DA,D7,D4,D10;D9,D8,DJ,D3;D6,D5,DK,D2;S6,S2,S4,S10;HK,H5,S8,H7;H10,H8,SA,H2;HA,HQ,SJ,H4;H6,HJ,S3,H3;CJ,H9,CA,S9"
1570124965,3,11,0,"C5,C4,C9,C2;S4,S9,S8,S3;C8,C6,HA,C3;H3,HK,H7,H8;D2,DQ,D8,D7;CQ,CJ,SQ,C7;CA,D9,SA,CK;C10,S10,D4,H5;S5,SK,SJ,HJ;S7,H2,S2,H4;DK,D3,DJ,D6;S6,H9,D5,H6;DA,D10,H10,HQ"
1570124965,3,4,0,"CA,C6,C9,C2;D8,D6,DJ,DA;S6,S9,S3,SJ;S4,SK,S7,S5;D2,DK,D9,D10;C5,C4,C7,CJ;D3,D5,DQ,H4;HA,H9,H5,H7;HJ,H2,HQ,H8;CQ,D7,C10,CK;H3,S8,H10,S2;SQ,HK,C8,S10;SA,H6,C3,D4"
1570124965,3,12,0,"CJ,C10,CA,C2;S10,SQ,S5,S3;D4,DA,C5,D3;DK,D6,H3,D2;HA,H8,HK,HJ;H10,H4,H9,S7;S9,SK,H5,SA;S8,S4,CQ,C4;D7,D8,D5,C7;CK,DQ,C3,C8;SJ,S2,D9,C9;H7,DJ,H6,H2;HQ,S6,D10,C6"
1570124965,3,0,0,"CK,DQ,CA,C2;D6,D3,DJ,D4;SK,S10,S6,S5;CJ,C5,DA,C9;S8,S3,SQ,S7;SA,H5,S9,D10;HA,H7,H9,H6;HQ,H10,H3,C4;H4,H2,HK,C3;D5,D7,DK,D9;H8,HJ,SJ,D2;C7,CQ,D8,C10;C6,S4,S2,C8"
1570124965,3,5,0,"C10,C7,C3,C2;DQ,D7,D10,D3;S4,S10,SK,SJ;D6,DK,D5,D9;DJ,D4,D2,H9;S6,SQ,S9,S2;HJ,HQ,H10,H2;C4,S3,CK,C6;H4,CJ,HA,H8;HK,H3,S8,H6;DA,CA,S7,C5;D8,H7,S5,C8;H5,C9,SA,CQ"
1570124965,3,19,0,"CK,C9,C10,C2;SJ,S9,S5,SQ;C4,CQ,C5,CA;DA,D2,D3,D7;C7,CJ,H4,H5;HQ,H6,H8,H7;D5,D6,DK,DQ;S8,SK,S3,SA;D4,S2,D8,D10;H9,HA,H10,H3;HK,S7,HJ,H2;D9,DJ,S6,C8;C6,S10,S4,C3"
1570124965,3,3,0,"C10,CA,CQ,C2;D3,D6,DJ,DK;DA,D8,D2,DQ;C4,C6,C7,C5;S5,SK,SJ,S9;S7,S2,S8,S3;S4,SQ,S6,H6;HJ,H7,HA,H3;H2,H8,H10,D9;H4,H5,H9,CK;D10,D4,D7,D5;CJ,SA,C9,C8;HQ,S10,HK,C3"
1570124965,3,21,0,"CJ,C9,CK,C2;C4,C8,C6,C10;DQ,D9,D3,D8;S9,S6,SQ,S5;SA,SK,S2,S10;SJ,S3,S8,H4;HA,H9,H3,H5;HK,H7,HQ,CQ;D2,D6,DA,D7;H10,H2,H8,C7;H6,DJ,C3,CA;HJ,D4,S7,D5;D10,S4,DK,C5"
1570124965,3,15,0,"CJ,C7,C6,C2;C9,C4,C3,CA;S7,S8,H8,SJ;SA,S4,S2,D7;S9,S3,SQ,HA;D6,D5,D3,H9;D8,DA,DK,H4;H7,H2,C10,HK;C8,H10,C5,CQ;D9,H6,D10,D4;S6,S10,HJ,DQ;SK,S5,H3,DJ;D2,HQ,CK,H5"
1570124965,3,1,0,"C8,CK,C3,C2;S9,S10,SA,SK;C5,CA,C6,CJ;D6,DQ,D5,DK;SJ,S4,S2,S6;C4,S5,C7,C9;D3,D8,D7,D10;DA,D9,H4,D4;HJ,H6,H2,H9;D2,DJ,S3,H8;H10,HA,H3,H5;CQ,C10,HK,HQ;SQ,S8,S7,H7"
