1570124980,3,26,3,"C6,C9,C3,C2;D3,D4,D6,D5;SJ,S3,SK,S6;S10,S8,S7,S2;CA,C7,D2,C5;DJ,DK,DQ,DA;C10,C4,D10,H6;CK,CJ,SA,HK;SQ,H2,S4,S5;C8,HA,H7,D9;S9,H5,H8,HQ;HJ,H10,H4,H3;CQ,D8,H9,D7"
1570124980,3,17,3,"CQ,C8,C7,C2;D4,D2,D5,D6;S10,S8,SQ,S5;D9,D3,DQ,C3;CA,CK,C5,C4;D10,DJ,DK,HQ;DA,D8,D7,S4;C6,S9,H6,C9;CJ,SK,S6,H5;C10,SJ,S3,S2;S7,SA,H7,HK;H3,H9,H4,H10;H8,HJ,H2,HA"
1570124980,3,0,3,"C4,C5,C3,C2;C7,H5,C9,CQ;HA,H3,H10,HQ;DJ,D4,D3,D9;C8,CA,DA,CK;C10,S7,S10,CJ;S6,SJ,S3,S2;SA,S4,S8,SQ;D10,D7,D6,DQ;H4,H8,H2,HJ;D8,D5,D2,DK;S5,S9,H7,C6;SK,H6,H9,HK"
1570124980,3,0,3,"C5,C3,C4,C2;C9,S9,C10,CK;S8,SA,SK,SJ;C7,S3,S6,C8;S2,S10,S4,S7;CJ,C6,DA,H8;D7,DQ,DJ,DK;D4,D5,H5,D8;D3,D10,D9,H9;HA,H2,H10,H3;H7,HQ,H6,HJ;D6,D2,CQ,S5;H4,HK,SQ,CA"
1570124980,3,21,3,"C9,C5,C4,C2;C3,DA,CQ,C10;S6,S8,S3,S2;S9,S5,SA,SQ;D5,DK,D3,HK;H5,H8,H3,H6;SJ,SK,C6,S7;H10,DJ,HA,H7;CA,H2,D8,C7;D6,HQ,D7,S10;D10,D9,S4,H4;D4,D2,HJ,C8;DQ,CK,H9,CJ"
1570124980,3,0,3,"C9,C7,C8,C2;D7,DA,D4,D9;D5,D8,H3,D2;C3,C4,CK,C10;H5,HK,HJ,H4;S4,SJ,S10,S3;CJ,C6,S8,CA;SQ,H9,S7,S9;S2,H7,S5,SK;DJ,D6,HA,DQ;DK,D3,H8,HQ;H10,D10,H6,C5;H2,SA,S6,CQ"
1570124980,3,1,3,"C4,C8,C6,C2;D3,D9,D2,D7;D8,DK,D6,S10;S4,S8,S9,SA;SK,S7,S5,SQ;CK,C10,C5,CA;S6,C3,S3,S2;D10,C7,D4,D5;DA,H9,DQ,DJ;H7,H8,H5,HJ;CJ,H10,C9,CQ;H6,HK,HQ,H3;HA,SJ,H2,H4"
1570124980,3,13,3,"C3,C6,C4,C2;CJ,CQ,C10,CK;CA,C7,C9,D5;SQ,SA,S5,S9;S10,S4,S7,S8;D4,D3,DK,DJ;D6,D8,D2,D10;S3,S6,SK,S2;D7,D9,H8,H3;H10,H4,H7,HQ;C8,HK,C5,H6;HA,H9,HJ,H2;H5,DA,DQ,SJ"
1570124980,3,6,3,"CA,C5,C3,C2;DK,D9,D10,D4;SQ,S8,S10,S6;S3,S5,S9,S2;C10,H3,CK,C8;C6,C4,HJ,CQ;H7,HA,H5,H2;DA,H6,D8,DQ;H4,H8,D7,HK;S7,S4,SA,SK;HQ,SJ,CJ,D5;H10,D6,D2,C7;H9,DJ,D3,C9"
1570124980,3,8,3,"CK,CQ,C3,C2;C5,C10,C4,C6;S6,S8,S5,S4;S3,SA,SK,S7;SJ,SQ,HJ,S2;DA,D2,D8,D3;D6,D9,D10,DK;C7,H10,C9,C8;H4,H7,H9,HQ;D4,DJ,D5,DQ;HK,CA,HA,H2;H5,H3,D7,S10;H8,H6,CJ,S9"
1570124980,3,10,3,"C6,C9,C8,C2;CA,CJ,C4,C3;S8,S10,S2,SK;D10,D3,D4,DQ;DJ,D9,D6,S6;D8,DK,D5,S4;S7,SJ,SA,S9;CQ,C5,S3,C7;CK,C10,D2,H4;SQ,H2,H3,S5;H6,HJ,HQ,H5;DA,HA,H7,H9;D7,H10,H8,HK"
