1570124987,3,9,2,"C4,CA,C10,C2;S7,SA,S8,S10;S6,SQ,SJ,S4;C3,D10,C8,C7;C9,CQ,D4,CK;DQ,D8,D9,D7;DK,D5,D2,H10;DJ,H9,D3,HK;CJ,C6,H4,SK;D6,H2,S9,H7;C5,H3,S2,H6;DA,HJ,S5,S3;H5,HA,H8,HQ"
1570124987,3,7,2,"CK,C6,CQ,C2;C9,C5,C4,CA;D9,D6,D7,D8;S5,S4,SK,S10;C8,H3,CJ,SJ;SA,SQ,S7,S3;S8,S6,S9,D2;DJ,H10,D10,DA;HA,H9,H5,HJ;D5,D3,C3,C10;DK,D4,HK,HQ;H4,S2,H2,H8;C7,H6,DQ,H7"
1570124987,3,14,2,"CA,C6,C8,C2;S5,SA,S8,S7;D5,D10,D2,D3;C3,CJ,C9,CK;S4,SJ,S6,S10;S2,CQ,S3,SQ;DA,D8,D4,DK;S9,D7,D6,DJ;SK,D9,H9,DQ;H4,HA,H8,H3;HK,HJ,C5,H10;C7,HQ,C10,H2;C4,H6,H7,H5"
1570124987,3,0,2,"C3,C7,C8,C2;D6,D2,D4,D10;S7,SJ,S8,S2;D7,D3,DA,D8;S3,S6,SQ,SA;CQ,C4,CK,CJ;D5,CA,D9,S4;S5,S10,H3,S9;H2,H6,HJ,H7;H9,HQ,HK,HA;C9,C6,H5,C5;C10,H8,DK,DQ;H4,H10,DJ,SK"
1570124987,3,0,2,"C8,CJ,C9,C2;C7,C10,C3,C5;S4,S8,S10,SA;CK,C4,C6,S2;S9,S5,SK,S6;CQ,CA,S7,HK;SJ,SQ,H6,HQ;H10,H5,HJ,DQ;D2,D6,D5,DA;D4,DJ,D9,S3;D10,D8,H2,H3;H8,DK,H7,HA;H9,D3,D7,H4"
1570124987,3,17,2,"C10,CA,C6,C2;C9,CQ,CJ,C5;D10,D8,DQ,D7;S9,SQ,S5,S8;S2,S3,SK,SA;D2,D3,D9,DA;D6,DJ,D4,D5;C3,CK,C4,H4;H10,H2,HJ,H9;S10,S4,SJ,S7;H8,H7,H5,H3;DK,S6,C8,HQ;C7,HK,HA,H6"
1570124987,3,7,2,"CJ,CK,C5,C2;D3,D10,D6,DA;S6,S7,S8,SA;C10,C3,C4,C8;SQ,S4,S5,DJ;CQ,CA,C6,C9;S9,S3,SJ,H8;H3,HK,H10,H7;S2,SK,HQ,D2;H6,H5,H2,HJ;D8,D4,DQ,D7;S10,C7,HA,H4;H9,DK,D9,D5"
1570124987,3,4,2,"C4,C5,CA,C2;D10,DJ,DA,DQ;SK,S2,S5,S4;S3,SQ,S8,S9;S6,SA,S7,S10;D6,D4,D2,D7;CJ,HA,CQ,C7;D9,H3,D5,DK;H2,H7,HQ,H4;H6,H9,H10,H8;C8,C6,C3,D8;D3,HJ,C9,HK;C10,H5,CK,SJ"
1570124987,3,2,2,"CA,C5,C6,C2;D8,D5,D2,DQ;SQ,S10,S4,SK;C9,CK,C4,C8;DJ,D7,D3,D9;D4,C7,D6,DA;SA,S2,S6,S9;S8,H2,SJ,S5;HA,HK,HJ,H10;CQ,C3,H5,CJ;C10,S3,H6,D10;HQ,H7,H4,H9;H3,S7,H8,DK"
1570124987,3,16,2,"CA,C9,C7,C2;D5,DK,D10,D7;S6,S10,SK,S2;D2,D9,D4,D3;DQ,DJ,D8,H5;SQ,SJ,S7,SA;S3,S5,S8,S4;C5,CQ,C8,C4;C6,CJ,CK,DA;C10,C3,H3,HK;H4,H7,HJ,H6;H8,H9,H2,D6;H10,HQ,HA,S9"
1570124987,3,0,2,"CQ,C5,C4,C2;SA,SJ,SK,S9;S10,S6,S7,S5;C10,CA,HQ,C6;DJ,H4,D10,D2;D5,H7,D8,D7;S8,S3,S4,CJ;SQ,D4,H3,CK;S2,DQ,C7,HJ;H9,H10,H6,H2;D3,D9,C9,DK;C3,HK,HA,C8;H8,DA,D6,H5"
1570124987,3,9,2,"CJ,C3,C6,C2;SA,S7,S4,SK;C8,CA,CK,C7;D10,DK,D6,D5;S2,S9,S3,S5;D3,D4,DJ,D8;DQ,DA,SQ,D9;C5,C4,C10,H9;H10,H8,H2,HQ;H6,H7,H3,H4;C9,H5,S10,HA;CQ,HK,HJ,D2;S6,S8,SJ,D7"
