1570125000,3,1,0,"CJ,C7,S7,C2;CA,CQ,DQ,C5;S4,SQ,S6,SA;S2,S10,H9,SJ;D9,D6,DJ,D7;S9,SK,S3,C4;D2,DK,D5,D3;C6,D8,CK,C8;H4,HK,H7,HJ;H10,HQ,D4,H5;H8,H3,S8,HA;C9,C10,H2,DA;S5,C3,H6,D10"
1570125000,3,5,0,"C10,CK,C5,C2;C9,CQ,H6,C8;D6,DA,DQ,D4;SK,S9,S5,SA;S6,SQ,S2,S8;S4,S7,S3,SJ;DK,H2,DJ,D8;H3,H10,H4,HQ;H5,D10,H7,HA;D9,C4,D3,CA;S10,H9,D2,H8;C3,CJ,D7,C6;C7,HJ,D5,HK"
1570125000,3,6,0,"C5,C6,CJ,C2;S9,SQ,S3,S6;CK,C4,SK,C9;DJ,D4,D5,DA;D3,DQ,D2,DK;S4,S5,CQ,S8;D7,H7,D9,D10;H9,H2,H10,HQ;H4,C10,H3,HA;S10,SA,C3,SJ;HJ,H8,CA,HK;D6,D8,S2,C7;H6,H5,S7,C8"
1570125000,3,17,0,"C3,CA,C7,C2;C10,CJ,C9,S4;C8,C5,CK,D10;DJ,D6,D3,HA;H7,H2,HK,H8;H10,H4,H9,HJ;SK,SQ,S10,S6;S8,HQ,S2,S9;H3,SA,H6,H5;D2,DK,S7,D8;CQ,C4,SJ,DQ;C6,D7,S3,D5;D9,DA,S5,D4"
1570125000,3,0,0,"C6,C3,CA,C2;S8,S9,S4,S6;C9,CK,CQ,C5;D7,D10,DJ,D4;DA,DQ,D8,D5;SK,SQ,S5,S10;C7,H3,C8,C4;DK,D2,H9,D9;H7,HJ,H10,H4;H6,HK,HQ,HA;D3,SJ,D6,S3;CJ,SA,C10,H2;H8,H5,S7,S2"
1570125000,3,0,0,"C5,CJ,CQ,C2;D6,DK,D3,D7;D2,D9,DJ,DA;SA,S6,SQ,S10;SK,S3,S5,SJ;C7,C10,C8,C6;S4,S7,H8,S2;H2,H9,H6,H5;HQ,D8,H7,H4;S9,S8,D5,CK;CA,C3,HK,C4;H3,D4,H10,C9;HA,HJ,DQ,D10"
1570125000,3,17,0,"CK,C7,C9,C2;C4,C5,CQ,C3;DJ,D5,D9,DK;S10,S3,S2,S4;S8,S7,SK,CA;S6,S5,SA,DA;D4,D2,D10,D7;SJ,H9,S9,H2;HQ,H5,H7,H3;C10,H10,CJ,C8;H6,HK,HA,D3;H4,HJ,H8,D6;C6,D8,SQ,DQ"
1570125000,3,1,0,"C7,CK,C3,C2;C10,C6,C8,CQ;SK,S3,S2,D4;D8,D10,DQ,DJ;SA,SQ,S7,C5;SJ,S10,S8,D3;S4,S6,H7,H5;D6,H4,DK,D5;H9,H6,H3,H10;C4,CA,C9,S9;HJ,HA,HK,H2;D7,D2,DA,HQ;CJ,D9,H8,S5"
1570125000,3,4,0,"C3,C8,CQ,C2;D10,D8,DQ,D9;S9,S6,SK,S8;DK,DA,D5,D3;C9,C5,C7,C10;C4,C6,CJ,D2;SJ,S3,S2,S7;S10,S4,SA,S5;CA,CK,HA,SQ;H4,H7,H3,H9;D7,D6,DJ,H10;D4,HK,H5,HJ;H8,H6,H2,HQ"
1570125000,3,17,0,"C6,C8,C7,C2;S4,SQ,S3,S7;DQ,D2,D8,D9;DJ,DA,S10,DK;SA,S8,SK,S9;C9,C5,CQ,C4;CA,D6,CJ,C3;CK,S2,H5,D4;HK,HJ,H8,H6;H9,HQ,HA,H4;H7,H10,H3,D10;C10,SJ,S5,D3;S6,D5,H2,D7"
1570125000,3,2,0,"C6,C9,CK,C2;CQ,C7,D2,C4;D3,DJ,D4,DA;S8,SJ,S3,SQ;S10,S6,SA,S4;C5,S7,C8,CA;DQ,D7,D9,D8;D10,H7,DK,D6;S2,S9,C3,HQ;D5,S5,H2,C10;H5,H9,H8,H6;H3,H10,HJ,H4;HK,SK,CJ,HA"
1570125000,3,7,0,"C10,CA,CQ,C2;S7,S9,SK,S3;D9,DA,DJ,D3;C4,C3,C7,CJ;S4,SQ,S6,S2;S8,SA,D10,HA;D8,C6,D7,D2;C5,SJ,D4,CK;H4,HJ,H7,H9;DQ,D6,S10,D5;DK,H5,S5,H10;HQ,HK,H2,H6;C9,C8,H3,H8"
