1570125008,3,6,0,"C5,C7,C3,C2;DJ,D7,DA,D4;CK,CJ,C9,C10;CQ,D9,D10,C4;D2,SK,D6,DQ;C8,DK,S3,S6;C6,HA,H10,D5;S7,S9,SQ,SJ;SA,S2,S8,S10;S4,S5,H5,HK;H2,H4,H9,H8;HJ,CA,H6,H7;D3,D8,H3,HQ"
1570125008,3,0,0,"CK,CJ,C8,C2;DK,D4,HJ,D3;D5,D2,C7,D9;CA,D7,H10,C9;SK,S3,SA,S10;H4,H9,H5,H6;C5,HA,DA,C6;C10,CQ,S8,D8;S6,S9,S7,S5;C4,C3,S2,HQ;SQ,S4,H7,D10;H8,SJ,D6,H2;H3,DQ,DJ,HK"
1570125008,3,0,0,"CQ,C4,CK,C2;SK,S2,SA,S7;C10,C3,CJ,CA;D3,D2,D6,DK;D8,DA,D9,D5;D7,C5,D10,H3;S8,S10,SQ,S4;H5,HJ,H10,H4;SJ,C8,S9,S5;D4,H6,DQ,C6;DJ,S3,C7,HK;H9,HQ,H2,H7;S6,H8,C9,HA"
1570125008,3,16,0,"C7,C8,CK,C2;S2,S6,S5,SK;S4,SA,S8,S10;C3,D8,C10,C9;S9,H6,S7,SJ;D5,DK,DJ,D2;D10,D7,D6,D4;D9,DQ,HA,DA;S3,SQ,H2,H4;CJ,HQ,C4,C6;H10,H3,H5,HK;CA,CQ,H7,C5;H9,D3,H8,HJ"
1570125008,3,5,0,"CA,C4,C3,C2;CK,D7,C9,C6;DJ,D10,D8,DA;SA,S3,S7,S6;CJ,D4,HQ,C8;D6,DQ,D9,D5;S2,SK,SQ,S10;S4,S5,H7,SJ;H3,H8,HK,H9;S8,C7,HA,H10;S9,C5,CQ,D3;D2,C10,DK,HJ;H2,H4,H6,H5"
1570125008,3,6,0,"S6,C10,CK,C2;DJ,D3,DA,D8;S2,S3,S10,S7;D2,D5,D10,D4;CA,CQ,SK,C8;D7,C5,D9,D6;S8,SA,SJ,SQ;C6,HQ,C9,C3;H7,H3,H6,HK;CJ,C4,DQ,S4;C7,H10,H4,S9;H2,H8,H5,HJ;DK,HA,H9,S5"
1570125008,3,13,0,"C3,C7,CK,C2;SQ,SJ,DK,SA;S9,S6,S7,D4;S3,S10,S2,D7;S4,SK,S5,C6;D5,D10,D8,DQ;DA,H6,D2,D9;C5,CQ,CJ,CA;H8,H9,H7,HK;C8,C9,DJ,C10;H3,H5,HQ,HJ;C4,H2,D6,D3;S8,HA,H4,H10"
1570125008,3,2,0,"C4,CK,C10,C2;SA,S8,SJ,S9;S5,S6,H4,S7;D8,D5,D9,D6;HQ,H5,H3,H8;S10,S4,S3,D4;DJ,DK,D7,D10;HJ,H10,HK,H7;C8,CQ,C3,CJ;DA,D3,SK,C9;DQ,D2,H2,C5;H6,SQ,S2,H9;C7,HA,C6,CA"
1570125008,3,15,0,"C3,CK,C9,C2;S6,S7,S8,S5;C6,CA,CQ,H4;HK,H7,H2,HA;C8,H10,C7,D10;SQ,SA,S4,S3;DQ,D5,D9,D4;DK,D3,D6,D7;DA,H6,D8,D2;H3,CJ,H9,H8;C4,HQ,C5,H5;SK,S9,HJ,S10;C10,SJ,DJ,S2"
1570125008,3,5,0,"C7,C8,C4,C2;DJ,D9,D10,D5;C3,CK,H9,CJ;H8,H4,H2,H5;S3,S8,S2,S4;D4,DA,D8,D2;C5,C10,SA,CQ;D3,HA,D6,DQ;S7,SQ,S5,S9;HK,HQ,H6,H10;D7,SJ,C9,DK;H3,CA,HJ,H7;S10,SK,S6,C6"
1570125008,3,0,0,"C9,C6,C7,C2;SJ,S10,S2,S6;D7,D10,D3,D8;SA,S9,SQ,S8;DA,D6,SK,D9;CK,C10,C4,C3;C5,C8,CQ,CJ;S7,HK,S3,H4;S4,H8,H6,DJ;H5,HJ,H9,H2;H7,H10,CA,H3;HA,HQ,D5,D4;S5,D2,DQ,DK"
1570125008,3,16,0,"C8,C5,C3,C2;C9,C6,C7,CA;D8,DJ,HQ,DQ;CJ,C4,CQ,C10;SQ,S8,S3,SJ;S10,SA,S2,S7;S9,D2,SK,S4;H9,HJ,H4,H5;DA,D5,D3,H3;D10,DK,D7,CK;HA,D6,H8,H2;S6,S5,D4,H7;H6,D9,HK,H10"
1570125008,3,6,0,"CK,C10,CJ,C2;C4,C9,CA,C8;SK,S6,S8,S9;S7,S4,S3,S10;D7,D4,D5,D2;D6,D3,DQ,D8;SJ,SQ,S2,C7;DA,H4,HA,D9;HQ,H9,H3,HK;C5,H5,C6,CQ;H10,H6,H8,HJ;SA,S5,C3,D10;H7,H2,DK,DJ"
1570125008,3,8,0,"C6,CK,CA,C2;D7,DJ,D3,D6;S2,SQ,S9,S7;DK,D10,DA,D5;DQ,D8,D9,D2;C4,C8,C5,CJ;S10,SA,SK,S8;S5,S4,S3,SJ;C10,CQ,C9,HK;C3,D4,C7,H10;H3,H6,H5,H2;S6,H7,HJ,HQ;H4,H8,HA,H9"
1570125008,3,1,0,"C8,C7,CJ,C2;S10,S2,SQ,S7;S5,SK,S3,S6;D5,D2,DJ,D8;S8,SJ,S9,D7;S4,CA,HJ,CQ;DQ,D10,DK,D6;C10,HA,C5,C9;H7,H5,H3,H4;C3,H6,C6,DA;C4,CK,SA,H9;D9,H8,HQ,D3;D4,HK,H2,H10"
