1570125017,3,0,3,"CA,C7,CQ,C2;CK,C5,C6,C9;S10,S7,SQ,S4;D6,D8,DQ,D7;S9,S2,S6,S5;CJ,C8,D10,C4;D4,D5,H5,D2;DJ,D9,H9,DA;H3,H7,HK,H10;C10,S3,C3,H2;SJ,S8,SK,H4;HJ,H6,HA,HQ;SA,DK,D3,H8"
1570125017,3,19,3,"C3,CQ,CJ,C2;C7,C10,C6,C5;D7,D6,DK,D2;C8,H10,C4,CK;C9,HQ,D8,CA;S9,S6,SJ,D3;HJ,S4,H2,H5;SQ,SA,S7,H8;DA,D9,D10,DQ;D5,DJ,D4,H3;S8,S3,H7,H4;S10,SK,H6,H9;S5,S2,HA,HK"
1570125017,3,0,3,"C4,CK,C3,C2;C9,C5,C10,C8;CA,DA,CJ,C7;S9,SK,SQ,S4;DQ,D9,DJ,D4;D6,D2,D8,D3;S6,H2,S5,S3;H9,HA,H5,H8;H6,H7,H10,H4;SJ,H3,S7,S8;SA,HK,S2,S10;HQ,HJ,CQ,D10;D5,D7,C6,DK"
1570125017,3,2,3,"C8,CK,C6,C2;D8,D3,D2,D9;C5,CJ,C4,CA;DJ,D7,D4,DK;SA,SQ,S8,SJ;D10,D5,H7,DA;S3,SK,S10,S7;C3,C9,CQ,C7;C10,HQ,S5,H4;H3,H10,H8,HA;S2,S9,S6,S4;H2,HK,H9,HJ;H5,D6,DQ,H6"
1570125017,3,0,3,"CA,D4,C9,C2;S4,S6,S10,SA;D9,D6,DA,D10;S8,D8,SK,S2;DK,DQ,D7,D2;C10,S3,C6,C7;DJ,D5,D3,H9;HQ,H2,H8,HJ;C3,H10,C5,C4;H5,H4,HA,SQ;HK,H6,C8,S9;H7,H3,S5,S7;SJ,CJ,CQ,CK"
1570125017,3,19,3,"C9,C3,C8,C2;D5,DK,DQ,D2;C7,SK,C4,C10;CA,CQ,D4,S7;C5,H4,S4,S3;CK,H10,H6,S10;HQ,SQ,H9,H7;CJ,DJ,D6,DA;C6,D8,D7,S2;HJ,S5,H3,HK;HA,H2,S8,S9;D10,H8,D3,D9;S6,H5,SA,SJ"
1570125017,3,5,3,"C9,CJ,C8,C2;D3,DQ,DK,D5;C7,HQ,C5,C3;H10,H5,H9,H2;CQ,S3,CK,C4;D2,D6,D8,H4;DJ,HJ,S10,SA;D4,SK,H8,S9;D10,S7,S8,HA;D7,C10,CA,H3;SQ,S6,S5,S2;D9,SJ,H7,H6;DA,S4,C6,HK"
1570125017,3,0,3,"C8,C6,C7,C2;CA,CJ,D6,CQ;C9,C10,S3,CK;D10,DJ,H4,D5;H7,HA,H5,H9;S10,S8,S7,S6;SQ,S4,S2,SA;H6,H10,H2,H3;C3,HJ,C5,C4;D7,D2,D8,S5;DK,D3,DQ,SJ;D9,D4,S9,HK;DA,H8,SK,HQ"
1570125017,3,7,3,"C4,CK,CQ,C2;C7,CA,C9,C8;SQ,SJ,S4,S8;S10,SA,SK,S3;C5,D8,HK,H7;H3,H8,H6,H5;S2,C10,H10,S7;DJ,D2,DA,D7;D9,D6,S6,DK;D4,C3,D3,H2;H9,HA,D10,H4;CJ,HJ,DQ,S5;C6,HQ,D5,S9"
1570125017,3,20,3,"C3,CA,C6,C2;CJ,C9,C7,CQ;D4,D5,D7,DJ;D3,D6,DA,D10;S4,S10,S3,S8;SQ,SA,S7,S9;C8,C5,S6,H2;SJ,S2,S5,H6;DK,D2,DQ,HK;C10,C4,H4,H8;CK,H3,SK,H10;D8,HA,D9,H7;H9,H5,HQ,HJ"
1570125017,3,1,3,"C6,C3,CA,C2;C4,C8,S3,CJ;D3,D6,D4,DK;SJ,S2,SA,S6;D8,DQ,D9,D7;S8,SQ,S5,HK;C7,HQ,C5,C9;HJ,H10,HA,H7;H8,H5,H2,H3;S7,D10,D5,S4;S9,H4,C10,S10;SK,H6,DA,CK;DJ,H9,CQ,D2"
1570125017,3,14,3,"C3,CQ,C9,C2;D7,DA,D2,D8;D9,DQ,D4,D3;CJ,CA,C7,C5;DJ,D6,D5,SK;S10,S6,SA,S7;S2,S4,SJ,SQ;S5,S8,C6,C8;DK,S3,D10,HA;C4,CK,C10,H3;H4,H8,H9,H5;H6,H2,HK,HQ;HJ,H7,S9,H10"
1570125017,3,13,3,"C4,CK,C9,C2;CA,C3,C5,H8;S8,S7,SK,SA;D8,D6,D5,D10;DJ,D3,DQ,DA;D7,H9,DK,D4;D9,D2,C10,S6;S5,SQ,C8,S3;H10,H5,H6,HJ;CJ,SJ,H4,C6;CQ,S9,S4,C7;S10,H7,S2,HQ;HA,H3,H2,HK"
1570125017,3,9,3,"C9,C7,C5,C2;CA,C3,C4,CQ;SQ,S5,S2,S8;S4,SJ,D9,S3;C6,C10,C8,CJ;D5,DK,DJ,D10;DA,D4,D7,D2;DQ,H7,D8,D3;SA,S7,S9,H8;H5,H4,H2,HK;HJ,HQ,H9,S6;HA,H6,H10,CK;D6,H3,SK,S10"
