1571050927,3,17,3,"CJ,C6,C9,C2;SA,SQ,S3,S9;C5,CA,C10,CK;D2,D6,D9,D10;C8,C4,H10,C3;HA,H3,H8,H9;S6,S4,S5,S10;HQ,H7,H2,H4;DK,D5,HK,D4;SK,S2,S8,S7;CQ,DQ,DA,D8;SJ,H6,HJ,H5;D3,DJ,C7,D7"
1571050927,3,20,3,"C10,C6,C3,C2;C7,C5,C4,CQ;D3,D6,D10,D9;SQ,S5,S4,SJ;S3,S7,SK,S9;DA,DK,D2,D5;C8,C9,HJ,CA;HA,D7,D8,D4;H6,H3,H8,HK;H10,S10,DJ,DQ;H7,H2,H4,H5;SA,CJ,H9,CK;S6,S2,HQ,S8"
1571050927,3,5,3,"C9,C7,C4,C2;D2,DJ,D3,D6;SK,S9,D7,S10;C3,C5,C6,CA;S7,C8,S8,SA;SJ,HA,S3,S6;H2,H3,H4,H8;DQ,SQ,S5,S4;S2,DK,D8,DA;CQ,HK,CK,C10;HQ,HJ,H6,H5;H10,D5,H7,D10;CJ,D4,H9,D9"
1571050927,3,6,3,"C4,CJ,CK,C2;D3,D6,D2,D5;C7,C8,C10,CQ;DA,D9,S2,D4;SK,CA,C3,C6;S3,S10,SQ,S9;S8,D7,H2,S4;H7,H4,SJ,HJ;H3,HQ,S5,H5;SA,H9,H8,H10;DK,C9,D8,C5;HA,H6,S6,HK;DQ,DJ,S7,D10"
1571050927,3,5,3,"C5,C7,CK,C2;S8,S9,S2,S10;D6,DK,D9,D5;CJ,C9,CQ,C8;S5,S4,SK,SA;D4,HA,D3,D8;DQ,SJ,D2,D7;H4,H2,H9,H3;H7,CA,H6,H5;C3,DJ,SQ,C6;C10,S3,D10,C4;HJ,HQ,H10,S6;H8,HK,DA,S7"
1571050927,3,0,3,"CA,C7,CQ,C2;S7,SK,S4,S5;D10,D9,D8,DK;C4,C6,C8,C10;D4,D6,D5,D2;S9,S2,S6,SJ;H5,D3,DQ,DA;H2,H3,H6,HA;H10,HJ,H7,HQ;CJ,H9,H8,H4;S3,SA,C3,S8;C9,SQ,DJ,S10;CK,HK,C5,D7"
1571050927,3,0,3,"S8,C10,C9,C2;S2,S9,S7,SA;C4,C7,SQ,C8;D7,D10,D6,D2;DA,C6,CQ,CK;H6,DJ,D4,D3;HA,HQ,H10,HK;S10,H4,CJ,C5;S3,D9,S4,S5;SK,D8,SJ,S6;H9,HJ,DQ,D5;CA,H2,H5,DK;C3,H7,H3,H8"
1571050927,3,0,3,"CQ,CA,C5,C2;S4,C7,D2,C9;D10,C4,S10,CJ;SK,S9,S7,S2;HK,SQ,SA,S6;D8,DQ,DK,DJ;H7,HQ,H6,H5;D6,H4,H10,HA;D4,D9,D5,D7;HJ,SJ,C10,S8;C3,H2,C6,H3;C8,S5,CK,H9;D3,S3,DA,H8"
1571050927,3,4,3,"C4,CJ,C9,C2;C7,C3,C5,C10;SA,D3,S4,S6;D7,D2,DJ,DQ;DA,SQ,S9,SK;D5,D6,D8,DK;C8,S10,SJ,S2;HA,HK,C6,CK;D4,HJ,CA,D10;H4,H8,H2,H3;H6,HQ,S3,H10;S7,H7,S8,CQ;D9,H5,S5,H9"
1571050927,3,1,3,"C8,C4,CA,C2;D2,D5,D6,D7;S7,SQ,SA,S4;S2,S3,S5,S10;SK,DK,HK,S6;D3,D9,S9,D10;H6,HQ,H9,H5;C9,DQ,CK,DA;H7,H2,H3,H8;H4,HA,C5,D4;S8,CQ,CJ,D8;SJ,C7,H10,DJ;C3,C6,C10,HJ"
1571050927,3,10,3,"C7,C3,C5,C2;CJ,C10,C4,CK;D10,D8,D7,D4;DJ,H6,DK,D9;SQ,S4,SJ,SA;D3,D2,HA,DQ;HJ,H9,HQ,H5;S10,S3,CQ,SK;H4,S9,C8,CA;S6,S7,DA,S2;H7,H10,D5,H2;S5,H3,HK,S8;D6,H8,C9,C6"
1571050927,3,20,3,"CJ,CK,CA,C2;S8,S2,SJ,S10;C3,C7,C9,C5;D8,D4,D6,DJ;D5,DQ,D2,D3;S4,SA,S5,S3;DA,S6,D7,D9;C10,HA,DK,D10;H2,H8,H7,H9;HJ,H5,H4,H3;C4,CQ,H10,C6;H6,HK,SQ,HQ;S7,C8,S9,SK"
1571050927,3,5,3,"C7,CQ,CA,C2;D4,D9,D8,DK;S7,S6,S9,SK;C10,D2,D7,DJ;C6,C4,C8,C3;H7,SQ,SJ,S5;HA,H9,H4,HK;DQ,D3,H6,DA;S4,CK,C9,C5;H10,H8,H3,H2;S2,HQ,D10,SA;S8,HJ,D6,S10;S3,H5,D5,CJ"
