1571050978,3,1,1,"C5,C10,C6,C2;S8,S3,S5,S6;CJ,CA,C4,C9;DQ,D5,D3,D9;SQ,S2,S4,S7;CQ,CK,H8,C7;H5,H4,H2,H3;SK,DJ,SA,S10;D8,D10,D6,D2;HA,HK,H6,H7;D7,HQ,C8,DA;H10,H9,C3,DK;SJ,S9,HJ,D4"
1571050978,3,13,1,"C7,C6,C10,C2;D4,D8,D5,D2;D9,DA,DQ,DJ;SA,SQ,SJ,S5;CQ,C4,C9,CK;C5,CA,C8,CJ;HK,D3,D6,D10;H3,SK,D7,DK;S4,S6,S9,S8;HA,H5,H7,H6;H9,H8,HQ,H10;HJ,H2,C3,H4;S2,S3,S10,S7"
1571050978,3,17,1,"C6,C7,C8,C2;C5,CA,C10,CK;DQ,D4,D6,D10;D2,D8,D7,D3;DA,DJ,H9,DK;S2,S5,SQ,S9;H5,H6,H3,H4;SJ,S3,S6,SK;S8,S10,S7,SA;HJ,HK,H10,H8;D9,H2,HQ,H7;C3,C4,HA,CQ;C9,D5,S4,CJ"
1571050978,3,16,1,"C6,CA,CK,C2;D5,D4,DQ,D2;DJ,D9,D6,D10;SK,S4,SA,S9;C4,C9,C8,C3;CJ,HK,SQ,C10;HJ,H2,HQ,H5;DA,D8,SJ,D3;H7,S7,D7,DK;S5,H8,S6,S10;H6,H10,C7,C5;S8,H3,H4,HA;CQ,S2,H9,S3"
1571050978,3,0,1,"CK,C7,C8,C2;CQ,C4,C6,C9;D10,DK,D3,DQ;S3,SJ,SQ,S10;D9,H10,C5,CA;SA,S9,S8,S4;D8,D2,DJ,D6;H7,H4,H5,H8;HJ,H2,H9,H3;S7,S5,SK,S6;HQ,H6,HK,HA;DA,D7,C3,CJ;D4,D5,S2,C10"
1571050978,3,0,1,"C7,C8,CA,C2;C5,C4,C6,C9;SQ,S8,S9,S7;SK,CQ,C3,C10;D7,D9,D8,D3;D2,HA,DQ,D10;H3,H8,H10,HJ;HK,S10,S5,S6;S4,SA,CJ,SJ;H6,D4,H4,H2;D6,S3,H7,CK;DJ,H9,HQ,DK;D5,S2,H5,DA"
1571050978,3,0,1,"CK,C10,CQ,C2;S5,SA,SK,S9;C7,C3,D9,C4;C6,DQ,C8,C9;C5,H10,S4,CJ;D8,D3,D10,DJ;H3,H4,H5,H6;D2,SQ,DA,D6;DK,H2,S6,D4;HQ,S3,HK,D5;H8,HJ,HA,CA;H7,S2,H9,D7;S7,S8,S10,SJ"
1571050978,3,14,1,"CQ,C4,C9,C2;C8,CJ,C5,CK;CA,S5,C6,C10;S6,SK,SJ,S4;S10,S3,S2,S9;D3,D9,HK,D2;S8,DJ,DQ,D6;H10,HA,H5,H3;C7,SA,D10,SQ;D5,HQ,D4,D7;D8,H8,DA,DK;H6,H2,C3,HJ;H7,H4,S7,H9"
1571050978,3,11,1,"CJ,C10,C6,C2;SK,S7,D7,SQ;D2,D4,DJ,DA;S8,CQ,S10,S5;S2,SJ,H4,S3;HJ,H7,H10,H8;C8,C5,C4,C7;D6,H9,HK,H5;D3,D9,H3,D8;CK,DQ,CA,D10;S9,C3,H2,C9;HQ,DK,H6,HA;S6,SA,S4,D5"
1571050978,3,0,1,"C9,CA,CQ,C2;D7,D6,D9,D10;C5,C6,C7,C3;C4,SK,H10,CK;DK,D5,D8,DA;H8,HA,H3,H4;S7,S4,S8,SA;DQ,D2,CJ,DJ;D4,S9,S5,S3;S6,S10,H7,S2;H9,H2,SJ,H6;C8,SQ,H5,HK;C10,D3,HQ,HJ"
1571050978,3,0,1,"CA,CK,C6,C2;D6,D7,H2,D8;S8,SA,S2,S5;CQ,D4,DA,D2;S3,SJ,SK,S9;H6,HJ,H7,H8;H3,D9,DK,D5;H9,H4,HA,HQ;C4,H5,S6,D10;C3,HK,C10,D3;SQ,C9,C5,DQ;S7,CJ,S10,DJ;H10,C7,S4,C8"
1571050978,3,22,1,"C3,C7,C10,C2;SK,SQ,SA,S4;D3,D7,DQ,DJ;CA,C8,CJ,C6;D10,H3,D8,D6;SJ,DK,DA,D2;HJ,H9,D5,D9;S10,HK,S2,S5;H5,HA,S6,S9;HQ,C5,S7,S3;H2,H7,H8,H10;CK,C9,H4,H6;S8,C4,D4,CQ"
1571050978,3,0,1,"C10,C7,S7,C2;CQ,S6,C4,C3;SK,S3,S8,S9;S10,SJ,S2,S5;CA,H3,C6,C5;H2,HA,H4,H7;H9,S4,SA,SQ;DJ,D2,D5,D10;H6,H10,HJ,HQ;D7,C8,DA,C9;DQ,DK,D8,CK;D6,D9,H5,CJ;D3,H8,D4,HK"
1571050978,3,5,1,"C8,C5,C6,C2;D3,CK,DJ,D9;D10,D7,S9,DQ;D6,DA,H2,D4;S5,S3,SA,S7;C3,SK,C10,CQ;H3,H4,H6,HJ;C4,S4,D5,CJ;C9,H8,SQ,C7;HK,SJ,H10,S2;H7,D8,HA,D2;HQ,S8,CA,S6;H9,S10,H5,DK"
