1571051140,3,4,1,"C3,C6,CA,C2;S7,S4,HJ,S10;CK,CJ,C5,C4;S2,DK,S6,S5;SJ,SQ,HA,S3;D2,D3,D4,D7;H8,H5,H9,H2;DQ,H3,H7,H4;C10,D6,C8,CQ;D10,DA,DJ,H10;SA,D5,D8,HQ;SK,S8,C7,H6;S9,D9,C9,HK"
1571051140,3,6,1,"C5,C8,CJ,C2;H5,S7,S5,SQ;CA,C10,C7,C3;H4,H2,DA,H3;SK,S3,H7,S6;DQ,DK,D4,D7;HJ,HA,S10,H8;C4,CQ,S8,CK;D2,D3,H6,D8;D6,H10,HK,HQ;DJ,SA,C9,S4;D9,S2,D10,D5;SJ,H9,S9,C6"
1571051140,3,13,1,"CK,CJ,C6,C2;S4,S7,S8,SQ;S10,SJ,SA,S6;D2,D7,DA,D4;H6,D5,D3,D8;H10,HQ,HK,HA;H4,H3,H5,H8;CA,DQ,DK,D10;D6,S5,C9,DJ;D9,C4,C5,C3;S2,S9,H7,S3;C10,C7,H2,H9;C8,CQ,HJ,SK"
1571051140,3,17,1,"C7,CJ,C8,C2;D6,D7,DJ,D4;S9,S10,SK,SJ;CQ,HQ,C4,C6;S4,S7,D10,S8;SQ,DQ,CK,S2;H4,H7,H3,H2;S5,SA,D2,C3;H5,H10,H8,H6;HJ,C10,S6,S3;D9,D5,C5,D8;HK,CA,DK,D3;H9,HA,C9,DA"
1571051140,3,4,1,"S4,C9,CK,C2;C7,DJ,C8,C5;S7,SQ,S8,S9;D10,D6,D5,D4;DA,CQ,DK,D2;S3,S10,S5,SA;SJ,CA,SK,S6;HJ,CJ,D3,D7;H7,H6,H4,H8;HA,H5,H3,H2;HK,D9,H10,HQ;C4,D8,C3,C6;DQ,S2,C10,H9"
1571051140,3,4,1,"CQ,C6,C10,C2;DK,D2,D9,D6;S2,S5,S9,SQ;SJ,SA,DA,S6;D5,S3,S7,S4;C8,D3,H3,SK;H6,H8,H2,H7;HJ,DJ,D7,D10;D4,H9,HA,S10;CA,C7,HQ,C5;DQ,H5,C4,H10;C9,HK,C3,CJ;D8,H4,S8,CK"
1571051140,3,20,1,"C10,C9,C3,C2;C4,CK,CJ,CQ;SJ,S5,S8,S7;D10,DJ,D5,D6;SA,S10,C8,S2;H8,CA,S3,C5;H9,C7,H10,HQ;HA,SQ,SK,H3;DA,S9,H7,S4;D7,H6,D4,D3;HK,D8,D9,H4;C6,D2,H5,HJ;DQ,DK,H2,S6"
1571051140,3,3,1,"C8,CK,CQ,C2;D10,DA,C7,D7;S3,S9,SJ,SK;SA,S8,HA,S7;HQ,H5,H3,H10;D4,DK,S4,DJ;C9,S2,C3,CA;C10,D9,D3,D2;H7,CJ,H4,H2;SQ,H6,HK,H9;DQ,C4,S6,D5;C6,HJ,D6,H8;S5,D8,C5,S10"
1571051140,3,4,1,"C7,C5,C9,C2;S10,S6,S4,SA;CA,C4,C10,CJ;D9,D2,D4,D6;D5,S9,D10,DA;S2,S5,H8,S7;D8,SJ,D7,DJ;H6,H3,H7,H2;C6,SK,CK,C8;HQ,SQ,S3,S8;D3,HA,C3,DQ;H10,HJ,H4,H5;CQ,HK,DK,H9"
1571051140,3,14,1,"C5,C9,CQ,C2;D6,DQ,DK,DA;C3,C10,H3,CJ;C7,H10,HJ,H8;H5,S10,H9,HK;H2,S9,DJ,H7;H6,C6,D10,H4;SA,S4,SK,S6;D9,D7,D3,D4;SJ,C8,CA,C4;S2,S5,HQ,SQ;D5,D2,CK,D8;S7,S8,HA,S3"
1571051140,3,10,1,"CA,CK,C5,C2;DQ,D3,DA,D2;SJ,S10,S9,S4;SQ,S2,S7,SA;D9,DK,D5,D6;D10,C6,D4,D8;C8,C9,CQ,C7;C4,S6,C10,CJ;SK,HA,S5,S8;HK,HQ,H2,D7;H4,H7,H6,H9;H5,HJ,C3,DJ;H10,S3,H3,H8"
1571051140,3,0,1,"C9,C4,C7,C2;C10,S4,CA,C5;S3,S8,S10,SQ;C6,C8,D8,CQ;CK,DK,D4,C3;D3,DJ,D9,D6;DA,D5,SK,DQ;HA,S5,S6,S9;H9,S2,HQ,SA;H6,S7,H10,SJ;D7,H5,D2,D10;HK,H3,H2,H7;H8,H4,CJ,HJ"
1571051140,3,6,1,"CA,C5,C10,C2;D4,DA,DQ,D2;CQ,C6,C9,CK;D3,S8,D7,D9;D10,H10,H9,DK;D5,HK,C7,DJ;S9,SK,C8,D6;S5,S6,S4,SJ;H8,HA,H4,H2;S7,S10,S3,SQ;C3,H5,H7,HQ;CJ,SA,H6,S2;H3,HJ,C4,D8"
