1571051213,3,21,0,"C3,CK,C7,C2;D6,D7,D10,DA;C8,C10,C5,CA;HA,C6,CQ,CJ;H2,H8,HK,H4;DQ,D2,D3,DK;H6,HJ,H9,H7;S9,C4,S7,C9;D9,DJ,D5,D4;S5,S4,S10,S2;SQ,HQ,SK,S8;SJ,SA,H5,H10;S6,S3,D8,H3"
1571051213,3,0,0,"C5,C7,C4,C2;S9,SA,S8,S2;C8,CA,C3,C6;DJ,D2,DK,DQ;D8,DA,D3,D4;HJ,S10,S6,S5;S3,SQ,CQ,S7;H6,H10,H7,H4;CJ,H5,C10,CK;HQ,D9,D5,D6;D10,H9,H3,HK;D7,SJ,HA,H2;SK,C9,S4,H8"
1571051213,3,4,0,"C6,C10,CA,C2;S3,S5,SK,S8;SQ,SJ,S2,S10;CQ,C7,CJ,C4;D9,DQ,D2,D5;S9,S6,C5,S7;DK,D3,DA,D7;H3,S4,D8,SA;H8,HA,H10,H9;DJ,HJ,D6,D10;H5,H4,H7,HK;H2,C3,C8,HQ;H6,C9,CK,D4"
1571051213,3,0,0,"CA,C7,C9,C2;S4,S5,S7,SJ;C4,CK,C10,C3;D10,D6,DQ,DK;SQ,S10,S2,S8;D2,D3,D5,DA;C8,CJ,C6,C5;S9,S6,HK,S3;HA,H7,H8,SK;D8,HQ,H3,DJ;D7,CQ,H9,D9;HJ,H2,H5,H6;H10,H4,SA,D4"
1571051213,3,5,0,"C5,C6,S4,C2;SQ,S5,S10,SK;D10,C4,CK,C3;S9,S6,SA,S8;CA,C10,H8,C7;D9,D5,D2,DA;D6,D4,D7,DK;H9,H2,H10,HQ;H3,H4,HK,H7;H6,HA,D8,DJ;SJ,CQ,D3,C8;S7,H5,HJ,CJ;S3,DQ,S2,C9"
1571051213,3,2,0,"C6,C3,CJ,C2;S8,S5,SA,S10;C10,CK,C9,CQ;SK,SQ,S3,S2;DQ,D4,D8,DJ;DA,D9,D3,D6;C7,SJ,C4,C5;D5,H8,HA,D7;D2,HK,CA,C8;HQ,HJ,S4,S6;H7,H9,H10,H5;H2,D10,H3,S9;H4,DK,H6,S7"
1571051213,3,21,0,"CK,CA,C7,C2;D7,DA,D8,D6;CQ,C10,C8,C4;SA,SJ,S2,S5;SK,S10,S8,S3;HJ,D10,D4,DJ;SQ,D5,DQ,D2;H5,H2,H3,H8;H10,H9,H6,HQ;H7,C6,D9,H4;C3,C5,HK,HA;C9,S7,S9,DK;S4,CJ,S6,D3"
1571051213,3,14,0,"C3,C7,C9,C2;SK,S8,S2,SQ;C6,C10,C8,C5;D3,D6,D4,D10;S5,SJ,S7,S9;D8,D7,D9,DQ;SA,H5,CJ,CQ;D5,DA,DK,D2;H7,H9,H10,H2;S10,HA,HJ,DJ;H8,HQ,H6,H4;CA,S6,S3,S4;HK,C4,CK,H3"
1571051213,3,20,0,"C10,C9,CA,C2;CJ,CK,C6,C7;DA,D9,D2,D3;S5,S10,S3,S9;D8,DJ,D5,D4;H10,HQ,D6,D10;H8,HK,H2,H4;DK,C8,C4,CQ;H6,S4,SA,S6;SK,HJ,H7,HA;SQ,H5,S2,C5;S8,D7,S7,C3;SJ,DQ,H3,H9"
1571051213,3,4,0,"C5,C4,C3,C2;D5,D3,D9,DA;C9,CK,CA,C10;H4,SK,S2,S6;H10,H9,HJ,H5;D10,D4,S7,D7;SQ,C8,C6,CJ;S8,S10,DK,S9;H3,H8,SA,H7;S5,HQ,H6,HK;D2,HA,D6,D8;S3,C7,DQ,S4;SJ,H2,CQ,DJ"
1571051213,3,0,0,"CQ,C9,C4,C2;D9,D10,DK,D4;C7,C10,C5,C6;S4,S5,S7,SQ;S3,S9,H7,S2;HQ,HK,H2,H9;S6,S8,D8,S10;HJ,SA,C8,SJ;CA,DA,C3,CJ;H6,H4,H10,H5;D7,H3,DJ,H8;D2,SK,DQ,CK;D3,HA,D5,D6"
1571051213,3,0,0,"C3,C6,CK,C2;DQ,D9,D6,D4;C8,C10,C5,C7;SJ,S2,S4,SQ;D8,D2,D5,DA;DJ,D7,S9,D3;CA,C4,S3,C9;SA,S10,S5,S7;H10,H5,HA,H3;HK,S6,SK,S8;H6,H9,D10,DK;CQ,H7,HQ,CJ;H2,HJ,H8,H4"
