1571051297,3,0,2,"CA,CJ,CQ,C2;DA,D9,D7,D8;DK,D4,D3,DQ;S6,S10,S4,SQ;S7,S8,S3,S2;CK,C7,C6,C4;DJ,H8,D10,D5;SK,HA,H6,S5;H7,H4,H5,H2;C10,HK,H9,H10;HJ,C5,C8,C9;S9,D2,C3,SA;H3,HQ,D6,SJ"
1571051297,3,11,2,"C5,CQ,C7,C2;S5,S7,S2,S10;DQ,C8,D10,D9;CK,DJ,DA,D5;SK,SQ,S6,SA;D8,CJ,DK,D7;CA,C6,C9,C4;HQ,S3,C10,C3;H10,H2,HK,H7;H9,SJ,S8,S4;D2,HA,H5,H8;D6,H6,D4,S9;H4,H3,D3,HJ"
1571051297,3,12,2,"CK,CA,CJ,C2;D3,D8,D5,D6;SQ,SA,S6,S4;S8,S5,S7,S10;DQ,SJ,D2,D10;C4,C3,HK,C9;HQ,H3,H8,H7;S2,H10,D7,C5;H5,D9,DA,C10;H9,DK,S3,C8;D4,H2,HJ,CQ;H4,S9,H6,C6;DJ,SK,HA,C7"
1571051297,3,6,2,"C9,C10,CK,C2;S6,SJ,S7,S9;D9,DJ,DK,D4;C7,CQ,SA,C8;SK,HA,SQ,S3;HQ,HK,S10,S8;S4,H4,H5,S2;D2,D5,D8,D6;H6,H8,H2,H3;H7,HJ,D7,H10;S5,CJ,C3,H9;DQ,C4,D10,D3;C5,C6,CA,DA"
1571051297,3,13,2,"C10,C4,CJ,C2;SJ,S7,S10,SQ;SA,S2,S6,S8;D8,D10,D6,D3;DA,DJ,D7,D4;S3,S5,D9,S9;CA,CQ,C7,C5;C8,C6,D2,C3;HQ,HA,S4,SK;H2,HJ,H6,HK;D5,H3,H7,H9;DK,H5,H8,H10;C9,DQ,H4,CK"
1571051297,3,1,2,"C3,C8,C10,C2;D3,D9,DK,DA;S4,S3,S10,S2;C5,CA,C4,CK;D6,D4,D5,D8;S9,SK,S5,S6;C7,CJ,CQ,C9;H2,S8,SJ,SA;H3,H8,HA,HQ;D10,H4,H10,SQ;HJ,H5,H6,HK;H9,C6,D7,S7;H7,D2,DQ,DJ"
1571051297,3,0,2,"CJ,C9,C4,C2;S5,S10,S4,S3;SA,S9,HJ,SQ;C8,CK,CA,CQ;DJ,D8,D10,D2;H4,HQ,C10,H2;DA,C7,C3,C5;DQ,DK,D6,D9;S6,HA,H5,H10;HK,D4,D3,D5;H6,H3,S8,H8;S7,C6,SK,H7;S2,D7,SJ,H9"
1571051297,3,0,2,"CJ,CA,C7,C2;DK,D10,D8,D7;S7,S5,SJ,S3;DQ,D3,DA,D9;D6,S10,SK,S9;C9,C10,CQ,C8;SQ,S2,H4,S8;H9,HJ,C5,C4;HA,H2,HQ,H6;D5,HK,H3,C6;H7,D2,D4,DJ;H5,H8,S6,CK;S4,H10,SA,C3"
1571051297,3,20,2,"CA,C7,CQ,C2;DJ,DQ,DA,D10;C8,C10,C5,C6;S6,SJ,SK,S9;C4,C3,C9,CK;D3,D5,D7,DK;S10,H2,S8,CJ;D2,H3,D8,D6;HK,H5,H8,H10;H9,H6,H4,H7;SA,S2,D9,D4;S7,HJ,S5,S4;HA,HQ,S3,SQ"
1571051297,3,0,2,"CQ,C3,CK,C2;C8,C4,H3,C9;D7,D2,DQ,DJ;H9,H2,H4,H5;C10,HK,S9,C5;SK,S4,S7,S5;DA,D6,S3,S8;D3,D9,HJ,D5;C6,SQ,H8,CA;SJ,SA,HA,C7;H7,D10,H10,HQ;S10,S2,DK,H6;S6,D8,D4,CJ"
1571051297,3,4,2,"C5,C9,C8,C2;SJ,SK,SA,S6;D2,D7,DA,DK;D9,D10,D3,DJ;C10,CJ,HK,C7;S10,S4,S3,S5;H6,H9,H4,HQ;S7,H8,SQ,S8;H3,H2,H5,HJ;H7,HA,CK,H10;C3,CQ,D8,C6;S2,C4,D6,S9;DQ,CA,D5,D4"
