1571051303,3,0,0,"C10,CA,CK,C2;D7,DQ,D5,D10;C3,C5,C6,C8;S3,SK,S5,SJ;SA,S2,SQ,S9;H10,S4,S8,S10;D4,D6,H8,S7;D9,D8,HA,S6;HJ,H9,HQ,H2;DK,C4,DJ,D2;H6,H5,H4,H7;C9,CQ,D3,CJ;DA,C7,H3,HK"
1571051303,3,16,0,"C4,CA,C5,C2;S3,S9,SK,S10;C3,CJ,C7,C6;S7,S2,C10,S8;D8,DQ,DJ,DA;D9,SA,HA,S5;D2,SQ,D10,S4;C9,SJ,HK,S6;HQ,H8,H9,H4;D4,C8,HJ,D3;H5,H7,D5,DK;CQ,H6,H3,H2;D6,D7,CK,H10"
1571051303,3,0,0,"C8,CK,CQ,C2;DK,D3,D9,D5;D4,D6,D7,DA;DQ,C3,D10,D2;S5,S2,S3,SA;SJ,D8,H3,DJ;H5,H10,HA,H6;C9,S7,C5,C4;S10,C7,C6,S6;H9,HJ,HQ,H4;S9,C10,CA,SK;S8,CJ,HK,SQ;S4,H7,H2,H8"
1571051303,3,2,0,"C5,C8,C10,C2;D2,D3,D8,D6;S9,SQ,S2,S3;C9,S7,SA,S5;C3,C7,HQ,C4;DJ,D5,DK,DQ;CJ,S8,CQ,CA;HA,S10,H4,S6;H3,H10,H9,H7;D7,S4,H5,SK;D10,DA,CK,SJ;H6,HJ,D4,HK;D9,H2,C6,H8"
1571051303,3,13,0,"C8,C3,C6,C2;SQ,S9,DJ,S10;D6,D3,DA,D8;S8,S4,H2,SA;S5,D9,D5,S7;C10,HJ,H5,H4;C9,HQ,C5,CJ;CA,SJ,C7,CK;H10,S3,H9,H8;DQ,C4,H3,S6;D4,H7,DK,SK;D7,HK,H6,HA;D10,CQ,D2,S2"
1571051303,3,0,0,"C3,CK,C5,C2;C7,C8,CA,C9;S10,SQ,S8,S6;S7,S4,S9,SK;C10,DA,S2,S5;D5,DK,D10,D7;D9,D4,D8,D3;DQ,DJ,C6,D2;CQ,H5,HK,SJ;H10,HA,H6,SA;H3,H8,H2,HJ;CJ,H7,H9,HQ;C4,H4,D6,S3"
1571051303,3,0,0,"C4,CA,C9,C2;SA,SQ,S9,S5;D7,D2,D4,D9;C3,C7,C6,C10;S10,SJ,S2,S8;D8,DJ,D3,DQ;H3,H4,C5,C8;S4,S3,S7,S6;H8,H9,HK,HQ;CQ,D6,D5,D10;H6,H7,H2,H5;DA,HJ,CJ,H10;CK,SK,DK,HA"
1571051303,3,3,0,"CJ,C9,CA,C2;DJ,DK,D5,D7;C8,CK,C10,C6;SQ,S4,SJ,S10;D8,D10,D2,D9;SK,HJ,HK,S2;D6,HA,S8,SA;H2,H3,H9,H5;S3,DQ,H7,S5;S6,C3,H4,S7;DA,D4,C5,S9;HQ,H10,C7,CQ;D3,H6,H8,C4"
1571051303,3,8,0,"C6,CJ,C5,C2;DJ,D2,D10,DQ;CA,C7,C4,C3;DK,D8,D6,D9;CQ,C10,C8,C9;S2,SQ,SJ,S4;H7,S5,S7,CK;H9,HJ,H4,HK;D4,D5,D3,D7;SK,SA,H8,S6;H5,S8,H6,DA;H10,S9,H3,HQ;H2,S3,S10,HA"
1571051303,3,6,0,"CQ,C9,CJ,C2;S3,S7,SK,S8;C3,S5,CK,CA;D2,DJ,D7,D4;S10,D10,S2,S4;C8,C5,D8,C4;HA,S9,C10,C6;D5,DQ,HK,DA;D3,HJ,SQ,D9;H10,HQ,H8,H7;SJ,S6,C7,SA;H9,H6,H2,H4;DK,D6,H3,H5"
1571051303,3,0,0,"C4,C3,CQ,C2;D5,D3,DJ,D9;DK,D10,DQ,D4;S5,S2,SQ,SJ;S4,SK,S8,S7;H10,CA,CJ,C7;HQ,C5,S10,C9;H4,H5,H6,H8;D7,D6,D8,D2;H3,H2,H9,H7;S9,C8,HA,C10;S6,S3,DA,C6;SA,HJ,HK,CK"
