1571051310,3,5,1,"CQ,C9,CK,C2;CA,S8,C10,CJ;SA,S2,S3,S5;D9,DJ,D8,D10;DK,D2,DQ,D5;H6,C3,C7,C4;HQ,H7,H3,H9;D7,S7,HK,C6;H8,H4,HJ,H10;SK,D6,H5,D3;S4,SQ,S10,S9;C8,DA,H2,D4;HA,SJ,C5,S6"
1571051310,3,14,1,"C10,C9,CQ,C2;S2,S3,S10,S4;D4,DJ,D6,DQ;C3,CK,C6,C5;H4,C8,C7,C4;S8,D5,D2,D7;S6,SJ,S9,SQ;HQ,HA,HJ,HK;D8,D10,H9,CJ;DK,SA,H3,D3;S5,SK,CA,DA;H6,H8,H7,D9;H10,H5,H2,S7"
1571051310,3,15,1,"CJ,C8,CA,C2;D9,D2,D3,DA;S10,S7,S3,S9;C6,H4,C3,CK;C4,HA,SK,C9;C10,D5,DK,CQ;S5,S8,S4,S6;HK,H3,H2,H5;H6,H10,DQ,H9;SQ,D10,SA,S2;HJ,D7,DJ,D8;D4,H7,D6,HQ;C7,C5,SJ,H8"
1571051310,3,18,1,"CA,C3,CQ,C2;C10,C5,C7,C8;SK,S5,S8,S4;D3,DJ,DQ,D9;H7,CJ,CK,C6;S10,D8,SA,SJ;H8,HK,HJ,HQ;D5,D4,D10,DA;HA,S2,S6,S3;H2,H3,SQ,H5;DK,H6,D6,D7;H10,S7,H4,C9;H9,D2,S9,C4"
1571051310,3,0,1,"CA,C6,C5,C2;S5,S8,S7,S9;C9,C4,C7,CQ;D4,DQ,DJ,DK;SA,S2,SQ,S3;DA,D2,D3,D6;HJ,D10,D9,D5;CK,C8,C10,C3;H8,S6,SJ,S4;H10,H7,H5,H9;HQ,HA,CJ,S10;D7,HK,H6,D8;H4,H2,H3,SK"
1571051310,3,4,1,"D6,CA,C6,C2;C4,C9,S9,C3;D7,C7,D5,CK;S6,S3,S5,S4;D2,D3,DJ,DA;SQ,SA,SJ,SK;D4,D9,CQ,DQ;H2,H10,H5,HJ;DK,H3,H8,H9;CJ,HK,H6,H4;S7,HA,D8,D10;C5,H7,S8,S2;S10,C10,HQ,C8"
1571051310,3,5,1,"C9,CK,C4,C2;D2,D10,D6,DQ;D8,C10,D9,D7;S5,S6,S4,SJ;S9,SK,S3,S8;H7,D3,DJ,DK;H3,HK,D4,DA;CQ,C6,HA,C3;S10,H9,SQ,S2;C8,CA,HQ,C7;H6,H8,H5,HJ;H4,D5,SA,S7;CJ,H10,C5,H2"
1571051310,3,3,1,"CK,C3,C7,C2;C6,CJ,C10,CQ;SJ,S2,S5,S6;S4,C4,SQ,SA;D6,D7,D9,D10;SK,HK,H2,S7;H8,H7,H10,H5;D4,DK,DQ,D2;D8,DJ,DA,D3;H3,HJ,S9,H6;S3,H9,HA,HQ;C5,S8,CA,C9;H4,C8,D5,S10"
1571051310,3,0,1,"CK,CA,C9,C2;C10,CJ,C3,C4;SK,S8,S4,SQ;S7,S6,S3,S10;D8,D3,DQ,DJ;D5,SJ,S9,S2;D2,HA,DK,DA;D6,CQ,D7,D9;H2,HJ,D10,D4;H4,H9,H8,HQ;C7,C6,C5,C8;H6,H5,S5,HK;H3,H7,SA,H10"
1571051310,3,5,1,"C5,CK,CQ,C2;DQ,DJ,DA,D8;S8,SK,S7,S2;C4,C6,C7,C8;H10,C9,C3,C10;H3,H5,H6,H7;D3,D2,D9,DK;D5,HK,D10,D4;CJ,D6,HA,D7;SQ,H2,HJ,H8;SA,S10,H4,H9;S6,S4,S5,HQ;CA,SJ,S3,S9"
1571051310,3,0,1,"CJ,C5,CK,C2;SA,S6,S5,S8;CQ,C4,C3,C8;SK,S9,S10,S7;SQ,D6,SJ,S4;D10,D7,D8,D3;C6,C7,H10,C9;DJ,DQ,D9,DA;H9,C10,H2,HJ;H3,D2,HQ,H4;H8,H5,CA,H6;DK,S3,HA,HK;H7,D4,S2,D5"
